start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6dd717896d4415fe0cc4613ffe2585210724ab3a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/614265005c5b322bda6f18c4b5b0dff384c70bf0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d98977d96cc64b14202efeafd46818e74db5b523,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ea1cd367764dfe23b13c03f10fd733aac3703541
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6b5d5f4493ae0e18eb3c88478e1085672d44c73e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f9e7ab20660bcd5953a93cc675f31a594724883c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/756755d9a17166849bc040b6a00398eb71227409,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2411b23b9e6ba3a784fb0526ad97461628b814a9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f9e7ab20660bcd5953a93cc675f31a594724883c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34ac7ce2ed6df67f7d767a04acf11fae27793645
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ed38b67ca4a542d1b35a6c1c248d248f522175bb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/69c3ed8a8eed345b143577ecc9ee0784e49a3f8b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca66d9077b94edd5b5a6466c53d15ce05f5e27ea,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb89fef55d699db4d11aca4a66320bf360b32cfd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3e54a7ba6e75f1dc1f76807e88dd2423d36670e4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/054db483eee26a6ba6ff720c66904c38d9ad32f5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39f1b1d784dde5f911b59773c9a0ef15b3afad65,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/052ed223451770500a410f9dc70a6bc0f7a31278
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a21c799306c4495413513de2b9086885b3dcca10,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b985105e04431765f44a075ada36305b98dcefcc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/37f41d3baed46b8cc5611de66064673ce1b629ec,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2874d9af9cf82a5de6ba344a23d1f8effbe6f224
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ae6c84e1e71eeef3e5fc0e82b04e76567c055e3f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/98275e94e9938207056feab2b055d0c776467b53
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f33f9648771a5e8db6de2cfe504ee0a550bc0f6c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c31b7b5950403359a30e8789f6695e6a3a9f3323
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/98b3559c66b319347818494f79ec0f8d9d530824,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cecea8ffa1bf2f7dba470d2df736b59eebadcfee
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1d83f4d74e6278991ac862639353384c92ebc46a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3963fe43b4fd49350a45160d6a1dea763f29859b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3a849f2302d18360a45fad96d443dcba34ffc855,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c32ddd28b687a8e339dd77814562a7535b3e9ef5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1bfeeceaa034b5992cd04c6911814f242a824258,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c92560742390b6149830ce26fdc2eb08725ebcbf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2a68461325c37168dc25f8d313b8d0ff861aaae3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acf4331a9a9b91d77a486726cfc5e232b9646dfa
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b6c3841255dbf9e8e732934b874c88289c62b2e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e2461bf7562eaec2c2aa840b86c387fe1f995c0a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e70f268f5de7baf2e08fac97a68b8d11f948032,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/670f3281d104c3550640ac60c8c437a1bfa8aaeb
