id,name,lat,lon,uri,country,distance_to_border_m
SK137901,Slovenské Nové Mesto,48.40094,21.66798,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/30e91cb341fe7872d3849045174dc4d9ed26b90e,http://publications.europa.eu/resource/authority/country/SVK,86.71
SK154047,Šahy,48.059273,18.956756,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8539e772a948d69b2d06761d32e95b0efa111818,http://publications.europa.eu/resource/authority/country/SVK,460.27
SK140061,Záhorská Ves,48.377516,16.844308,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/506a755f575c239fe0b251aedc38b0df076e9d95,http://publications.europa.eu/resource/authority/country/SVK,671.21
EU00166,Lenartovce št. hr.,48.3018,20.33859,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2f91ff54f3f9d9c962c31a928168d38c5031844a,http://publications.europa.eu/resource/authority/country/SVK,60.15
EU00164,Slovenské Nové Mesto št. hr.,48.38981,21.66948,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3a3854681843e442f33c4ee9d3696a2b60992fce,http://publications.europa.eu/resource/authority/country/SVK,590.6
EU00165,Čaňa št. hr.,48.52877,21.26256,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/64c317150875374da6c6d06e87b33f2533342b1d,http://publications.europa.eu/resource/authority/country/SVK,464.36
EU00110,Devínska Nová Ves št. hr.,48.241229,16.946641,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/77db190f310d8cf969eb0c5dbbc8d3628cbb6711,http://publications.europa.eu/resource/authority/country/SVK,491.7
EU00081,Kúty št. hr.,48.71112,17.00042,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ab6ebe1bf7319eded2dacb693d7a13dff0bf4e6,http://publications.europa.eu/resource/authority/country/SVK,469.44
EU00158,Skalité št. hr.,49.50388,18.97193,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f915b9beb5bd0e7583bf8f00f1bfd2529ef82dd,http://publications.europa.eu/resource/authority/country/SVK,902.03
EU00168,Malé Straciny št. hr.,48.16365,19.51302,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/93a56f0ffb9b63299469aa0f73a397bd65c753ef,http://publications.europa.eu/resource/authority/country/SVK,347.45
EU00079,Skalica na Slovensku št. hr.,48.86982,17.24065,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a13074cf36e0643efc342d72dfa9b21acfb6e86e,http://publications.europa.eu/resource/authority/country/SVK,1831.12
EU00167,Fiľakovo št. hr.,48.16836,19.82116,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b1d46ec7404a6bcd242cc352cad7236565bc71cf,http://publications.europa.eu/resource/authority/country/SVK,645.62
EU00170,Štúrovo št. hr.,47.82362,18.85269,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/be15dde7f73be2952a8d79a4b5f5464c165b7706,http://publications.europa.eu/resource/authority/country/SVK,648.93
EU00080,Holíč nad Moravou št. hr.,48.83772,17.12643,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ed96b9d3a7ce3e51aa522c1299fa2eaed1547ab0,http://publications.europa.eu/resource/authority/country/SVK,1170.52
EU00160,Medzilaborce št. hr.,49.25086,22.03846,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/041e97db861be518628de408ee8b2d0610732e3e,http://publications.europa.eu/resource/authority/country/SVK,566.65
EU00076,Lúky pod Makytou št. hr.,49.17981,18.12982,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/728ddfd3949ed7f3b03a523a64dd0467a0b95ee0,http://publications.europa.eu/resource/authority/country/SVK,2.01
SK183350,Skalité-Serafínov,49.5016,18.96462,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ccca561df1466f9e155bb2e6506b9a29c12abaac,http://publications.europa.eu/resource/authority/country/SVK,329.93
