osm_id,name,type,ref,lat,lon
node/25426361,Senec,station,Senc,48.2135908,17.4142231
node/25497610,Bratislava-Vajnory,stop,,48.1947902,17.2067504
node/25551787,Hurbanovo,station,Hurb,47.8766386,18.2034712
node/25582465,Komárno,stop,,47.7691885,18.1255733
node/25904394,Svätý Jur,stop,,48.24763,17.2177667
node/25904396,Pezinok zastávka,stop,,48.2670662,17.2460873
node/26152964,Dvory nad Žitavou,station,DvnZ,47.9685582,18.2495044
node/26202728,Bratislava-Rača,station,BaRa,48.2091079,17.161029
node/26499120,Galanta,stop,,48.184965,17.7233288
node/26502177,Trnava predmestie,halt,Trpr,48.389352,17.5667967
node/26502191,Báhoň,stop,,48.3054287,17.450056
node/26512206,Pezinok,stop,,48.2825847,17.2707222
node/26546890,Sereď,stop,,48.2901434,17.7269756
node/26727211,Nové Mesto nad Váhom,station,NMnV,48.7509879,17.835833
node/26727212,Melčice,stop,,48.836882,17.91948
node/26727214,Brunovce,stop,,48.6832751,17.8456177
node/26727218,Považany,stop,,48.7032653,17.8421394
node/26823556,Hlohovec,station,Hloh,48.4333547,17.8070191
node/27026143,Šaštín-Stráže,station,SaSt,48.6340257,17.1421535
node/27069282,Tomášovce,station,Toma,48.3692267,19.6269133
node/27069289,Holiša,halt,Holz,48.3042506,19.741778
node/27069313,Šiatorská Bukovinka,halt,SiBu,48.1857243,19.8166561
node/27133417,Trebišov,station,Treb,48.6326185,21.711088
node/27135730,Gbely,stop,,48.723538,17.0910948
node/27135752,Skalica na Slovensku,stop,,48.8500341,17.2184034
node/27137421,Lenartovce,station,Lana,48.3026295,20.3272019
node/27137447,Štrkovec,station,Strk,48.3549314,20.3282309
node/27173642,Rimavská Seč,station,Rsec,48.3068039,20.2260036
node/27173733,Hajnáčka,station,Hajn,48.2350631,19.9323043
node/27173756,Šíd,halt,Sid,48.2671108,19.877502
node/27175020,Čierna nad Tisou,station,CnTN,48.4195112,22.0851417
node/27177012,Kostoľany nad Hornádom,station,KonH,48.7955652,21.2461392
node/27177016,Obišovce,halt,Obis,48.8621917,21.2386632
node/27181521,Kendice,stop,,48.9263611,21.2474729
node/27269872,Gemerská Panica,halt,GePa,48.4806084,20.3598973
node/27270617,Nové Zámky,stop,,47.994688,18.1748436
node/27275778,Moravský Svätý Ján,stop,,48.5862476,17.0086114
node/27275800,Zohor,stop,,48.3257393,16.9913308
node/27279256,Veľký Kýr,station,VeKy,48.1835297,18.1507158
node/27279264,Ivanka pri Nitre,halt,IvpN,48.2443942,18.1096382
node/27303810,Radava,halt,Rada,48.0981297,18.3055079
node/27303826,Pozba,halt,Pozb,48.1153537,18.3877483
node/27303888,Kalná nad Hronom,station,KlnH,48.2041136,18.5167698
node/27304281,Psiare,halt,Psia,48.3291548,18.55122
node/27304288,Hronský Beňadik,halt,HrBe,48.3443685,18.5615893
node/27317525,Liptovský Hrádok,station,LiHr,49.0380024,19.7213991
node/27318488,Tekovská Breznica,halt,TeBr,48.3824,18.6044498
node/27318508,Nová Baňa,station,NoBa,48.413308,18.6479838
node/27318524,Rudno nad Hronom,halt,RunH,48.4351406,18.6818066
node/27318545,Dolné Hámre,halt,DolH,48.4748503,18.7187914
node/27318549,Žarnovica,station,Zarn,48.4857086,18.7280253
node/27318668,Žiar nad Hronom zastávka,halt,ZnHz,48.5687792,18.8513552
node/27318671,Žiar nad Hronom,station,ZinH,48.5785791,18.8705454
node/27318684,Šášovské Podhradie,halt,SasP,48.5882409,18.9068874
node/27319280,Pstruša,station,Pstr,48.5533039,19.3127073
node/27319294,Detva,halt,Detv,48.5336737,19.4063866
node/27319311,Lovinobaňa,stop,,48.4447083,19.5749553
node/27319328,Podkriváň,station,Pdkr,48.5164712,19.4669382
node/27320254,Radvaň,station,Radv,48.7165187,19.1407762
node/27346876,Šaľa,station,Sala,48.1470532,17.8619436
node/27349431,Podunajské Biskupice,stop,,48.1318349,17.2206005
node/30073060,Bratislava-Petržalka,station,BaPz,48.1214818,17.0994662
node/30418836,Okoličná na Ostrove,halt,OknO,47.792989,17.9007966
node/30418842,Zemianska Olča,station,ZeOl,47.8078996,17.8524002
node/30615059,Borský Mikuláš,halt,BorM,48.6423105,17.1915685
node/30618579,Klčovany,halt,Klco,48.4518789,17.5119219
node/30618602,Smolenice,station,Smol,48.5204581,17.4553255
node/30618613,Buková,halt,Buko,48.5517316,17.4508086
node/30618653,Jablonica,station,Jabl,48.6062807,17.4098102
node/30727710,Príbovce-Rakovo,station,Pric,48.9937215,18.879615
node/30932202,Starý Smokovec,stop,,49.1390929,20.2227412
node/30932205,Nový Smokovec,stop,,49.1368773,20.2161037
node/30933030,Starý Smokovec,stop,,49.1416605,20.2203751
node/30933044,Hrebienok,stop,,49.1580002,20.2245711
node/30949773,Poprad-Tatry,stop,,49.0599614,20.294874
node/31147613,Tekovský Hrádok,halt,TeHr,48.1588355,18.5549242
node/32321451,Lábske jazero,halt,LaJz,48.3342129,16.9471991
node/35234003,Podhájska,station,Pohj,48.1027332,18.3442713
