start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dd60760c137aa891cf347f54bc2db19baebfc623,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2d3c90cf4dbe85d3fd100029a9bbb59904a20c40
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00bb498a3ef291e808148a2849007bccff231833,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c5eb6d9be17f383a45d2ba4c7df7ec0eb500c920
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ce4a34dfa28cd6aeaa3fd53f87f829b3234efc0f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d58e98e74122e4e128e0070a5264478dd27232f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/82ede7fb132cb7424741b6cf8da6cf3ebe138c26,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/41ccdd281035405fc6e9e71ebfead84675d0dc45
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/32656e5fe0a8a90d2c0309d2ee29d67d8622ff89,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/65ef37808fe15a7c29b15a59165b5fcef8825234
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/02e5bbaf6f371bf7c6dcb717bd5632b943793e43,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2859f9b33cf0f45c7decf515dbfc5f10c78c87be
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a7fcd46889c4a489b3de0e826fa1220458f12cfe,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/46fd8557e61a4dd4f96f7c738bfaa366a5307b4a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3fd50f9581b03f6e55c4f63013686596f6ae426,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c5f522f61fb58851c77abe5f88858fc042db3de
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/43ad4f726a0e176b18237fd6b6de82c97a337224,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7be54ff2538aa1ed8feaab80bde2fa6016120ece
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c158f915a7e8922b53cd61fcd6f8b222c5e7e25f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2f574742494373f82f01f0384383947e6590caa1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/df189c49874f48cace98d3b2d1b719ffb1d785b8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/af230a600da9bd73d4b6fdb89c5ec8e40dcae9cb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1492e8585657f61e3d9d70c90109d18cd3224a66,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/61067811e7d7a0f38f3dcaf6fec74981c15e94a8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e42a28986f9383d74388d68a4e6f21cedc6f1821,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/82ede7fb132cb7424741b6cf8da6cf3ebe138c26
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8eb64d88250a7e90d1ade838d5a11ff729738f75,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8b76a57789be6a530743d787242f8fc30b2a86f4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c998f5a7b9b17adeac9ad08bcdcc5e37a15ee195,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5829ccd77b5ed91a4ca235851307906e25f2f46b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81f52d27662cf18fb36199755be3f64405292be9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/01b7c23a3f75ba9f5f480af367e05ad4298dfb93
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c5eb6d9be17f383a45d2ba4c7df7ec0eb500c920,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f3a38640c836d855a15c07b97762d8c9a70c7dcf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5cd7a99bafd1a222ae52932a0219e0eeb81cadc0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/02e5bbaf6f371bf7c6dcb717bd5632b943793e43
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/82ede7fb132cb7424741b6cf8da6cf3ebe138c26,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/901ebd449374e5074d4b8cca023a5f15e588c9ca
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0c2ed4f6d50d64beb231ffd7e43664f3c043cbcb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/809a38ed10a80b882a6dec7d698560b72f51d407
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1466d7daebfe6091f99ef8fa012358fe14bd3e17,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fe116f6acdb90e668f1353c2fc4d558582a23bf6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3ba9b8544b154d1cf85d7aa016e6b7eec7993b00,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0f0be3ab54c786afcc058dcd63c9c6cc059e7aa6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6de9ad1f69e80f271cbc48021c251408f10ed4c0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a082924e266a2e44c79dcb20a34238cbf9d065ab
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13c890636a3ff857bd6ac789f796adee436d0f6c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b6a8f56a3c55c6adcca8405488c5c15f2fe75f04
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f71effb12317db65e7242509427250eefe60397,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/84c294e840c029bbc43d60dba955a392e3b348ba
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38259aee4807012040c95f78ebfea83c3073d91c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e30b23f879e0e7f9d5579b34b88e0ed18b647f7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c8995e2c3fefe7e5d490ff40379da90939925815,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4bcd6426e45d86868852fec57352d8e0f4ff8d64
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/82e986f8da7f58afeeca679beb2811ee8cbab3f8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2be958e692e562182c9b4893d8fc47aa002657a2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/643a908505704adfe3f491a38ae17ee6b433ad8a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7fb0839fa300e4aa573c7097116ca316c02f1064
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9b8b46fc6bce652ef858814df2097a1ce36f37da,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a2b1388c92369e0cbc27ef265bf8258d3a0c9c6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9e9785a5b7400b1bad448472f1c8d084932c1bb8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b61f570ca738b55ec5b66eb4a11e8d3447e1b899
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0cdfe849abf347af65d3aa07d489b9877b198da5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a5e15a539841edf31dbbf4414112f00d04b6edb8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2d3c90cf4dbe85d3fd100029a9bbb59904a20c40,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d0119a29b9e123d856204e0743a833c838e2312a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/513be5ad9a94caed97147502e331a1ea5e5615a9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7cb1d4d8929208b21b4a11e1ffbd184ef65dcaa7
