osm_id,name,type,ref,lat,lon
node/43512621,Orehova vas,halt,,46.4730852,15.6634664
node/45990737,Ljubljana Tivoli,halt,,46.0501874,14.4940259
node/46350571,Trzin,halt,,46.1327518,14.5676375
node/46526600,Medvode,station,,46.1379153,14.4121788
node/46713856,Škofja Loka,station,,46.1744013,14.3355797
node/46840397,Notranje Gorice,halt,,45.9875445,14.4025733
node/46844136,Preserje,station,,45.9653469,14.3957537
node/49490326,Borovnica,station,,45.921438,14.3682194
node/50002957,Kranj,station,,46.2389548,14.3482471
node/50009756,Globoko,halt,,46.3233175,14.2084496
node/50011396,Otoče,halt,,46.3110408,14.2324458
node/50123055,Laze,stop,,46.0883382,14.6876554
node/50736008,Škofljica,station,,45.9843722,14.5727108
node/56530806,Trzin Mlake,halt,,46.1285904,14.5596743
node/56690650,Domžale,station,,46.1393345,14.5924267
node/71578308,Celje,stop,,46.2285037,15.2681475
node/81271333,Šentjur,stop,,46.212974,15.3960282
node/253612827,Slovenski Javornik,stop,,46.4271906,14.0885498
node/259624179,Jevnica,stop,,46.0842,14.7366487
node/259625145,Sava,stop,,46.088897,14.8990971
node/259625643,Zagorje,stop,,46.1205563,14.9911008
node/259625907,Trbovlje,stop,,46.1263941,15.0373931
node/259626615,Zidani Most,stop,,46.0854297,15.1702445
node/259628446,Štore,stop,,46.221585,15.3213114
node/259629093,Ponikva,stop,,46.2479047,15.4306389
node/259629505,Ostrožno,halt,,46.2639339,15.4734259
node/259630029,Dolga Gora,stop,,46.2775364,15.4980816
node/259630497,Poljčane,stop,,46.3134688,15.5765592
node/259631086,Slovenska Bistrica,stop,,46.3630561,15.5979094
node/259631722,Rače,station,Rc,46.4533302,15.66383
node/259632604,Maribor,stop,1,46.5621016,15.658052
node/263250212,Ljubljana Litostroj,halt,1,46.076858,14.490205
node/269260478,Rakek,station,Rk,45.8153313,14.3131343
node/270129105,Planina,halt,,45.861802,14.2749639
node/270129111,Postojna,station,Po,45.773184,14.2216735
node/273991222,Polzela,stop,,46.2826129,15.0659316
node/275046235,Šentvid pri Grobelnem,halt,,46.2274164,15.4702839
node/275046289,Pristava,halt,,46.1987482,15.5817467
node/275046304,Sodna vas,halt,,46.1760518,15.602005
node/275046312,Podčetrtek Toplice,halt,,46.1659058,15.6047049
node/275384043,Pivka,station,Pk,45.6752874,14.1912182
node/275403778,Sežana,station,Sz,45.7040261,13.8633621
node/275403880,Divača,station,Di,45.6813513,13.9654776
node/283079611,Rodik,station,,45.6271905,13.9752024
node/283207146,Bled Jezero,station,Bd,46.3682983,14.0822996
node/309626061,Krško,stop,,45.9562009,15.4933122
node/313399603,Kresnice,stop,,46.1029254,14.7917711
node/313399609,Litija,stop,,46.0582675,14.8252011
node/362790184,San Bortolo,stop,,45.493096,13.6092781
node/364926662,Lipovci,station,,46.6230941,16.2113094
node/385808108,Podvelka,station,,46.5903885,15.3300701
node/395504563,Marles,halt,,46.5588106,15.5967526
node/399559311,Bistrica ob Dravi,halt,,46.5577197,15.554101
node/399559996,Limbuš,halt,,46.5588024,15.5828252
node/403272403,Vuhred elektrarna,halt,,46.5865007,15.2798608
node/422472910,Frankovci,halt,,46.3938294,16.2035771
node/441907436,Pragersko,station,Pg,46.3951174,15.6620885
node/449384674,Kanal,halt,Kn,46.0837293,13.6316229
node/457597570,Fala,halt,,46.5480044,15.4516383
node/471562298,Bohinjska Bistrica,station,Bh,46.274266,13.9591646
node/471786717,Jesenice,stop,,46.4360536,14.054876
node/472725357,Vintgar,station,Js D 1,46.4102378,14.0987832
node/588851356,Kamnik,station,,46.2208814,14.6037113
node/596494516,Kamnik mesto,halt,,46.2249136,14.6093124
node/611328944,Rimske Toplice,station,Rt,46.123666,15.203051
node/617483683,Ljubljana,station,Lj,46.0582538,14.5105343
node/617483689,Zagorje,station,Zg,46.1205975,14.9912364
node/617483690,Trbovlje,station,Tb,46.1262946,15.0368392
node/618919194,Šalovci,halt,,46.8211291,16.2821334
node/620742882,Mačkovci,halt,,46.7831946,16.1647038
node/711463844,Štanjel,station,Sl,45.8178732,13.8482466
node/760489805,Ožbalt,halt,,46.5748499,15.4064053
node/768869329,Žirovnica,halt,,46.4019367,14.1355996
node/768924356,Radovljica,halt,,46.3408175,14.173005
node/786599091,Nomenj,halt,Bd P 1,46.2890146,14.0025584
node/811465751,Most na Soči,station,Mi,46.1464082,13.7592521
node/829057113,Podbrdo,halt,Pb,46.2092969,13.9670603
node/829057138,Hudajužna,halt,Pb D 1,46.1797704,13.9197908
node/829850840,Podhom,halt,Js P 2,46.3874907,14.094283
node/831928110,Škocjanske Jame,halt,,45.6651093,13.990335
node/831928111,Škocjan,halt,,45.6641953,13.990371
node/834660508,Podnart,station,,46.2940564,14.2583442
node/834662103,Reteče,halt,,46.1565498,14.3711485
node/834672569,Medno,halt,,46.1222004,14.4390741
node/838588247,Podmelec,halt,Gh P 1,46.1593903,13.8138533
node/838588271,Grahovo,station,Gh,46.1514399,13.8569682
node/838615399,Avče,halt,Mi P 1,46.1080858,13.6844716
node/838627738,Plave,halt,An D 1,46.046216,13.5897684
node/838627770,Anhovo,station,An,46.058069,13.6171611
node/853373803,Dobova,stop,3,45.8984648,15.6552707
node/860117543,Prvačina,station,Pc,45.8874969,13.7228181
node/860150930,Kreplje,halt,Kcp,45.7421535,13.8273172
node/861343682,Dornberk vas,stop,,45.8900541,13.7362062
