osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/1020365685,Novo mesto Center,halt,,45.8046012,15.1620691,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19b968975aff20c27595f03c6890959fd2231079,SI42512,Novo mesto center,203.0
node/270129105,Planina,halt,,45.861802,14.2749639,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c345bcd325d986dfb0a7da6e5597d2984e572c9f,SI44007,Planina,203.8
node/5615561626,Ljubljana,stop,3,46.058571,14.512935,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/718668acdbff093768a4e66364e9d5834059caef,SI42300,Ljubljana,205.6
node/5615561627,Ljubljana,stop,3,46.058675,14.5129491,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/718668acdbff093768a4e66364e9d5834059caef,SI42300,Ljubljana,207.0
node/5615561628,Ljubljana,stop,4,46.0587222,14.5129469,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/718668acdbff093768a4e66364e9d5834059caef,SI42300,Ljubljana,207.2
node/5615561629,Ljubljana,stop,4,46.0588406,14.5129523,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/718668acdbff093768a4e66364e9d5834059caef,SI42300,Ljubljana,209.1
node/5615561630,Ljubljana,stop,5,46.0588771,14.5129507,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/718668acdbff093768a4e66364e9d5834059caef,SI42300,Ljubljana,209.6
node/5615561631,Ljubljana,stop,5,46.0589818,14.5129377,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/718668acdbff093768a4e66364e9d5834059caef,SI42300,Ljubljana,210.8
node/930818699,Bohinjska Bela,station,Bd D 1,46.338491,14.0604308,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8b49b4321a9df61f3fc76c4533def3a376311184,SI44715,Bohinjska Bela,212.4
node/263250212,Ljubljana Litostroj,halt,1,46.076858,14.490205,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/811c22ec49b59dc31e887010b7297025bb473714,SI42316,Ljubljana Litostroj,221.0
node/2402012427,Ivanjkovci,stop,,46.4587374,16.1567099,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81f52d27662cf18fb36199755be3f64405292be9,SI43603,Ivanjkovci,269.1
node/12925781216,Ivanjkovci,stop,,46.4587267,16.1566505,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81f52d27662cf18fb36199755be3f64405292be9,SI43603,Ivanjkovci,269.2
node/1867224261,Ivanjkovci,station,Iv,46.4587984,16.1566493,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81f52d27662cf18fb36199755be3f64405292be9,SI43603,Ivanjkovci,276.9
node/9907002126,Solkan,halt,An P 2,45.9750753,13.6479638,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5983af0c95e74eec72a97b7639945b42c2462ae8,SI44701,Solkan,387.6
node/1304777277,Sveti Vid,halt,,46.6117989,15.188003,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06a3d31eb511f4de1a8ac9f1d957a8a436ca0039,SI43418,Sveti Vid,464.9
node/838627770,Anhovo,station,An,46.058069,13.6171611,,,,
node/1575226330,Brestanica,station,Bt,45.9875528,15.4696042,,,,
node/1867354545,Bubnjarci,halt,,45.6442279,15.351231,,,,
node/12040614772,Capodistria,stop,,45.5359712,13.7367063,,,,
node/10195858627,Cirknica,halt,,46.6448914,15.6635489,,,,
node/1764223127,Duplica-Bakovnik,halt,,46.2065131,14.5944102,,,,
node/422472910,Frankovci,halt,,46.3938294,16.2035771,,,,
node/1583402024,Harmica,halt,,45.8914857,15.6857687,,,,
node/12040614785,Isola d'Istria,stop,,45.5358565,13.6626248,,,,
node/4007610850,Kočna,halt,Js P 1,46.4238468,14.0785939,,,,
node/50002957,Kranj,station,,46.2389548,14.3482471,,,,
node/2371919993,Kranj,stop,,46.2389532,14.3481285,,,,
node/4932456964,Kranj,stop,,46.2389522,14.3480496,,,,
node/4344221208,Lazzaretto-Risano,stop,,45.5500086,13.7740982,,,,
node/11383908840,Ljubljana Šiška,halt,,46.0607068,14.500909,,,,
node/12040614786,Madonna di Strugnano,stop,,45.5272387,13.6266451,,,,
node/1867247743,Narin,halt,,45.641268,14.1981757,,,,
node/1867207528,Podklanc,halt,,46.5679207,15.0110896,,,,
node/12551289762,Podklanc,stop,,46.5679854,15.0109825,,,,
node/1867251390,Povir,station,,45.6992065,13.930928,,,,
node/1867167882,Radeče,halt,Bg P 2,46.064334,15.1925459,,,,
node/362790184,San Bortolo,stop,,45.493096,13.6092781,,,,
node/12040031059,Santa Lucia di Portorose,stop,,45.5047813,13.6042326,,,,
node/12040614771,Scoffie,stop,,45.5704968,13.7930151,,,,
node/1350773205,Sutla,halt,,45.8861394,15.694944,,,,
node/10799283293,Vukovo selo,stop,,45.9109039,15.6896124,,,,
node/12509447038,Začasni peron 92,stop,,46.058853,14.5072614,,,,
node/12997514379,Začasni peron 93,stop,,46.0588558,14.5075006,,,,
node/8424940117,Čušperk,halt,,45.8909257,14.698215,,,,
node/831928111,Škocjan,halt,,45.6641953,13.990371,,,,
node/831928110,Škocjanske Jame,halt,,45.6651093,13.990335,,,,
