start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c7164135de684d3ca071b223c2df2fac20332bd3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c3d4ba9cd6d5600e37f22dc16ef3fccbd36c4707
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/859f507efeac2fcb17a10bb339707ba2242f9441,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/891dd17fba32080a1131cca4b294440a10d9067d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5e83dd42781f4bdc863ca1dee19476bff21b2649,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d80158c1ee16786eea8065981cd50cb5612475e0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eb9775da63b421ef74307ca6e0125ab141aad22f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/485886ccf00c6b099b3a8cc71b2821cea2a2117c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c1821df2e171298800b3c9301c06a7840f96cce0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d02bdb434e65b2dcc5418d4e86988742834b13ba
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b10c22ab249a1f497dae7e96057458be55a9f967,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cf944891f2398592d93ef33ed8f76d6adfb48b49
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8e122a60aede84e258171dc88588f3869fe691ad,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2adc3cda6295bb4482479b591ee5c5f2c9f74691
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c563616d8f227fa29666369ef8640d5c22c16dc5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1f2af1d2e639db20d57ec4652aa6a035ab277e34
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c05361bd3740dcedcd4c754b8b22e84a0326db8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/598e7a347fe02c9d9bff18913627e42b13de4e44
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8a68b50f60246a2ad504b7e8351ed6e7b207bbc1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/68cd683b6e53339e98d5da839a5e9cf776f618e8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/18f0ece6ac06f52d8efedee32f2a76566e04048a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6cc7781c69eb1c68f1f49fc12d2d76c992144f89
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cbe8ff12474c1b3d04edfc6036cf6561fa6c5fa6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5ab06be28f7c1abbe686ee346fd204482ec8e676
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a6d0ef1dc740607ea4511eb8d6bde6693279575,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/613587ea3b672fbdc3cd26ccedc88b1b0bde8c77
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/765d640dffce4097873fff0e84bef8cc79ab159a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/87a8ae7ccb4b69f479efc9287c24bcdd09993087
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5669cd815e18082a568ad2e6d147fe79b9ee1351,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0c4e2c266a2e906a46eec2767370a423de4d8ddf
