id,name,lat,lon,uri,country
ES13408,BILBAO MERCANCIAS,43.3438,-3.0606,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/69e48140470b8f54308a8d8a49a0ef93cfeee23b,http://publications.europa.eu/resource/authority/country/ESP
ES65304,ORPESA,40.0923,0.1398,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/369cd42119029f04376af37c829b5cdcfa1d8f80,http://publications.europa.eu/resource/authority/country/ESP
ES67224,PUERTO DE SAGUNTO,39.64836,-0.21514,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c66ca592946ba513018ea80832754fbdb7c61427,http://publications.europa.eu/resource/authority/country/ESP
EU00122,"P.K. 50,707(FRONT)",42.44716,1.91449,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5cfe57044eaffd702b5c68b8bc7425937c4a2c36,http://publications.europa.eu/resource/authority/country/ESP
ES54523,AGUJA K. M. 17 (P.B.),36.6113,-4.513,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/655e5cca647a92fcb0d63338b55cc3d6234e35c3,http://publications.europa.eu/resource/authority/country/ESP
ES54509,TORREMOLINOS,36.6225,-4.4996,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6fbde70714a2514f4870d4997b6fa460cb333d17,http://publications.europa.eu/resource/authority/country/ESP
EU00119,"P.K. 641,181 (FRONTERA) LINEA 100",43.35065,-1.78589,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/73bd46e711aa689ab16c0fb0ffdc73b2a674fb74,http://publications.europa.eu/resource/authority/country/ESP
ESXX003,MERCABARNA,41.32508,2.1456,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7668d1f1e07cf8e74e8983d3171c84ce2568dbfb,http://publications.europa.eu/resource/authority/country/ESP
ES54511,BENALMADENA-ARROYO DE LA MIEL,36.5991,-4.5363,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9116194240ed57f009da4523e22aeba388aac559,http://publications.europa.eu/resource/authority/country/ESP
ES54510,EL PINILLO,36.6098,-4.5154,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a2015b6a7fc42043974a7cfc91325d7f621b13b,http://publications.europa.eu/resource/authority/country/ESP
EU00124,"P.K. 124,235 (FRONTERA)",40.6057,-6.826,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/baec203ae2e834b2fc3884759d76ee7192cf0f8c,http://publications.europa.eu/resource/authority/country/ESP
ES54519,MONTEMAR ALTO,36.6137,-4.5094,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb0a31725069872ede27e9afba068e2d8116bd53,http://publications.europa.eu/resource/authority/country/ESP
ES51414,SAN SEVERIANO,36.5213,-6.2806,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3f7f078a9409db67db9706d967693cde1d823087,http://publications.europa.eu/resource/authority/country/ESP
ES51405,CADIZ,36.5294,-6.2885,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f2dd4c9fe0aa3259c2420e898d65606edec1f06,http://publications.europa.eu/resource/authority/country/ESP
ES51411,CADIZ-PUERTO,36.53442,-6.28426,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8a13fbbe553145957b5b5ee9850c55fb181d83a7,http://publications.europa.eu/resource/authority/country/ESP
ES51409,ESTADIO,36.5031,-6.2721,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a22274e8ee74a5a17f9b32eab86ae777ab69c49,http://publications.europa.eu/resource/authority/country/ESP
ES51404,SEGUNDA AGUADA (APD),36.5136,-6.2771,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9f0d408aa8ae559788b18788a450229428173b68,http://publications.europa.eu/resource/authority/country/ESP
ES51407,CORTADURA,36.4943,-6.2683,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c4cbc9b60518e188a32bfbddfa6a8a741e86e08e,http://publications.europa.eu/resource/authority/country/ESP
ESA5450,"BENALMADENA - AGUJA KM 19,0",36.6008,-4.5307,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2667f4e113f890ab25181bd7e9a38005d4ede7bb,http://publications.europa.eu/resource/authority/country/ESP
ES05447,PUERTO EL MUSEL,43.5672,-5.6917,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/286fb87506bd531ec761b46abdcd9289f746e14d,http://publications.europa.eu/resource/authority/country/ESP
EU00125,"KM. 517,6 (FRONTERA)",38.92024,-7.03015,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34d99889c223fc6b52964ff5100bc6f5ccb53fd8,http://publications.europa.eu/resource/authority/country/ESP
ES05552,RIBADESELLA PUERTO,43.4604,-5.0612,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bc82c4063db1443941786e6fb61776e44dfdbf58,http://publications.europa.eu/resource/authority/country/ESP
ES05561,VILLAHORMES,43.442,-4.9037,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e1b31df197b45faebb1e174ae3b6d4a5cdebfc4d,http://publications.europa.eu/resource/authority/country/ESP
ES22106,ARBO,42.107,-8.3002,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/09d13b5b5408a6acc11806db0200642d81769618,http://publications.europa.eu/resource/authority/country/ESP
ES05171,BURELA,43.6602,-7.3608,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34bf3c497452426ed557eaae64d3796574909ee8,http://publications.europa.eu/resource/authority/country/ESP
