uri,uri_canonical,id,name,lat,lon,op_type,op_type_label,country,op_type_code,op_type_name
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0295ed350d0c261ea34fd20e07c79e962e66ebe7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES79206,ES79206,GIRONA-MERCADERIES,41.9539,2.8063,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/ESP,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e393957410e59b7e741f83144d2ad50a9eed69f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES71600,ES71600,SANT VICENÇ DE CALDERS,41.1862,1.5247,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/ESP,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13262c5b924512005b565a13a347916805650d46,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ESA0823,ESA0823,BIF. CAMBIADOR VILECHA (AVE),42.53409,-5.57031,http://data.europa.eu/949/concepts/op-types/rinf/80,80,http://publications.europa.eu/resource/authority/country/ESP,80,junction
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1e7a8d87b46b288a1a58896960e37083a4820118,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES08251,ES08251,PORTA DE GALICIA,42.06228,-7.13583,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/ESP,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/29d26fd5073fbc616cac943589c812094467cc6e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES03410,ES03410,ELX AV,38.24421,-0.76822,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/ESP,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c039f61acf63c2a09d56ffec88d3cc04c2d314c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES13114,ES13114,OLLARGAN,43.2424,-2.9165,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/ESP,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ebef291a0c87514683bd2ea3e319436a9b13999,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES40004,ES40004,ALMENDRALEJO,38.6846,-6.3998,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/ESP,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36ae5e4fe63d9a826393cbb7a14f359ee718701b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES03309,ES03309,VILLENA A.V.,38.5861,-0.8749,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/ESP,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/44afd40149936513d3438f88b55dbf9930863250,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES81103,ES81103,ARRUBAL,42.431,-2.2561,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/ESP,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4656d2ef2d1255dd71a188768880cdf7c06524eb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ES51005,ES51005,LA NEGRILLA,37.3747,-5.9369,http://data.europa.eu/949/concepts/op-types/rinf/40,40,http://publications.europa.eu/resource/authority/country/ESP,40,freight terminal
