id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
ES00002,VALSEQUILLO,38.41332,-5.34852,1,5950.2,False,False,
ES00005,PEÑARROYA-PUEBLONUEVO,38.2919,-5.2745,10,19.4,True,False,
ES00006,C. DE K.(ANTIGUA BELMEZ),38.26299,-5.20812,1,338.1,False,False,
ES00008,ESPIEL,38.1766,-5.04685,1,3044.2,False,False,
ES00010,ALHONDIGUILLA-VILLAVICIOSA,38.1196,-4.9499,9,14.0,True,False,
ES00012,EL PARRALEJO,38.1164,-4.9419,3,58.4,True,False,
ES00013,EL VACAR-VILLAHARTA,38.0768,-4.853,1,1354.8,False,False,
ES00014,OBEJO,38.0258,-4.7895,1,302.9,False,False,
ES00015,CERRO MURIANO,38.002,-4.7694,1,3049.1,False,False,
ES00016,BALANZONA,37.9737,-4.7589,1,331.8,False,False,
ES00017,LOS PRADILLOS,37.9192,-4.7676,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ES00018,MIRABUENO,37.9149,-4.7734,0,,False,,
ES01001,EL SORBITO,37.2073,-5.7067,1,288.1,False,False,
ES01003,ARAHAL,37.2681,-5.5484,8,11.0,True,True,
ES01005,MARCHENA,37.3342,-5.4254,21,12.7,True,True,
ES01007,OSUNA,37.2338,-5.1148,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ES01009,PEDRERA,37.2224,-4.8937,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ES02000,LA MAROTA,37.7912,-4.9995,6,71.0,True,False,
ES02001,SANTAELLA ,37.5897,-4.892,6,123.9,False,False,
ES02002,PUENTE GENIL-HERRERA ,37.3597,-4.8223,7,75.7,True,True,
ES02003,ANTEQUERA-SANTA ANA,37.0714,-4.7202,17,7.1,True,True,
ES02004,ALORA-A. V.,36.8583,-4.6916,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ES02005,LOS PRADOS-A. V.,36.6983,-4.4769,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ES02020,CAMBIADOR ANTEQUERA,37.0665,-4.7205,22,5.0,True,True,
ES02030,ANTEQUERA AV,37.02817,-4.5612,17,27.2,True,True,
ES02035,ILLORA ,37.23058,-3.96086,0,,False,,
ES03001,MENGIBAR-ARTICHUELA,37.9779,-3.8019,8,18.7,True,True,
ES03100,JAEN,37.7799,-3.7908,31,8.7,True,True,
ES03200,MADRID - JARDIN BOTANICO,40.40755,-3.69324,13,62.2,True,False,
ES03201,VALDEMORO A. V.,40.1478,-3.7052,5,24.1,True,False,
ES03203,VILLARRUBIA DE SANTIAGO A. V.,39.9534,-3.3783,4,24.0,True,False,
ES03204,SANTA CRUZ DE LA ZARZA A. V.,39.9739,-3.1615,3,6.9,True,False,
ES03205,TARANCON A. V.,39.9774,-2.9962,5,27.8,True,False,
ES03206,CAMPOS DEL PARAISO,40.0266,-2.7118,3,4.8,True,False,
ES03207,HORCAJADA,40.0535,-2.476,5,32.6,True,False,
ES03208,CUENCA FERNANDO ZÓBEL,40.033,-2.1414,14,47.0,True,True,
ES03209,MONTEAGUDO DE LAS SALINAS,39.809,-1.9934,13,32.4,True,False,
ES03210,INIESTA,39.5233,-1.8083,4,23.7,True,False,
ES03211,MINGLANILLA,39.5251,-1.5584,2,415.5,False,False,
ES03212,CAUDETE DE LAS FUENTES,39.5475,-1.3057,2,145.3,False,False,
ES03213,REQUENA - UTIEL,39.5237,-1.1384,8,90.6,True,False,
ES03214,SIETE AGUAS A. V.,39.4632,-0.9475,5,26.2,True,False,
ES03215,CHIVA A. V.,39.4501,-0.7302,2,45.7,True,False,
ES03216,VALENCIA JOAQUIN SOROLLA,39.4599,-0.3823,49,45.1,True,True,
ES03217,CAMBIADOR VALENCIA,39.4552,-0.3812,57,13.7,True,True,
ES03300,POZORRUBIELOS,39.4841,-1.9855,4,69.1,True,False,
ES03301,TARAZONA,39.2757,-2.0116,2,960.1,False,False,
ES03302,LA GINETA A. V.,39.0923,-1.9457,2,1472.7,False,False,
ES03303,CAMBIADOR ALBACETE,38.9964,-1.8438,26,8.6,True,True,
ES03305,CHINCHILLA A.V.,38.8963,-1.7235,15,29.7,True,False,
ES03306,BONETE A.V.,38.8938,-1.3289,4,22.1,True,False,
ES03307,LAS CHOZAS,38.8206,-0.9796,2,664.1,False,False,
ES03308,CAUDETE A.V.,38.668,-0.9253,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ES03309,VILLENA A.V.,38.5861,-0.8749,4,102.4,False,True,
ES03310,MONFORTE DEL CID A.V.,38.4067,-0.6954,17,35.6,True,True,
ES03410,ELX AV,38.24421,-0.76822,10,65.3,True,False,
ES03412,CALLOSA DE SEG.- COX (AVE),38.13496,-0.87683,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ES03500,ARROYO DE LA HERRERA,39.94742,-6.18768,6,109.6,False,True,
ES03501,CERRO DE LA CABRERA,39.72689,-6.42949,0,,False,,
ES03602,ALDEA DEL CANO AV,39.25886,-6.37403,7,68.0,True,False,
ES04001,MADRID SUR,40.3468,-3.6635,15,102.9,False,False,
ES04002,VALLECAS A.V.,40.3393,-3.6151,4,658.7,False,True,
ES04003,MEJORADA DEL CAMPO,40.4066,-3.4906,2,1442.9,False,True,
ES04005,ALCALA DE HENARES A.V.,40.4557,-3.3144,2,1022.1,False,True,
ES04007,GUADALAJARA-YEBES,40.5865,-3.1265,9,44.1,True,True,
ES04009,BRIHUEGA,40.7965,-2.9298,2,458.9,False,False,
ES04011,LAS INVIERNAS,40.8973,-2.7024,2,5989.9,False,False,
ES04013,ALCOLEA DEL PINAR,40.9923,-2.5267,2,2957.9,False,False,
ES04015,MEDINACELI-A.V.,41.1202,-2.3493,2,347.3,False,False,
ES04018,ARIZA-A.V.,41.2259,-2.0702,6,70.2,True,True,
ES04020,ALHAMA DE ARAGON- A.V.,41.2828,-1.9064,2,2163.7,False,False,
ES04026,RICLA-A.V.,41.5259,-1.4051,2,101.9,False,False,
ES04028,"PLASENCIA DE JALON, A.V.",41.676,-1.2624,6,137.5,False,False,
ES04030,GUALLAR,41.6562,-1.0798,2,2058.5,False,False,
ES04031,BIF. CAMBIADOR ZARAGOZA-DELICIAS,41.6662,-0.9254,10,3.5,True,True,
ES04040,ZARAGOZA DELICIAS,41.6587,-0.9108,42,14.2,True,True,
ES04044,EL BURGO DE EBRO AVE,41.5521,-0.7553,2,2289.1,False,False,
ES04046,PINA DE EBRO,41.5316,-0.5219,2,758.6,False,False,
ES04048,BUJARALOZ,41.5331,-0.3539,6,25.8,True,True,
ES04050,VALFARTA,41.5264,-0.1585,2,757.0,False,False,
ES04052,BALLOBAR,41.572,0.1081,6,32.0,True,True,
ES04054,VALLMANYA,41.6185,0.3709,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ES04055,MONTAGUT-A.V.,41.6297,0.4957,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ES04100,EL SEGRE,41.6028,0.6023,2,1771.9,False,False,
ES04101,LES BORGES BLANQUES-A. V.,41.539,0.7774,2,2069.7,False,False,
ES04102,LESPLUGA DE FRANCOLI-A. V.,41.4043,1.1029,6,73.8,True,False,
ES04103,ALCOVER-AV,41.2688,1.1873,7,31.0,True,False,
ES04104,CAMP DE TARRAGONA,41.1921,1.2719,14,4.6,True,True,
ES04105,LA POBLA DE MONTORNES- A.V.,41.1871,1.433,3,48.9,True,False,
ES04106,L'ARBOÇ- A.V.,41.2785,1.605,8,48.1,True,False,
ES04107,VILAFRANCA DEL PENEDÉS- A.V.,41.358,1.7165,18,25.4,True,False,
ES04108,GELIDA- A.V.,41.4427,1.8332,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ES04109,SANT VICENÇ  DELS HORTS- A.V.,41.4055,2.0123,12,111.7,False,False,
ES04110,EL PRAT DE LLOBREGAT-A.V.,41.3306,2.0894,27,22.1,True,True,
ES04120,CAMBIADOR DE LA BOELLA,41.13888,1.16833,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ES04200,RODA DE BARA - CAMB. ANCHO,41.1833,1.4378,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ES04303,RIELLS-A. V.,41.7295,2.5787,6,199.5,False,False,
ES04304,VILOVI D'ONYAR A.V.,41.8865,2.7665,5,102.0,False,False,
ES04305,BASE MTO. RIELLS,41.7451,2.6202,6,23.5,True,False,
ES04307,FIGUERES - VILAFANT,42.2646,2.943,24,9.6,True,True,
ES04313,LIMITE ADIF - LFPSA,42.2872,2.933,4,493.4,False,True,
ES05000,GRANADA,37.184,-3.6091,65,17.9,True,True,
ES05002,ATARFE-SANTA FE,37.2168,-3.6959,5,19.3,True,True,
ES05004,PINOS PUENTE,37.2473,-3.7561,2,131.7,False,False,
ES05009,TOCON-MONTEFRIO,37.233,-3.9631,4,46.6,True,False,
ES05012,LOJA,37.1751,-4.135,6,9.7,True,True,
ES05015,SALINAS-VILLANUEVA DE TAPIA,37.123,-4.2975,9,6.5,True,True,
