osm_id,name,type,ref,lat,lon
node/20962897,Avenida de Guadalajara,stop,,40.4224813,-3.6121729
node/21722641,Eugenia de Montijo,stop,,40.3844291,-3.7510838
node/21722663,Empalme,stop,,40.3907288,-3.7654716
node/21722667,Casa de Campo,stop,,40.4034711,-3.7608635
node/21722670,Batán,stop,,40.4078337,-3.7531106
node/21722690,Lago,stop,,40.4164656,-3.7350259
node/21757086,Las Musas,stop,,40.4325743,-3.6078911
node/21759678,Sol,stop,,40.4169107,-3.703897
node/21759679,El Capricho,stop,,40.4536101,-3.5941372
node/21759680,Colonia Jardín,stop,,40.3968649,-3.7748334
node/21759690,La Latina,stop,,40.4117597,-3.708072
node/21759700,Puerta de Toledo,stop,,40.407048,-3.7111052
node/21759723,Pirámides,stop,,40.4026876,-3.7110335
node/21759735,Marqués de Vadillo,stop,,40.3973162,-3.7167387
node/21759736,Oporto,stop,,40.3886398,-3.7317687
node/21759737,Carabanchel,stop,,40.3878336,-3.7449956
node/21775666,Acacias,stop,,40.4041047,-3.7059068
node/21775778,Vista Alegre,stop,,40.3888034,-3.7400577
node/21956103,Lavapiés,stop,,40.4085263,-3.7009288
node/21964104,Callao,stop,,40.4203838,-3.706136
node/21990715,Tribunal,stop,,40.426534,-3.7004678
node/22032372,Gran Vía,stop,,40.4200143,-3.7015909
node/23646367,Carabanchel Alto,stop,,40.3718603,-3.7519182
node/25902050,Colón,stop,,40.4258155,-3.6922281
node/25902051,Serrano,stop,,40.4252673,-3.6865794
node/25902689,Gregorio Marañón,stop,,40.4376518,-3.6912014
node/25903008,Santiago Bernabéu,stop,,40.4523258,-3.6906623
node/25903354,Sevilla,stop,,40.4177772,-3.6999479
node/25903355,Banco de España,stop,,40.4190696,-3.6949281
node/25903356,Retiro,stop,,40.4204766,-3.6864209
node/25906010,Príncipe Pío,stop,,40.4209771,-3.7190967
node/25906011,Plaza de España,stop,,40.4240727,-3.7097314
node/25906012,Alonso Martínez,stop,,40.4283179,-3.6965617
node/25906279,Chueca,stop,,40.4227327,-3.6976417
node/25920146,Cuzco,stop,,40.4594822,-3.6899628
node/25934729,Bilbao,stop,,40.4287276,-3.7006942
node/25935011,San Bernardo,stop,,40.4303075,-3.7054229
node/25935520,Argüelles,stop,,40.4306024,-3.7163329
node/26009598,Ciudad Lineal,stop,,40.437947,-3.6377478
node/26009601,Canillejas,stop,,40.4491308,-3.608597
node/26066629,Noviciado,stop,,40.4245967,-3.7073723
node/26068173,Santo Domingo,stop,,40.4210356,-3.7081322
node/26068752,Urgel,stop,,40.3925542,-3.7253867
node/26080642,Príncipe Pío Vía 1,stop,,40.4218982,-3.7197273
node/26203551,Barrio del Pilar,stop,,40.4771092,-3.7034268
node/26203552,Herrera Oria,stop,,40.4846603,-3.7079102
node/26203553,Ventilla,stop,,40.4698795,-3.6961919
node/26203554,Plaza de Castilla,stop,,40.4664767,-3.6896943
node/26212732,Villafranca de Navarra,station,,42.2807416,-1.745439
node/26230611,Castejón de Ebro,station,,42.1728682,-1.6924387
node/26340396,Tirso de Molina,stop,,40.4124283,-3.7042517
node/26340397,Antón Martín,stop,,40.412312,-3.6990832
node/26377011,Tudela de Navarra,station,,42.0594993,-1.5976655
node/26377358,Ribaforada,station,,41.9970724,-1.5154793
node/26377361,Buñuel,station,,41.9716307,-1.4873386
node/26377368,Gallur,station,81206,41.8669337,-1.3211682
node/26380805,Calatayud,stop,,41.3463873,-1.6385401
node/26382278,Guadalajara/Yebes,station,,40.5865167,-3.1259778
node/26389601,Ciudad del Cine,stop,,40.3945554,-3.7956823
node/26389620,Ciudad de la Imagen,stop,,40.3971056,-3.7839986
node/26389623,José Isbert,stop,,40.3952778,-3.7899233
node/26494720,Estación del Arte,stop,,40.408809,-3.6913929
node/26494721,Atocha,stop,,40.406975,-3.688582
node/26578948,Moncloa,stop,,40.4347116,-3.7193305
node/26753652,Fuencarral,stop,,40.494746,-3.6930347
node/26808567,Ventura Rodríguez,stop,,40.4267691,-3.7132548
node/26837751,Etxarri Aranatz,station,,42.9109612,-2.0717275
node/27515687,Guzmán el Bueno,stop,,40.4464716,-3.7120365
node/27582265,San Fermín-Orcasur,stop,,40.3699785,-3.6943222
node/28634304,La Calzada,stop,,43.5352895,-5.6977884
node/28976097,Serín,stop,,43.5049595,-5.7821053
