osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/8087619814,Plaça de Catalunya (FGC),stop,,41.3859262,2.1684059,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1799481ff861e2a30681c788d8ffcb981cabdcb7,ES78805,PLAÇA DE CATALUNYA,200.5
node/9883991465,Venta de Baños,stop,,41.9170623,-4.4966841,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4da8a899d07303b32ae73979238973e7aa7ad37d,ES11000,VENTA DE BAÑOS,200.7
node/3724405031,Soto del Henares,stop,,40.46391,-3.44155,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8fb5ebbf2019f1295e26f66bfd1d64fe8e33c64a,ES70112,SOTO DEL HENARES(APD),204.0
node/2459459539,Logroño,station,,42.4577405,-2.4384028,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d92f4b6864c170d24724d0f849d48377e39e915,ES81100,LOGROÑO,204.9
node/12546448453,A Gudiña-Porta De Galicia,station,,42.0637198,-7.134275,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1e7a8d87b46b288a1a58896960e37083a4820118,ES08251,PORTA DE GALICIA,205.2
node/2609596105,Atocha - Vía 7,stop,,40.4046954,-3.6875183,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d39a829cc080d1ade5c9dfe1a0a435fb948f2f7,ES18000,MADRID-ATOCHA CERCANIAS,205.7
node/2609596100,Atocha - Vía 6,stop,,40.4047208,-3.6874792,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d39a829cc080d1ade5c9dfe1a0a435fb948f2f7,ES18000,MADRID-ATOCHA CERCANIAS,205.8
node/7090997005,Venta de Baños,stop,,41.9171159,-4.4967521,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4da8a899d07303b32ae73979238973e7aa7ad37d,ES11000,VENTA DE BAÑOS,205.8
node/2609596071,Atocha - Vía 10,stop,,40.4045688,-3.68773,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d39a829cc080d1ade5c9dfe1a0a435fb948f2f7,ES18000,MADRID-ATOCHA CERCANIAS,206.0
node/5314633722,Passeig de Gràcia,stop,,41.3893327,2.1684075,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1799481ff861e2a30681c788d8ffcb981cabdcb7,ES78805,PLAÇA DE CATALUNYA,206.6
node/5299314577,Estación del Arte,station,,40.4088389,-3.6914748,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/762a53346e4c66053af0fffee3e9e3811ebb59c3,ES03200,MADRID - JARDIN BOTANICO,207.1
node/5299219127,Estación del Arte,stop,,40.4087894,-3.6914124,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/762a53346e4c66053af0fffee3e9e3811ebb59c3,ES03200,MADRID - JARDIN BOTANICO,207.2
node/2609596088,Atocha - Vía 4,stop,,40.4047917,-3.687344,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d39a829cc080d1ade5c9dfe1a0a435fb948f2f7,ES18000,MADRID-ATOCHA CERCANIAS,208.0
node/8087619815,Plaça de Catalunya (FGC),stop,,41.3858518,2.168391,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1799481ff861e2a30681c788d8ffcb981cabdcb7,ES78805,PLAÇA DE CATALUNYA,208.7
node/26494720,Estación del Arte,stop,,40.408809,-3.6913929,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/762a53346e4c66053af0fffee3e9e3811ebb59c3,ES03200,MADRID - JARDIN BOTANICO,209.9
node/2609596083,Atocha - Vía 3,stop,,40.4048424,-3.6872354,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d39a829cc080d1ade5c9dfe1a0a435fb948f2f7,ES18000,MADRID-ATOCHA CERCANIAS,210.9
node/7044883744,Nuevos Ministerios,station,,40.4450104,-3.6919655,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08b675b8d57ca1d492fda1ae9937e9b88ea48577,ES18002,MADRID-NUEVOS MINISTERIOS,211.2
node/1152699040,Nuevos Ministerios Vía 6,stop,,40.4457741,-3.6928702,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08b675b8d57ca1d492fda1ae9937e9b88ea48577,ES18002,MADRID-NUEVOS MINISTERIOS,212.9
node/5307617521,Plaça de Catalunya (FGC),station,,41.3857937,2.1683846,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1799481ff861e2a30681c788d8ffcb981cabdcb7,ES78805,PLAÇA DE CATALUNYA,214.9
node/12123676705,Almudévar,station,78102,41.9961343,-0.6426959,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d37ae03fa88c1af69c39e751876ca6bc30dda154,ES78102,ALMUDEVAR,215.3
node/444122528,Garrovilla-Las Vegas,halt,,38.9153684,-6.4772095,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/453e3fac6d2bb0b95663c56ffdadb0547f2fdf07,ES37611,GARROVILLA-LAS VEGAS (APD),215.3
node/7124491022,Cambrils,stop,,41.0809788,1.0450488,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/16d67fe1711e360b3ffaff6608fce4f5c4e2240e,ES65422,CAMBRILS,215.7
node/10592347453,Cuenca-Fernando Zóbel,stop,,40.034115,-2.1434889,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8d0e3490e9bb604e1c006205d6da1d871a3681d1,ES03208,CUENCA FERNANDO ZÓBEL,216.8
node/13100244630,Santiago de Compostela-Daniel Castelao,stop,Via 3D,42.8714803,-8.5422005,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a7de4162d2c9f3ea70226b17f8ca52e5b2f3d947,ES31400,SANTIAGO DE COMPOSTELA,217.3
node/7980185285,Cuenca-Fernando Zóbel,stop,,40.0340184,-2.1435953,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8d0e3490e9bb604e1c006205d6da1d871a3681d1,ES03208,CUENCA FERNANDO ZÓBEL,218.5
node/556353757,Nuevos Ministerios Vía 8,stop,,40.4457868,-3.6929609,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08b675b8d57ca1d492fda1ae9937e9b88ea48577,ES18002,MADRID-NUEVOS MINISTERIOS,219.3
node/3673333977,Plaça de Catalunya (FGC),stop,,41.385742,2.1683986,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1799481ff861e2a30681c788d8ffcb981cabdcb7,ES78805,PLAÇA DE CATALUNYA,219.9
node/3572372711,Soto de Cerrato,halt,,41.9571655,-4.4473416,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8cb73047dda4bf16405368c39a716b50673369bd,ES11003,SOTO DE CERRATO,220.8
node/5362838962,Passeig de Gràcia (L2),station,,41.3894431,2.1682772,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1799481ff861e2a30681c788d8ffcb981cabdcb7,ES78805,PLAÇA DE CATALUNYA,222.0
node/10592347455,Cuenca-Fernando Zóbel,station,66100,40.0339646,-2.1436891,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8d0e3490e9bb604e1c006205d6da1d871a3681d1,ES03208,CUENCA FERNANDO ZÓBEL,222.5
