start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/85e45df0ac7750b296fa8def86e9aa8eba21f797,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c73b076bfd39979532f2db327e9bf52d8cf5af19
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2865d2f8ba9108484ddadacc93b3cabeb0db860e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ddc8e85c721442090adc1dcb52f722845ba17ef1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e76d23bcf75308ac1aaa7ae7f7b9b04ce09d7513,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/21d88d4ffbcf8b1e6454d91ca9ab9dc71dff94b7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/652b4dbf003b4ba577a8fda415336875da4e542c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bc42cf07f22b7d50ed6390bef1969a9834357fcd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e674e7a9dc65088bd78e0108f655c6fb4bde994c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cbcde4cecbd39bb4a4407493d9fdaddee575209a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/54a2ca5225b21ef31f407821e79fff7a70f9a9d7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f9f40929385e5508d047a4fa29d4b8bbfbd88f2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/66f7bc15f30a2531b41db9adb2cfcf66055ccf09,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/21c19dd463e9dc5855d781080178b70ef4a44b95
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a39ee94aadd091c2db7523718c575777cd8e098e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/943a8dbe86391cace84e14e3b5d280b0ff006e6a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f7e24a410db6c77d5c87deedd7ab590e7238264,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/488824794b1e2a2d63be24bae0aab506b3ad3f5e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/585e640c9e1c8dd95cbe296ef8abb950aed486ae,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/705e22e20bf75a213f2479213754aca7e0c54bf6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a84f32a876eefd4ce018762a65da7e8b8b9cf11a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/61515eae1550190ebc2584704e8c372f510a5161
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/594ce90b1c4617bd3106b9f87b44413779aac6ba,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dea0a4261d6250024d2c19fe03a63ed16fe9a138
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db416937f5468162088dba04ce2cd7db302c1b86,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/64d16dad439d13b6dcebc9128a67868547ad2329
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1b06cbdb07f50afdb9796cdc75ecd9eb25d8d59a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/49f13b9e8a224efc949681cdd67258e5bc099afd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dc3b4fc86f1ba05fc215b81bdae1099155d0c308,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8a3d93dc214de406863a6aba407c0475636754a8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f25488e763275c6a73de46792b9ac01b6dfa5270,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0f95c708c1d64886cba99d0dea64bd6aed0f93b6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6946674174b274e8818d2876c6d8fc4d257a10cc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4f7ad7c7bd9e1f31dbd1f2dbcc03a19c92273f11
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/362cbc6afae68f60b5071f7860d1c1eed81c3758,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4be24ccc6f9990b1dfd607b778c12bcaf5936591
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c04598035d946325f2a202ed7da14c2de340ba92,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/146591829b1fbdf852ca8ea2b41481b7f4aa511a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f9be38b7340d17d726360d7397e46a12f55e55c4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eb906bdbf3cdd0afe694d331a186cb1404e75f03
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd8255e6466ec11000c8207a495823b42afab072,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8a9c69bb7191d0bfdc81b2c0c3045e7241bdf88d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/79ce104cfd91251b7e062f3b634f3f12caef0410,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0ee5c6d0d20e968cba367ec82f3e531558a4648c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/16174fe8af48b83af89461bf45586a4181a75366,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dbfb9369f8e303a98a824d3afa5b15c68ce191d9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/904cd0e2898f977112ed7277d8ceb0b2eb721d26,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/281d47fa519e373b683109ba19da9ca3595380a2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b0c261ad553c529a6925cd5306471b0b97228d2f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cb39b132ad07062732ca7bf68e8f2f4ee6013508
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ba55565ff37969cb404b12c7aba63be478a31684,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/169d391ce9945557efbd29671cdd58c2364bf2d4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d5c91b4c38e623c02d6c5562201a2e909fdc8eeb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e4ffbe59cbc9e46176822f204c4e381b0adfee42
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4f7ad7c7bd9e1f31dbd1f2dbcc03a19c92273f11,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1feb2d4207f6090cc84ca8bc01c1bcb284db7ccf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/29b6643f1996dd7dac4600dae05e26382d6b7958,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b088fdd66c66c555bbe2baa61e4752a6138888c2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a887206e320e8ce03af1228e2258dfa3e6b4b1a4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db0d493c3141b8d325466e294faf68100bc0a593
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e36d57833d4c551bc5d1dc4a3ed1163cf662d9c1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f97e6a8a606388562444fba0d153980ed4ebb36
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b52bfb0fbc6e614ebc0c72e8583bb9db9ce4d9c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a0362e197622ec86c7c90540f0c1979698f17043
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1b8c3ed6e42e9f191c6eacd4aead22e41a8da454,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/508426f55979070a3255d87e44bdf506bf6693a7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b8eb695ca0a3592b2e544da11e2bf0ee8e52cfe4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/70d5cbdfedc0c29a0a40a56969c1811c727bde50
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eb0d49271d44ec18a2100e697bc1e9c821b2d2b8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/683fcd354adead8508fb7d9c8c802ed8b3e5a005
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca3e149b77e4a8e579afc7e49d3781fddc21139d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1264eee67ee4f3820f679f080c3517409c9e8e5b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/85e23b4ac491f5a6944ab7de95a6a9b6ebbafac1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b8a6d1a0e7ffe87e659714625b42d4ba369c2fa6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/daf41c26de71e71336ea3a2d382eca8e6a87eb30,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d1b5f89fe76a86c49e691093314e55c1553395bd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a9cc4b9bdb82fadf0d01218b57bdc392a10ed782,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0a2ac679d74acc711f7a33046e03a06adb68e95e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f2f13c51c8b67de7914e6201e87c63fbf274acac,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d43c93366db0fb0e4b482e55df220b3bda50494e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b8fd07c109c326c1bc9fa98e9d54480a25b72695,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/85e45df0ac7750b296fa8def86e9aa8eba21f797
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8360beb5ef2fa9663fad35b2d8c84b8c45832678,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/603ae6875579f7522efe93c1019e409225e06f10
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d732ca51c138f7dcb2582b903a8fb610c434ccd4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/40b7ef5276105786df99a244aa919b21b9f46d08
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/09e60f5ace90691b0601bbe71c822c407512a44a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9f4696c5eff4de95c2c366b3d4e962d9737d6989
