osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/7775425183,Mjölby,stop,My,58.3208911,15.1315245,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8885e469221d8c8b45acf724d0a48a19dfa8db24,SEMy,Mjölby,203.9
node/9910638881,Vännäs,station,Vns,63.9084906,19.7496924,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/90d68709fc8a47bad52235db9f21c1ce1c8380f7,SEVns,Vännäs,204.0
node/9952736897,Bjärnum,halt,,56.2916729,13.7065977,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b3a888d6cf084018a9ad25c88189a055ad1580f7,SEBjm,Bjärnum,205.8
node/10059059406,Solna station,station,,59.3638738,18.0084881,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b088fdd66c66c555bbe2baa61e4752a6138888c2,SESo,Solna,207.9
node/436528745,Björkliden,stop,1,68.4065232,18.6857989,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c87062b1bfb1d1c5f22b5fefe5993af912f15bfc,SEBln,Björkliden,210.1
node/11383125340,Björkliden,station,Bln,68.406528,18.6856266,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c87062b1bfb1d1c5f22b5fefe5993af912f15bfc,SEBln,Björkliden,210.5
node/5333590237,Stockholm City,stop,Sci,59.331844,18.058445,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,215.1
node/4225502319,Farsta strand,station,Fas,59.2350494,18.1020664,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/038d5ace1652d11295f1cbdf9717a1f1a057727f,SEFas,Farsta strand,216.9
node/8916965565,Odenplan,stop,,59.3430357,18.0479116,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3f9bd915b98e81fc4943c3b5e167b92c39eac0b0,SESod,Stockholm Odenplan,220.1
node/3398224955,Stockholm City,stop,Sci,59.3318501,18.0587872,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,222.3
node/4225502357,Odenplan,station,Odp,59.3429891,18.0479301,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3f9bd915b98e81fc4943c3b5e167b92c39eac0b0,SESod,Stockholm Odenplan,224.4
node/4960264542,Stockholm City,stop,Sci,59.3318164,18.0591111,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,226.6
node/5333590238,Stockholm City,stop,Sci,59.3317249,18.0594651,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,227.7
node/664390768,Skövde C,stop,Sk,58.3908121,13.8537282,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca7deda44e90e0c68f32873c58592ee304596bc5,SESk,Skövde central,227.9
node/8916965564,Odenplan,stop,,59.3429345,18.047948,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3f9bd915b98e81fc4943c3b5e167b92c39eac0b0,SESod,Stockholm Odenplan,229.4
node/5333401834,Stockholm City,station,Sci,59.3319942,18.0589031,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,239.7
node/2082713629,Stockholm Central,stop,,59.3319019,18.0552762,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,240.6
node/2408227636,Öxnered,stop,Öx,58.3590493,12.2737828,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c6d2cc9cfe125182217da5962437dfeaaf9ba54c,SEÖx,Öxnered,259.5
node/25293187,Öxnered,stop,Öx,58.3590401,12.2738573,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c6d2cc9cfe125182217da5962437dfeaaf9ba54c,SEÖx,Öxnered,259.7
node/7023282301,Stockholm Central,station,,59.3322085,18.0557318,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,261.2
node/2509641547,Stockholm Central,stop,,59.3322153,18.0556404,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,263.7
node/412207994,Stockholm Central,stop,,59.3322687,18.0558212,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,265.8
node/846358616,Tvärålund,station,Tvä,64.0973903,19.6749392,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2361f241ef97e59605351a942428bf069fb3eac2,SETvä,Tvärålund,287.5
node/9467961975,Munkedal,station,Mkl,58.4647929,11.6779196,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/749bba70ac32a4be35eb516ee86800c7f03dc8f9,SEMkl,Munkedal,289.4
node/5190465484,T-Centralen,stop,TCE,59.3322912,18.059873,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,293.6
node/5190465485,T-Centralen,stop,TCE,59.3325542,18.0597636,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1155158dde0ba715bd35f6f32cb0571fee57b5ee,SECst,Stockholms central,316.5
