id,name,lat,lon,uri,country
CH06314,St. Margrethen SG,47.453216,9.6382619,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aee297a6314d5f7e919c5649988302f4f24b41df,http://publications.europa.eu/resource/authority/country/CHE
CH16355,Gaggiolo Confine,45.8385204,8.9129136,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/148b7c43e85ab2299c53cb53f384d24fc5c6d2fb,http://publications.europa.eu/resource/authority/country/CHE
CH15393,Chiasso Est,45.8299445,9.0368403,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7994173e99274f41b7988c63d2b9147e8d194041,http://publications.europa.eu/resource/authority/country/CHE
CH15632,Chiasso Olimpino II,45.8207781,9.0474565,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/85ca4bdd63200decfc5756b39cc23569ac76ca8d,http://publications.europa.eu/resource/authority/country/CHE
CH15392,Chiasso Ovest (bif),45.8337909,9.0269467,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/be26bcbc682b4b05b80a8f06d58a3a54ddc9b987,http://publications.europa.eu/resource/authority/country/CHE
CH15471,St. Margrethen Ost (Abzw),47.4519436,9.64538,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e1106957104e98c979bed81a1c5a95112f103892,http://publications.europa.eu/resource/authority/country/CHE
CH15419,Pino confine,46.1036393,8.7564662,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f347a79f11f04ac8dd9d51a8e7fd51b547c71b71,http://publications.europa.eu/resource/authority/country/CHE
CH96012,"St-Louis, Saint-Exupéry",47.5765373,7.5561247,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/09b0df803c9a61e0d2ca72fc7cfc86fc4b732952,http://publications.europa.eu/resource/authority/country/CHE
CH04210,Les Verrières-Frontière,46.8991654,6.4590026,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/165e38f70ab24a7d6ef6979f10294d036e4cc39d,http://publications.europa.eu/resource/authority/country/CHE
CH89475,"Riehen, Pfaffenloh",47.5789949,7.6409973,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/214a8b042fe1d44d5b94e3475407e1f7e558d5a7,http://publications.europa.eu/resource/authority/country/CHE
CH00052,Basel Grenze (FR),47.5775602,7.5675951,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7e7d58493eb96a973b6c25a8070d53f61d8ec428,http://publications.europa.eu/resource/authority/country/CHE
CH99993,"Basel, Burgfelderhof Nord",47.5730519,7.5576187,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8df73cecb7442da478e864ebdb5e8f949332c9ff,http://publications.europa.eu/resource/authority/country/CHE
CH89455,"Riehen, Grenze",47.5943841,7.6550336,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca148a20b6efd5cb9f8eafd10fbfeb4f7c5e7f7a,http://publications.europa.eu/resource/authority/country/CHE
CH05309,Chiasso Smistamento,45.836505,8.9990773,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4d55656d404d9c32db3db45909028534b4d478a2,http://publications.europa.eu/resource/authority/country/CHE
CH00327,Full,47.6094052,8.1969804,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c88a828db40aaf555801de670b850b5b301c0e5a,http://publications.europa.eu/resource/authority/country/CHE
CH04392,Les Brenets,47.06721,6.70739,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d65b18eb79fbe221490a244f7e61f853370037e0,http://publications.europa.eu/resource/authority/country/CHE
CH19547,Rodersdorf (Wds),47.4813007,7.4595877,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/251f05c47ddf485fac89d6762eb15b14803275bc,http://publications.europa.eu/resource/authority/country/CHE
CH89444,"Riehen, Bettingerstrasse",47.5824186,7.6466466,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e019201b5742a7caec63cc231ad47dcc7aff9791,http://publications.europa.eu/resource/authority/country/CHE
CH99991,"Basel, Burgfelderhof Süd",47.5714208,7.5577029,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f5052ec9227cb2c7bba962975b1ee257cd92fe86,http://publications.europa.eu/resource/authority/country/CHE
CH92350,"Weil am Rhein, Riedlistrasse/Kesselhaus",47.5901865,7.6004388,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/05b52d1b51954784d21e0900a15dbf754ef8573d,http://publications.europa.eu/resource/authority/country/CHE
CH16764,Riehen,47.5831902,7.6520956,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0c91e8e94888ef2b7fc82f735d49f158ee02cee4,http://publications.europa.eu/resource/authority/country/CHE
CH89456,"Riehen, Habermatten",47.5730123,7.6295254,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/113b5f95aa8ad0732a094973399b9a99a8d8de53,http://publications.europa.eu/resource/authority/country/CHE
CH95518,"Weil am Rhein, Dreiländerbrücke",47.5909308,7.5940387,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/212c833785c863496e778832e30360b35a36dfc7,http://publications.europa.eu/resource/authority/country/CHE
CH95517,"Basel, Weil am Rhein Grenze",47.5889285,7.5931751,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3597db05f106e340e7cb3e816ba0790374d013b3,http://publications.europa.eu/resource/authority/country/CHE
CH99992,"Basel, Burgfelderhof West",47.5719052,7.5569452,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35bc5e45ee4ace2983bead4ac08270e1848af403,http://publications.europa.eu/resource/authority/country/CHE
CH89446,"Riehen, Burgstrasse",47.5776386,7.6389061,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3682e109189bfdaa60b468b0b9ac3239c85dc3ff,http://publications.europa.eu/resource/authority/country/CHE
CH09368,Campocologno,46.233408,10.1418049,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4006611085a789ba43863542763fcdab42976cfa,http://publications.europa.eu/resource/authority/country/CHE
CH96011,"Basel, Burgfelderhof",47.5723275,7.5572068,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/660407cc4ecaab07405ca2ccd5f618c9324a50ee,http://publications.europa.eu/resource/authority/country/CHE
CH00070,"Rodersdorf, Station",47.4809169,7.4589917,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/66d456853d3dd0205d008f0a7c7f93544a05a026,http://publications.europa.eu/resource/authority/country/CHE
CH01060,La Cure,46.4652784,6.0736243,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/717964c5ac40759bee81d85675fc4ecd5adf5cb8,http://publications.europa.eu/resource/authority/country/CHE
CH09369,Tirano,46.2157591,10.1664382,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/79b866b91c72ebc968c01b245641bcf76ae952bc,http://publications.europa.eu/resource/authority/country/CHE
