uri,uri_canonical,id,name,lat,lon,op_type,op_type_label,country,op_type_code,op_type_name
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0309061d1042789bf1ccc6514dac97eeae981ec7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH18307,CH18307,Pollegio binario di sorpasso,46.3593937,8.9510909,http://data.europa.eu/949/concepts/op-types/rinf/80,80,http://publications.europa.eu/resource/authority/country/CHE,80,junction
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08ed26ebcd266b49d5ff1bf63f9db9c6209e4156,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH09404,CH09404,Buchs SG,47.168412,9.4786367,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13f752c08616a80da89f7dc70248982224dec978,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH02104,CH02104,Hunzenschwil,47.3882859,8.1256932,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1804cc9257304951bc78257ac42a18e9235582bf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH07298,CH07298,Wimmis,46.6757222,7.6355975,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/32fb8ce9a127d04dfa0f3e409c541f813f0dfb66,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH05304,CH05304,Capolago-Riva S. Vitale,45.9028373,8.9789053,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/389b16284c35482a0a61532fb8ec2fb3e1ab78c5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH05212,CH05212,Castione-Arbedo,46.2229217,9.0414618,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/41b1a6317cebc079271173d78d975c3e8eb0b54e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH02202,CH02202,Rotkreuz,47.1417642,8.4304953,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4380b9f741e3ea20963dd7197c262539256a4b1e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH03288,CH03288,Wollerau,47.1954376,8.7250098,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c845bf164feb3d3ee6a7ce1e510285ed4fc90d2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH03319,CH03319,Niederweningen,47.5112006,8.3696306,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/61ee394fab323dea220b5c1a1d8d5fe1d5734a49,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH03101,CH03101,Küsnacht ZH,47.3191566,8.5806378,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/67a998d26dbdcfc0376138bfe2a2387c0c86975d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH00232,CH00232,Härkingen Post,47.3216142,7.8184598,http://data.europa.eu/949/concepts/op-types/rinf/80,80,http://publications.europa.eu/resource/authority/country/CHE,80,junction
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f32f8456725dd9bb0292156e181686a8ffc0ad8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH01035,CH01035,Allaman,46.4757535,6.3996971,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/718542053451c0bf6395e1b8dd3d320c8a7e2726,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH04100,CH04100,Fribourg/Freiburg,46.8031482,7.1510469,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/72e2de23102b6bd36c2be657e668732ddaa5e0e8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH03527,CH03527,Buchs-Dällikon,47.4534053,8.4356017,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/CHE,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7369857af36557c47e7d3f5a51375ee2ec52d050,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/CH04230,CH04230,Neuchâtel-Vauseyon,46.9909002,6.9163819,http://data.europa.eu/949/concepts/op-types/rinf/80,80,http://publications.europa.eu/resource/authority/country/CHE,80,junction
