id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
CH00010,Basel SBB,47.5474121,7.5895628,173,19.8,True,True,
CH00012,Basel Kleinhüningen Hafen,47.5780238,7.587733,59,1.5,True,False,
CH00013,Basel SBB RB,47.5363586,7.6463823,131,13.1,True,True,
CH00015,Basel SBB GB Ost,47.5426038,7.6157479,80,7.7,True,True,
CH00016,Basel St. Johann,47.5703063,7.5725294,53,21.4,True,True,
CH00019,Schweizerhalle,47.5313177,7.6625906,149,28.0,True,True,
CH00020,Muttenz,47.5335912,7.6478944,127,4.3,True,True,
CH00021,Pratteln,47.5226686,7.6908173,44,9.7,True,True,
CH00022,Frenkendorf-Füllinsdorf,47.50147,7.7191105,24,9.4,True,True,
CH00023,Liestal,47.4844612,7.7313675,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CH00024,Lausen,47.4703447,7.7597628,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CH00025,Itingen,47.4672787,7.787226,9,7.9,True,True,
CH00026,Sissach,47.4627541,7.8120276,14,8.3,True,True,
CH00027,Gelterkinden,47.4658937,7.8476672,7,15.0,True,True,
CH00028,Tecknau,47.4457602,7.8876182,13,6.6,True,True,
CH00029,Hauenstein Nord (Spw),47.4175143,7.8990281,13,0.5,True,True,
CH00031,Diepflingen,47.4495605,7.8377174,4,2.1,True,True,
CH00032,Sommerau,47.4390214,7.8514814,4,4.2,True,True,
CH00033,Rümlingen,47.4253793,7.8505419,5,2.5,True,True,
CH00034,Buckten,47.408991,7.8478005,6,2.1,True,True,
CH00035,Läufelfingen,47.3921329,7.8562316,21,1.4,True,True,
CH00037,Trimbach,47.3660522,7.9042854,5,1.8,True,True,
CH00038,Basel St. Jakob,47.5426131,7.6195323,78,11.5,True,True,
CH00040,Basel SBB GB,47.5423575,7.6088323,186,0.0,True,True,
CH00044,Basel SBB RB Nordkopf (Abzw),47.5396484,7.6323643,103,6.2,True,True,
CH00045,Gellert,47.5492183,7.6154372,21,9.4,True,False,
CH00046,Ruchfeld,47.5339333,7.612077,87,1.0,True,True,
CH00047,Basel SBB GB VL,47.5389256,7.6126119,14,0.9,True,True,
CH00051,"Reinach BL, Dorf",47.4931216,7.5894545,23,8.7,True,False,
CH00052,Basel Grenze (FR),47.5775602,7.5675951,39,13.2,True,True,
CH00060,"Binningen, Schloss",47.5373796,7.5751442,16,1.8,True,False,
CH00061,"Binningen, Bottmingermühle",47.5319917,7.5733416,20,4.3,True,False,
CH00062,"Bottmingen, Schloss",47.5243687,7.5715936,17,3.0,True,False,
CH00063,"Oberwil BL, Zentrum",47.514756,7.5591662,15,17.7,True,False,
CH00064,"Therwil, Zentrum",47.4999754,7.5573304,18,5.0,True,False,
CH00065,"Ettingen, Bahnhof",47.4837123,7.5462698,36,2.9,True,True,
CH00066,"Witterswil, Station",47.4874545,7.5218129,16,5.1,True,False,
CH00067,"Bättwil, Dorf",47.4892024,7.5093029,10,2.9,True,True,
CH00068,"Flüh, Bahnhof",47.4888903,7.5001541,34,3.3,True,True,
CH00069,"Leymen, Station (F)",47.4927511,7.4849974,18,1.1,True,True,
CH00070,"Rodersdorf, Station",47.4809169,7.4589917,17,2.3,True,True,
CH00071,"Binningen, Dorenbach",47.5437077,7.5781303,23,14.5,True,False,
CH00072,"Oberwil BL, Hüslimatt",47.5064307,7.5551891,38,2.5,True,True,
CH00073,"Basel, Aeschenplatz",47.551328,7.594958,135,1.4,True,True,
CH00076,"Münchenstein, Dorf",47.5122001,7.6193893,12,4.0,True,False,
CH00077,"Arlesheim, Dorf",47.49482,7.619394,17,29.3,True,True,
CH00078,Dornach,47.4894635,7.6108386,18,20.6,True,False,
CH00079,"Basel, Heuwaage",47.5511171,7.5876034,80,1.6,True,True,
CH00080,Talhaus,47.4514604,7.7497837,17,15.4,True,True,
CH00081,Altmarkt,47.4768061,7.7447289,34,15.0,True,True,
CH00082,Bubendorf,47.4596139,7.7415559,19,3.7,True,True,
CH00083,Lampenberg-Ramlinsburg,47.4425502,7.761108,15,8.1,True,True,
CH00084,Hölstein,47.4274205,7.7711582,9,7.0,True,False,
CH00085,Niederdorf,47.4040528,7.7516614,8,9.5,True,False,
CH00086,Oberdorf BL,47.392337,7.7489052,10,1.5,True,False,
CH00087,Waldenburg,47.3867499,7.7488211,26,6.0,True,True,
CH00088,Oberdorf BL Winkelweg,47.3969807,7.7489243,15,9.6,True,True,
CH00090,Basel Bad Bf,47.5673079,7.6069204,144,33.8,True,True,
CH00092,Hölstein Süd,47.4229608,7.7678066,13,12.1,True,True,
CH00093,Hölstein Weidbächli,47.4183549,7.763013,2,1.7,True,False,
CH00094,Hirschlang,47.4101188,7.7551961,14,8.0,True,True,
CH00095,"Münchenstein, Hofmatt",47.5191026,7.6184529,22,5.7,True,False,
CH00096,"Basel, Dreispitz",47.5371301,7.6086085,65,5.0,True,True,
CH00100,Tavannes,47.2198447,7.2016454,45,4.2,True,True,
CH00101,Reconvilier,47.2352383,7.2274179,20,0.5,True,True,
