id,name,lat,lon,osm_elements,error,min_distance_m,within_threshold,osm_type_compatible
ATAa,W.Mat.-Altmannsdorf (in Wbf) [BSTS_ID=3],48.163314,16.3321895,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAb,Aschbach [BSTS_ID=4],48.0691628,14.7551269,16,,17.3,True,True
ATAb S11,Sbl Ab 1 [BSTS_ID=6],48.0576071,14.7184398,20,,1.5,True,True
ATAb S12,Sbl Ab 1 [BSTS_ID=1351999],48.0575248,14.7177854,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAb S21,Sbl Ab 2 [BSTS_ID=1255763],48.0539385,14.6892271,20,,1.3,True,True
ATAb S22,Sbl Ab 2 [BSTS_ID=1352005],48.0538558,14.6885719,20,,1.9,True,True
ATAbf,Abfaltersbach West [BSTS_ID=7],46.7533577,12.5110855,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAbf A1,AB (Awanst) - Abf_A1 [BSTS_ID=4370839],46.7809651,12.647149,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAbf H1,Abfaltersbach [BSTS_ID=5517155],46.7581254,12.5295445,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAbf K1,Mittewald a.d.Drau (Awanst) [BSTS_ID=8],46.7696143,12.5951716,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAbz,Maxing [BSTS_ID=10],48.1714483,16.2950587,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAch,Achau [BSTS_ID=11],48.0827367,16.3762854,4,,86.1,True,True
ATAch S11,Sbl Ach 1 [BSTS_ID=5407681],48.0675929,16.3886906,12,,2.3,True,True
ATAch S12,Sbl Ach 1 [BSTS_ID=5407684],48.0630299,16.3892336,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAch S21,Sbl Ach 2 [BSTS_ID=5407687],48.05634,16.3884669,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAch S22,Sbl Ach 2 [BSTS_ID=5407690],48.048523,16.3875344,6,,6.8,True,True
ATAd,Admont [BSTS_ID=12],47.5733559,14.4684012,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAf,Andorf [BSTS_ID=13],48.3694039,13.5656516,11,,30.2,True,True
ATAf S11,Sbl Af 1 [BSTS_ID=14],48.3918144,13.5557361,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAf S12,Sbl Af 1 [BSTS_ID=1369856],48.3921115,13.555229,14,,0.4,True,True
ATAg,Angern [BSTS_ID=15],48.3843202,16.8257298,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAg H1,Stillfried [BSTS_ID=16],48.4114782,16.8464858,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAh,Absdorf-Hippersdorf (in Ah) [BSTS_ID=17],48.4019763,15.9857389,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAh A1,AB - Ah_A1 [BSTS_ID=18],48.4159374,15.968999,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAh H1,Hst außer Betrieb (Ah_H1) [BSTS_ID=21],48.4187131,15.9687482,5,,24.3,True,True
ATAh H1K,Hst außer Betrieb (Ah_H1K) [BSTS_ID=22],48.4175198,15.9322418,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAh H2,Hst außer Betrieb (Ah_H2) [BSTS_ID=23],48.4392569,15.9849293,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAh S11,Sbl Ah 1 [BSTS_ID=19],48.4385978,15.9846254,8,,0.5,True,True
ATAh S12,Sbl Ah 1 [BSTS_ID=20],48.4412927,15.9858744,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAho,Absdorf-Hippersdorf Ost (in Ah) [BSTS_ID=4406436],48.3978486,16.0068762,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAhs,Absdorf-Hippersdorf Süd (in Ah) [BSTS_ID=4406432],48.391622,16.0052628,17,,2.1,True,True
ATAi,Aigen-Schlägl [BSTS_ID=24],48.6423772,13.975319,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAj,Salzburg Aigen [BSTS_ID=25],47.7885788,13.078793,21,,1.6,True,True
ATAj H1,Salzburg Süd [BSTS_ID=26],47.7701077,13.07853,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAj H2,Elsbethen [BSTS_ID=27],47.7609254,13.0803941,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAj H3A,Puch Urstein [BSTS_ID=1402929],47.7244446,13.0881488,17,,7.1,True,True
ATAj H4,Puch bei Hallein [BSTS_ID=28],47.7128426,13.0907713,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAj H5,Oberalm [BSTS_ID=1747],47.7007381,13.0931576,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAj S11,Sbl Aj 1 [BSTS_ID=29],47.7641676,13.0794513,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
