start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7b1ffcf04bc3af44ffb1701f27c34df009b6e496,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19cfed1a4dad99ac71e7d7b116d92e84ff82d940
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/222075aef4ede32c276a5e2511999996725295a2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/268f1c0decccd7ad7d0bdb43f5f497e2ef388953
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60643b489335f1bda4d05bade34a6a75f5da4462,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cdb5c9ebf5e533d39e698821b982778add44d414
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d0e142a44a5903082eaaf7d2a5ba9ea1f99f770d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c5361688612aafae28a5609a7cda79e6f40f8790
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/28f3898b126a7dbf51abcfd4c146a597867c6aa8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ce9fb8cdbac3ceb048dc19a46e64a7a757ebc5a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fb87341375620071082156bec1e41aeb984173da,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0698da669d3063f5790e14f5f3da6a58d8ff0c8f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c892a7b99be030d6a20ea924311782ee1485cbc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b91e07c09c06ae6931aeee490660c289b5f8ee87
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/93ab6b2e39755e6d6f76a2cdd4586852bd4370a4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c892a7b99be030d6a20ea924311782ee1485cbc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cdb5c9ebf5e533d39e698821b982778add44d414,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dabef40be701de0e41b62f2167f916082e46e081
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/80c25179e95bea5457fb660530266b526687d86a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7726240c3f09bc549578766fd85f3499f11497b8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/54ac65ca22fb9e57775d86a57302d42cbbeb4f7b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60643b489335f1bda4d05bade34a6a75f5da4462
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/80c25179e95bea5457fb660530266b526687d86a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/857b4bf17cebaec3ff842fa0a706ae1795f4fdcf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/58e7abb1f6c755df5a92e19324b62ec3af61f6cb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75680c3b50db75d0c0b5e6987419bb6abcb226d0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/857b4bf17cebaec3ff842fa0a706ae1795f4fdcf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c892a7b99be030d6a20ea924311782ee1485cbc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c5361688612aafae28a5609a7cda79e6f40f8790,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/619a984455963a444bef04a90dca0a4f5c8eaac8
