id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
BEFEBW3,L50D(1)-YFEB WART864,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ed04bc4ea3921cae57bfaa5250c24fbc93627b43,BEFEB,Bellem,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a038cb5a20b5d2cc47741f2dd373af9a94e7dfc0,0.0
BEVPOL2,VERB.Polymers.II,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1d6271d2253a2c0937717cb9c595d14fd8cc03f9,BEVODP2,FMVOD-Inrit-Polymers.II,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c0939ba9c0a6ca48a8857af442a80368807291ab,0.9
BEFO926,Forest-Midi-Voies 920/926 | Vorst-Zuid-Sporen 920/926,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19cfed1a4dad99ac71e7d7b116d92e84ff82d940,BEFO,Forest-Midi | Vorst-Zuid,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dc7b12e7502095e72044dc7e9f64023776317fc2,4.9
BEYFCVO,Y.Oost Berchem,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0efbda0909d0da700ee195e8cdca127430477474,BEYFCVN,Y.Noord Berchem,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6afb4012bf3400793956310d606340b3401b0fd0,6.7
BEFOVTO,Forest-TGV-TO97XD | Vorst-HST-TO97XD,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/28f3898b126a7dbf51abcfd4c146a597867c6aa8,BEFOCW,Forest-Carwash | Vorst-Carwash,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ce9fb8cdbac3ceb048dc19a46e64a7a757ebc5a,11.5
BEFSRTU,Schaerbeek-Base TucRail | Schaarbeek-Basis TucRail,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/087f649a360ce6eec987e3a6f334ee52eb171fec,BEFSRL,Schaerbeek-Faisceau L | Schaarbeek-Bundel L,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9990fbadf2389fd7fe372398a275cf3cdd23d00b,19.7
BEFSRNO,Schaerbeek-NOS | Schaarbeek-NOS,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b69733e85a6e694ac64102c2086638e6ecf0370,BEFSRRN,Schaerbeek-Gril N | Schaarbeek-Rooster N,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a7ff8d69eec12a0189e7d517cdba34a804d0e220,26.3
BEFSR26,Schaerbeek-Entrée.26B(39C) | Schaarbeek-Inrit.26B(39C),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aeb53bde001bc7d9f246bc86e8bcbf2c0a7a1b9c,BEFSRIR,Y.Entrée Groupe R | Y.Inrit Groep R,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8bdca89cef70a4d103795a303e7ef32a010fad54,29.0
BEYFNSW,Y.Farnese-West,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c2bdceb2cd1786bdd92927bbfc0510c799183e0a,BET007,Lijn 208-Kruising lijn 211,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e7b9dd7d86bb3fceb79a3c8f226467510eb22a68,32.7
BEYRUBR,Y.Ruisbroek,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d3248440a522710b8db67c55929e56ef386b34f,BERRBB,Ruisbroek-Bundel-Inrit | Ruisbroek-Bundel-Inrit,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e84f0160f79116b0c3b7b10fdaee0a5dbcac0ee7,34.7
