id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
BE1217,Lijn 4-Stopmerkborden 249x(NL),51.477972,4.730666,8,29.2,True,True,
BE1682,Lijn 10-Rooster C/D,51.241808,4.215357,6,103.3,False,True,
BE1696,Lijn 10-Rooster G/H,51.243169,4.235729,10,3.7,True,True,
BE1818,Lijn 10-Seinen KL/LL,51.262359,4.26978,3,330.2,False,True,
BE1902,Lijn 50C-Seinen BY135/AY135,50.847839,4.187972,4,136.3,False,True,
BE1903,Lijn 50C-Seinen BY82/AY82,50.825287,4.239034,12,32.3,True,True,
BE2012,Lijn 207-Seinen AWL207,51.168042,4.826767,2,676.9,False,True,
BE2130,Lijn 50A-Seinen BX82/A84,50.82616,4.236924,4,4.5,True,True,
BE2131,Lijn 50A-Seinen B135/A148,50.856583,4.168618,4,197.2,False,True,
BE2132,Lijn 50A-Seinen 292,50.927519,3.983669,2,479.4,False,True,
BE2133,Lijn 50A-Seinen 342,50.955366,3.897682,2,1709.9,False,True,
BE2134,Lijn 50A-Seinen 394,50.970733,3.854077,2,476.1,False,True,
BE2135,Lijn 50A-Seinen 467,51.008208,3.773216,6,11.3,True,True,
BE2136,Lijn 50A-Seinen 203,50.88814,4.096512,6,49.4,True,True,
BEAET,Antwerpen-W.H.-A.E.T.,51.269438,4.205017,5,26.6,True,True,
BEAIG,Aigremont-Block 8.7,50.587809,5.425317,7,102.3,False,True,
BEALSKA,Antwerpen-D.S.-Alaska,51.250057,4.37464,14,18.6,True,True,
BEAMZD,Antwerpen-D.S.-Amerika-Zuid,51.243019,4.393759,12,10.7,True,True,
BEAND,Antwerpen-Noorderdokken,51.261653,4.42786,20,30.4,True,True,
BEANDL,Anderlecht | Anderlecht,50.817899,4.291845,26,1.1,True,True,
BEANGOL,Antwerpen-D.S.-Angola,51.272332,4.365991,19,20.0,True,True,
BEANS,Ans,50.661214,5.509703,32,1.4,True,True,
BEANSPL,Ans-Plans,50.655409,5.529738,3,341.9,False,True,
BEARC,Archennes,50.754337,4.662366,9,15.2,True,True,
BEATH,Ath,50.6271,3.776406,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
BEAYE,Aye,50.224872,5.300689,7,47.3,True,True,
BEBA824,Braine-Alliance-CDS824,50.663889,4.372611,11,9.1,True,True,
BEBAM,Bambrugge,50.913903,3.935661,5,25.0,True,True,
BEBASF,Antwerpen-D.S.-BASF,51.372865,4.272676,56,22.1,True,True,
BEBCAST,Zeebrugge-BRAM-B.CAST,51.313636,3.23894,17,18.7,True,True,
BEBCDMZ,Zeebrugge-BRAM-CDMZ,51.310286,3.240885,36,21.1,True,True,
BEBEEZ,Beez,50.47167,4.92499,16,23.6,True,True,
BEBEI,Beignée,50.333239,4.406797,7,9.0,True,True,
BEBELBA,Antwerpen-D.S.-Belgische Basis,51.261965,4.40252,8,8.2,True,True,
BEBERDR,Antwerpen-D.S.-Berendrecht,51.318003,4.335301,36,5.5,True,True,
BEBGWV,Basse-Wavre,50.724184,4.621178,9,24.0,True,True,
BEBLE,Bleret,50.685161,5.28599,7,16.0,True,True,
BEBOKBH,Boksbergheide,50.964562,5.458209,8,30.0,True,True,
BEBOL,Boondael | Boondaal,50.801975,4.393523,39,18.8,True,True,
BEBOR,Bordet | Bordet,50.877782,4.409992,80,5.2,True,True,
BEBOTZ,Botzelaer,50.747251,6.010401,8,3.0,True,True,
BEBPEFI,Zeebrugge-BPEL-EFICO,51.294556,3.226579,29,28.0,True,True,
BEBPEL,Zeebrugge-Bundel Pelikaan,51.293468,3.227731,18,26.1,True,True,
BEBPIC1,Zeebrugge-BPEL-ICO1,51.30292,3.220316,8,60.5,True,True,
BEBPIC2,Zeebrugge-BPEL-ICO2,51.299123,3.223663,31,30.2,True,True,
BEBPICO,Zeebrugge-BPEL-Inrit-ICO,51.300147,3.22246,30,2.7,True,True,
BEBPNDQ,Zeebrugge-BPEL-NDQ,51.29841,3.22346,28,1.4,True,True,
BEBR880,Zeebrugge-BRAM-DSP880,51.304319,3.249278,22,8.9,True,True,
BEBR899,Zeebrugge-BRAM-Tankinst.,51.306097,3.24662,58,11.0,True,True,
