id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
BG11001,KALOTINA-ZAPAD,42.9941,22.8431,5,27.5,True,True,
BG11002,KALOTINA,42.9802,22.8516,6,19.3,True,True,
BG11006,DRAGOMAN,42.922,22.9319,21,6.4,True,True,
BG11010,ALDOMIROVCI,42.8792,22.9876,10,4.1,True,True,
BG11012,SLIVNICA,42.8495,23.056,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
BG11013,PETARCH,42.8276,23.1218,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
BG11015,KOSTINBROD,42.8071,23.1997,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
BG11020,VOLUYAK,42.7546,23.2448,27,16.6,True,True,
BG11110,BELI BREG,42.8743,22.8619,8,6.4,True,True,
BG11210,BANKYA,42.7059,23.1511,8,10.2,True,True,
BG11701,STANYANTSI,43.0463,22.9215,8,11.3,True,True,
BG14000,DIMITROVGRAD,42.0549,25.5936,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
BG14004,NOVA NADEJDA,42.0167,25.7261,5,71.5,True,True,
BG14010,SIMEONOVGRAD,42.0252,25.844,8,131.6,False,True,
BG14013,HARMANLI,41.9227,25.9239,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
BG14015,LJUBIMEC,41.8515,26.0737,7,34.1,True,True,
BG14020,SVILENGRAD,41.7745,26.1442,19,10.1,True,True,
BG16000,SOFIA,42.7122,23.3212,43,18.8,True,True,
BG16001,PODUJANE-PATNICHESKA,42.698,23.3545,48,15.2,True,True,
BG16003,PODUYANE,42.6888,23.3759,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
BG16005,ISKAR,42.6646,23.4127,33,19.4,True,True,
BG16010,KAZICHENE,42.6525,23.4697,15,10.6,True,True,
BG16012,ELIN PELIN,42.6282,23.5788,15,9.0,True,True,
BG16020,VAKAREL,42.5565,23.7075,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
BG16022,VERINSKO,42.4958,23.7691,9,26.9,True,True,
BG16024,IHTIMAN,42.4296,23.7988,10,17.5,True,True,
BG16030,KOSTENEC,42.308,23.8601,11,27.5,True,True,
BG16034,BELOVO,42.2155,24.0184,22,4.2,True,True,
BG16040,SEPTEMVRI,42.2044,24.1322,43,19.3,True,True,
BG16043,PAZARDZHIK,42.17,24.3208,16,8.6,True,True,
BG16045,OGNJANOVO,42.1384,24.4167,9,2.9,True,True,
BG16050,STAMBOLIJSKI,42.133,24.5364,14,12.8,True,True,
BG16052,TODOR KABLESHKOV,42.1261,24.6389,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
BG16310,CHUKUROVO,42.5468,23.606,3,192.8,False,True,
BG16501,RP KURTOVO KONARE,42.0952,24.4919,7,17.7,True,True,
BG16505,BRATSIGOVO,42.0378,24.3616,8,7.0,True,True,
BG16510,PESHTERA,42.0344,24.3124,10,13.8,True,True,
BG16906,RP BIRIMIRCI,42.7301,23.3478,11,5.4,True,True,
BG16908,RP MUSACHEVO,42.6904,23.5344,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
BG16909,OBEDINENA,42.7519,23.5295,11,59.3,True,True,
BG16911,SOFIA TOVARNA,42.7028,23.3404,35,54.6,True,True,
BG18000,PLOVDIV,42.1344,24.7414,31,25.6,True,True,
BG18001,KRUMOVO,42.0933,24.8186,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
BG18002,KATUNICA,42.1016,24.8757,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
BG18005,POPOVICA,42.1385,25.0606,12,40.1,True,True,
BG18010,PARVOMAJ,42.1003,25.224,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
BG18011,KARADZHALOVO,42.1024,25.3209,6,11.4,True,True,
BG18014,YABALKOVO,42.0761,25.4468,8,49.6,True,True,
BG18610,ASENOVGRAD,42.0144,24.8691,12,10.7,True,True,
BG18901,TRAKIJA,42.1332,24.8008,11,7.4,True,True,
BG18902,PLOVDIV RAZPREDELITELNA,42.1272,24.7652,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
BG23000,ILIYANTSI,42.7513,23.3266,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
BG23002,KURILO,42.8182,23.3565,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
BG23006,REBROVO,42.899,23.3885,11,19.8,True,True,
BG23010,SVOGE,42.9601,23.3494,20,8.0,True,True,
BG23013,BOV,43.0219,23.3516,32,10.7,True,True,
BG23015,LAKATNIK,43.0824,23.3786,10,11.8,True,True,
BG23020,ELISEYNA,43.0822,23.5055,10,4.7,True,True,
BG23022,ZVERINO,43.0811,23.5713,13,6.3,True,True,
BG23027,MEZDRA YUG,43.1315,23.7041,10,16.9,True,True,
BG23900,RP POST 4,42.7418,23.3171,22,16.9,True,True,
BG24000,GORNA ORJAHOVICA,43.1398,25.682,24,5.5,True,True,
