osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/1070061153,Вагоно-Ремонтно Депо,halt,,42.125141,24.7646547,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1dbcc3e9d32d1562185e51696bde4987389789d2,BG18902,PLOVDIV RAZPREDELITELNA,233.3
node/8066798450,Джулюница,stop,,43.161259,25.8858392,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6de76ee9ad3664388f96083a3df93675cf4b84b5,BG24003,DZHULJUNICA,235.9
node/11304788147,Русе Товарна - спирка,halt,,43.8542755,25.9775731,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/97f0a8b1425b5eac410ddd649a2d6a3ef686f2ed,BG49002,Ruse tovarna,321.8
node/2927677940,РП Мусачево,halt,,42.6930315,23.5375559,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/adffcfc802034113b07d5366373635e639083aca,BG16908,RP MUSACHEVO,390.1
node/843308958,Tракия (Шумен),stop,,43.2785597,26.9584677,,,,
node/3076837767,Tракия (Шумен),stop,,43.278519,26.95848,,,,
node/11197472167,Tракия (Шумен),halt,,43.2785366,26.9584754,,,,
node/11195391778,Абланица,stop,,43.0353514,24.714659,,,,
node/11195415478,Абланица,halt,,43.0353678,24.7144122,,,,
node/2825071652,Аврамово,station,,42.0368955,23.8204387,,,,
node/1309441909,Акад. Александър Теодоров-Балан,station,15,42.6406942,23.3730067,,,,
node/11584409482,Академик Александър Теодоров - Балан,stop,3041,42.6407011,23.372937,,,,
node/11584409483,Академик Александър Теодоров - Балан,stop,3042,42.6406962,23.3730583,,,,
node/1694813669,Александрово,halt,,43.2658001,24.9425551,,,,
node/1309441863,Александър Малинов,station,14,42.6474291,23.3765832,,,,
node/7669477032,Александър Малинов,stop,3040,42.6474341,23.3766343,,,,
node/11584409481,Александър Малинов,stop,3039,42.6474564,23.3765741,,,,
node/1489591190,Алфатар,halt,,43.942351,27.2932609,,,,
node/1695276972,Анево,halt,,42.6543946,24.7158121,,,,
node/10313135768,Арена София,stop,,42.6707181,23.3708113,,,,
node/10313151116,Арена София,stop,,42.6707458,23.3707792,,,,
node/2319235394,Арковна,halt,,43.0384389,27.1998447,,,,
node/655404676,Асеново,halt,,43.2566385,26.0424775,,,,
node/1694813870,Асеновци,halt,,43.3302805,25.0900269,,,,
node/2319236960,Атолово,station,,42.595973,26.7340762,,,,
node/7450528962,Атолово,stop,,42.5957241,26.7348989,,,,
node/7450528963,Атолово,stop,,42.5958683,26.7339853,,,,
node/2319237147,Байково,station,,43.4651212,26.8469528,,,,
node/2320712289,Балкан,station,,43.0539472,23.3626238,,,,
node/3056940897,Балкан,stop,,43.054009,23.3627924,,,,
node/1942354059,Банковица,halt,,42.3626424,23.0070128,,,,
node/278617024,Банско,station,,41.8439702,23.4902688,,,,
node/2319243449,Батишница,station,,43.5452703,25.8497999,,,,
node/8014304311,Батишница,stop,,43.5452735,25.8499533,,,,
node/5126775121,Бачо Киро,halt,,42.9576308,25.4318678,,,,
node/1489590945,Безименна,halt,,43.7633317,26.99509,,,,
node/2404775625,Бела вода,halt,,42.5995227,22.9828538,,,,
node/1905050150,Бели Дунав,station,202,42.7361469,23.2920282,,,,
node/11583839212,Бели Дунав,stop,2995,42.7361769,23.2920449,,,,
node/11583839213,Бели Дунав,stop,2996,42.7361496,23.2920039,,,,
node/915809923,Белица,station,,41.9175715,23.5796397,,,,
