start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2679085639cbe2266e8150349c382df1cc21e922,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cc84136a012e574931343de4e8aa86dff235608e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ebee4f1e7e131ad23f7d5149b44c77dbb8a1ef8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9199cfdf99413b7bec168a58e842ab13c9189b1c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8c3f7bd2aaffc82f1d291678843312b23bd99d81,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2679085639cbe2266e8150349c382df1cc21e922
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/31c3bbd68c2209f2580241b6e9b5a4a7bb127b07,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/79d9834b7f7122729b918401a88aab8bd4cd59cd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/552cc0aa35c39f293822ddab42dc637fa58b9bc7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/24f6e054cbe29e2f0757f92db68650061cfe727a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/755c3666339484d2f83af963081b7adbe2db85b5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acba15fbb1958fe7c68b87810cf5c95301cb06a7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e368f72461fe7c35599fad683d389584eed57b4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c18291855d5c5118ba0de67454c46199a053d631
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13aa94377c194dbb46c03be1a59866f10108a8fd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2062ff845c46b91488d9f6df3643a0050336cf6f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4bd7ba1a49450924e671e44afe1e3431a5170c91,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b7af6887a558fe548fd01bd61dca9ca5ef479913
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/66077ea671db02ee524f6c4576126adfe718cb23,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c97bf982d5d9801e035b606acd4e9da42e2d3a06
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2bae0eb56d57fa35fedecf72643ad1c0566c9bc8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ea132958905680cbc7dc201674e18b5f2c6120e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e420a38f8e99026ad765f331993dd4477ef78c4d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4eacbda9e0710766ca280356375b7909220b4f20
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ff369c4b5f3d091d2e81f6bd080a4047e78e6f00,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fcfee6bab3ec8f3fa2e42409edc22550a9280d55
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f6ca35698e055713d69c4422b68e4ff721565bdf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13aa94377c194dbb46c03be1a59866f10108a8fd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7e03e0e75adf02889bef354b594be8db69f0b27d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e56cc76a79b142ef2a10b3bda5ad1d322aeff65c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c9c91ac40ffa2baffd4097edba05d5af4974dc3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/615178fede22b9c4a325cd39e1ea78dc74e99b40
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/99c4a6c0e34b820009cca1b687327a28981cf198,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f77bb745a7bb9da5ca58421626c762555a12b1c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/83ca1fbae0a2cde0187552c20fd70d8041f6e9a4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5226cd180fa0e22a4d83a95276ccfb890905680e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/79d9834b7f7122729b918401a88aab8bd4cd59cd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/22962e17e8b168025cc74107cf7cbbf5526adaf8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/499f8e54e8620707228dae3050699d23a200c764,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/189b3029f360df8e2ceffc1106a5613f71ea29f3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5226cd180fa0e22a4d83a95276ccfb890905680e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ae915d39c2189f3d2c51d185109e9688f2c722d7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e7aaf439c0650149b9a075fab04f7166785cf410,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/11f6fd98a293a4c27dd90022fd75d0d336250890
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0a4e47f75af3e04c183a16608ab2f527f9473067,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/64375545b598d8c3c9aa2d99c3fec53011aea1a9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/57d1849758599cf6b88cd0ff51cfaf77af17fad2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b7ba38f7884c708cb2a7932f4a2eb18f24f7004d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f948b44012c41d3bd9cf4e787d51967f0da99756,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f85bfc0b0e865cf2fa5268526d1ec69180983aa8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5551566366e25c0c626153426e08c5695783a356,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5350a011c9c502d5f05e975257d05dd0190b3f00
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5bc9280e6206e6faecaa9fbfd5016439a31fea13,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0d3c9d3d3a04e36b7cb7fee58c600db0258c1a6e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7c6508aa7977769baef26d98e2b54f94f23a1eb3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d5ff49589519d6be1ba7962acb3445dd15a04ab
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e43dfcf4400715672c5d4475c0f2d5923e7958e1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d850f18c3e6e3eb6cb78d8ee404bb9269b814f26
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8865a884e80ffd07a4e4e3461f62441519b668ed,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4d239638bbe18bccfd35f507e71f83829e64aad2
