id,name,lat,lon,uri,country
EU00213,Mursko Središće DG,46.51546,16.44405,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00f8c0db450dc3099779ae865ee6efa2c91bcf27,http://publications.europa.eu/resource/authority/country/HRV
HR76660,Split,43.5047,16.443,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1625c26f36bc9552544eae4b55aa1a2befcaf563,http://publications.europa.eu/resource/authority/country/HRV
EU00202,Beli Manastir DG,45.79834,18.55795,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1722d1843dad732e547c51bc2c00eb6791615ea9,http://publications.europa.eu/resource/authority/country/HRV
HR75307,Bubnjarci,45.6442,15.35131,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1bfc39042ea20e4738e1b7e60b636161c950280e,http://publications.europa.eu/resource/authority/country/HRV
EU00227,Erdut DG,45.52332,19.08632,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/23a9467ed1c56fcfd2ffb3ed09134b96197eb88a,http://publications.europa.eu/resource/authority/country/HRV
HR74201,Sutla,45.8861,15.6951,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2748625a193914361508a52731876b1d703b46c8,http://publications.europa.eu/resource/authority/country/HRV
EU00216,Savski Marof DG,45.89068,15.68015,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3dd9f76650a5a2ce0dfea7d52f058da8bafd0916,http://publications.europa.eu/resource/authority/country/HRV
HR74212,Harmica,45.8916,15.6857,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/65eb1a6c051223886c427f53774d0800166f6d21,http://publications.europa.eu/resource/authority/country/HRV
EU00222,Metković DG,43.05886,17.65746,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/79fb9a902fe2eb94f98d3d083b6fdef41713999b,http://publications.europa.eu/resource/authority/country/HRV
EU00217,Šapjane DG,45.50518,14.24422,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a48a87fc121b41f9a609551a57799191f35114a4,http://publications.europa.eu/resource/authority/country/HRV
EU00219,Buzet DG,45.45398,13.9501,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b9735ca29fbed9ab06bd77ba099adbbb378ab8c3,http://publications.europa.eu/resource/authority/country/HRV
EU00226,Tovarnik DG,45.14734,19.16442,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d4efb3af5632f972bc3a43ef8e0bee6537a03af1,http://publications.europa.eu/resource/authority/country/HRV
EU00215,Kamanje DG,45.64556,15.34289,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dcaaf5475354942a49a14340448eacd6d0b84b97,http://publications.europa.eu/resource/authority/country/HRV
HR71208,Erdut,45.5074,19.0491,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e1b119c3694fad903b008cd1a759cbfdf8cef135,http://publications.europa.eu/resource/authority/country/HRV
EU00214,Kumrovec DG,46.11559,15.60657,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e5168f3a12c0db3416bb96cd6a614e7b32c33a60,http://publications.europa.eu/resource/authority/country/HRV
EU00203,Kotoriba DG,46.35918,16.85202,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e9fa40f197447882e890b3461125d3fae095e462,http://publications.europa.eu/resource/authority/country/HRV
HR74202,Vukovo Selo,45.9108,15.6896,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc0b74e4940b5c504c7cef200ec366a82403ead7,http://publications.europa.eu/resource/authority/country/HRV
EU00226,Tovarnik DG,45.14734,19.16442,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/102a07cf1883bcf0629062fcb4af9a60e0e2027e,http://publications.europa.eu/resource/authority/country/HRV
EU00219,Buzet DG,45.45398,13.9501,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/11098879365c2863d1d6421f743175ad4c84a247,http://publications.europa.eu/resource/authority/country/HRV
EU00216,Savski Marof DG,45.89068,15.68015,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13e3d2eec122649bb5d7c9f83db7d966108f4259,http://publications.europa.eu/resource/authority/country/HRV
HR76660,Split,43.5047,16.443,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/64efe1a6f125ca30ae148436b4c897160e565aab,http://publications.europa.eu/resource/authority/country/HRV
EU00202,Beli Manastir DG,45.79834,18.55795,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6794d354a70c5e387a3a9b0817a79d8d8a177133,http://publications.europa.eu/resource/authority/country/HRV
HR74202,Vukovo Selo,45.9108,15.6896,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/781509124ce2b7980105a586ddb6112a2436b432,http://publications.europa.eu/resource/authority/country/HRV
EU00213,Mursko Središće DG,46.51546,16.44405,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/99f0c59b80b7f2c15281248c94dcbcaca2b5deeb,http://publications.europa.eu/resource/authority/country/HRV
EU00214,Kumrovec DG,46.11559,15.60657,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a9be78b467d1f3091f5b7ce053895d1dc89b8e1,http://publications.europa.eu/resource/authority/country/HRV
HR74201,Sutla,45.8861,15.6951,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b635ecdc42c42b322ed9e588f1d15fe73c95cffe,http://publications.europa.eu/resource/authority/country/HRV
