id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
HR72004,Živaja,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc82236bcdd275b70bd2408c293ae635017a2377,HR72004,Živaja,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d41b6f10bba52ece53eb39076df232e0809ec6aa,0.0
HR71501,Ostrovo,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc205d2a46b59e18f50e60c99212035fad185273,HR71501,Ostrovo,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e7aaf439c0650149b9a075fab04f7166785cf410,0.0
HR74202,Vukovo Selo,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc0b74e4940b5c504c7cef200ec366a82403ead7,HR74202,Vukovo Selo,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/781509124ce2b7980105a586ddb6112a2436b432,0.0
HR73602,Sulkovci,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fb5b70c0370970748090115589a774e9a5e61692,HR73602,Sulkovci,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5350a011c9c502d5f05e975257d05dd0190b3f00,0.0
HR71004,Vinkovački Banovci,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fb5753535ddd288ae16a00f7a0ee5deb84d4e552,HR71004,Vinkovački Banovci,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1f01bb72e17de947cbdbbc01adf039febb131380,0.0
HR75402,Ogulinski Hreljin,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fa9a8d12e915ff181975fe5d985ca7c68f17b638,HR75402,Ogulinski Hreljin,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/545095286ba2edcda67be39756bcb2d569350e59,0.0
HR71913,Petrove Gore,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fa9278e74745bbbfae02d01b35ee52c452035509,HR71913,Petrove Gore,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a84860786e8b4bdf1fe931ee0db65f6bfd9ffab1,0.0
HR92480,Trešnjevka (S),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f967cbb6901a745837a20b33e952feae4d97bf4b,HR92480,Trešnjevka (S),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/724c0cbd0de6e21fa041c3a71d2440addeeb086b,0.0
HR74303,Kupljenovo,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f8d96eee5949e3faaed249aa2405c6a6078faaa4,HR74303,Kupljenovo,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d855dc4a1c58d23a86565ac5d4a09509d090889,0.0
HR74405,Zlatar Bistrica,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f89af1ab2e27696f01596ba660e9bddcc0a88baf,HR74405,Zlatar Bistrica,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d60d056c545c6735da5adffd3263ddcc3d227c4,0.0
HR71606,Standard,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f67272f41e9512522b56bf39df110074c21f4065,HR71606,Standard,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9598f7904a520e87c4990abf0ff3fb4fcc4d1e94,0.0
HR74301,Novi Dvori,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f580e6d43cb09062222aa52d9157ac01ce1658f5,HR74301,Novi Dvori,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7381d42dc89030c5e3c026bb239b9faf434e7f26,0.0
HR72302,Zagreb Žitnjak,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f48fa004c1fcdc350728e77462a885fc1e795cca,HR72302,Zagreb Žitnjak,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/570cc4e6fbb2e39e92db9535b95a6585e8e1546b,0.0
HR75110,Kukača,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f473e18adb931bb11918aec0e8d83e8c001bd8c3,HR75110,Kukača,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/30600c8b015be41c737bd17f8fb13a497d03ac3c,0.0
HR72205,Volinja,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f3d30973fb6734ee327ee7ec78be93213c612614,HR72205,Volinja,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f4157438ffc4d7322ab6b21173331fd6e2573771,0.0
HR76115,Ričice,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f3c735a98388bb764dc30ac6593e8c2f0a3272ea,HR76115,Ričice,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/238b3e1f5f25e05bc761a1f2a1fd87184ac56e77,0.0
HR73101,Mučna Reka,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b1b94c21d1952a66995664e84a96d0c669a2410,HR73101,Mučna Reka,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8071233cd47bc1377adb74a44741d5ba89d90b39,0.0
EU00221,Slavonski Šamac DG,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0afe0466b25ae11701860cdc638879aeeb7ccf11,EU00221,Slavonski Šamac DG,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b5b7d60c7374724a44c25450627102b50ba7446e,0.0
