id,name,lat,lon,osm_elements,error,min_distance_m,within_threshold,osm_type_compatible
EU00201,Koprivnica DG,46.24703,16.94493,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
EU00201,Koprivnica DG,46.24703,16.94493,10,,29.8,True,True
EU00202,Beli Manastir DG,45.79834,18.55795,4,,89.1,True,True
EU00202,Beli Manastir DG,45.79834,18.55795,4,,89.1,True,True
EU00203,Kotoriba DG,46.35918,16.85202,5,,36.6,True,True
EU00203,Kotoriba DG,46.35918,16.85202,5,,36.6,True,True
EU00213,Mursko Središće DG,46.51546,16.44405,5,,3.1,True,True
EU00213,Mursko Središće DG,46.51546,16.44405,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
EU00214,Kumrovec DG,46.11559,15.60657,5,,44.1,True,True
EU00214,Kumrovec DG,46.11559,15.60657,5,,44.1,True,True
EU00215,Kamanje DG,45.64556,15.34289,7,,0.7,True,True
EU00215,Kamanje DG,45.64556,15.34289,7,,0.7,True,True
EU00216,Savski Marof DG,45.89068,15.68015,10,,0.9,True,True
EU00216,Savski Marof DG,45.89068,15.68015,10,,0.9,True,True
EU00217,Šapjane DG,45.50518,14.24422,3,,14.6,True,True
EU00217,Šapjane DG,45.50518,14.24422,3,,14.6,True,True
EU00218,Čakovec DG,46.38822,16.30414,4,,3.2,True,True
EU00218,Čakovec DG,46.38822,16.30414,4,,3.2,True,True
EU00219,Buzet DG,45.45398,13.9501,1,,1217.6,False,True
EU00219,Buzet DG,45.45398,13.9501,1,,1217.6,False,True
EU00220,Đurmanec DG,46.21231,15.77691,4,,12.1,True,True
EU00220,Đurmanec DG,46.21231,15.77691,4,,12.1,True,True
EU00221,Slavonski Šamac DG,45.061,18.49626,4,,19.5,True,True
EU00221,Slavonski Šamac DG,45.061,18.49626,4,,19.5,True,True
EU00222,Metković DG,43.05886,17.65746,10,,6.5,True,True
EU00222,Metković DG,43.05886,17.65746,10,,6.5,True,True
EU00223,Volinja Dg,45.18939,16.48235,5,,36.0,True,True
EU00223,Volinja Dg,45.18939,16.48235,5,,36.0,True,True
EU00225,Drenovci DG,44.86828,18.8309,4,,90.5,True,True
EU00226,Tovarnik DG,45.14734,19.16442,6,,2.2,True,True
EU00226,Tovarnik DG,45.14734,19.16442,6,,2.2,True,True
EU00227,Erdut DG,45.52332,19.08632,2,,152.4,False,True
HR12922,Zagreb Klara (stajalište),45.7557,15.9814,10,,2.6,True,True
HR12922,Zagreb Klara (stajalište),45.7557,15.9814,10,,2.6,True,True
HR71001,Tovarnik,45.1555,19.1486,12,,4.5,True,True
HR71001,Tovarnik,45.1555,19.1486,12,,4.5,True,True
HR71002,Ilača,45.1734,19.0897,10,,5.8,True,True
HR71003,Banovci,45.1801,19.067,9,,7.7,True,True
HR71004,Vinkovački Banovci,45.1858,19.0473,9,,0.9,True,True
HR71004,Vinkovački Banovci,45.1858,19.0473,9,,0.9,True,True
HR71005,Đeletovci,45.193,19.0227,6,,6.1,True,True
HR71006,Orolik,45.2067,18.9756,10,,9.0,True,True
HR71006,Orolik,45.2067,18.9756,10,,9.0,True,True
HR71007,Slakovci,45.2151,18.9463,10,,3.1,True,True
HR71007,Slakovci,45.2151,18.9463,10,,3.1,True,True
HR71008,Srijemske Laze,45.2272,18.9278,10,,5.6,True,True
HR71008,Srijemske Laze,45.2272,18.9278,10,,5.6,True,True
HR71009,Jankovci,45.2447,18.9034,7,,6.5,True,True
HR71010,Mirkovci,45.2788,18.8561,10,,4.5,True,True
HR71010,Mirkovci,45.2788,18.8561,10,,4.5,True,True
HR71101,Ivankovo,45.2784,18.6675,13,,4.1,True,True
HR71102,Vođinci,45.2697,18.6138,11,,6.5,True,True
HR71102,Vođinci,45.2697,18.6138,11,,6.5,True,True
