start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3402c44aeeb65516cd9834b0493e16c7cad7d54a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3ee79b294014c8a6db2f486d06024ebbf21d130a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00d3344443ea2094b78df355313f97089480d06f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19104684b9f0b8526127fce49ce43213b864671a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d7e20f81aa59224e5e0b9afbc2ef05d97c0abd8b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8430d9a0ad3948342807cc28120ffd11c80b421d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/623eb9e10c5ad1af60d411e19d0f6c823d34fc8e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/be2026efe98b47d4aff8fd11eb574ae9ab2bfcdc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b9687293cbb9b87ad06351695373af9bfdfde3c5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/66e8ed6592e39c8eb2b310be7e3266f42f9ae68e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d7211267a6c0ffb2b54e6da05ed842faf396d9b2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/976c653c2e9a58d62664a1bffa20a5ea6db852fa
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a7ca5d1cdd17caa3e9f116fb037d9465acf4bb9d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e4ad81d1a5b3c44e60961318d89da83288f89fa9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e3cd9e8b645c942d37eb6c1db7b6ea0971b6c8d0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c7e87684d8a083ff3da7492b09a39e29e6e0d17c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/25c59654ff0ee5de75a10ada9d5a176f91236c26,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/559486f72c9aacd4dd76c025aa64b69be26de859
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8a003eed4ff89dc37bd360da96756b861c00ce76,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/03b6d4dc2f963a3f7c74b2dd70683b1327e7b8c8
