id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
CZ57205,hr.VUSC 0100/0200 11,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0da7c891b07824468170de5208f82b17095a1fa1,CZ57216,hr.VUSC 0100/0200 10,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f95592420a39558507482ec8c7047adc42cd86e7,0.0
CZ54056,Dobroviz z,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e9c094d1a7f09a353eac58d57607d11533def0e,CZ54061,Dobroviz-Amazon z,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ceaa5646c669261832c1a9c535df0fb71fb860fb,0.5
CZ56881,hr.VUSC 0520/0530 04,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c3f36b7f266b64e379c8520815ac161db111f78a,CZ56882,hr.VUSC 0520/0530 05,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1400c405b303d655c3ad20392a7986978a17ef18,0.9
CZ73153,"km 66,824=66,347",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2cde6d8cfbce0778d7e31071c3dd97773068aed6,CZ73154,hr.VUSC 0200/0320 01,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c994dc487ac82f3314e627f120dd73e2903afa0,3.9
CZ56228,"vl. v km 26,631",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d45015d64656d1c963de8c7fdfa11a22c4f4f83,CZ56309,Horni Kamenice z,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7588047b6909c46f0d17d52c61b7f1a266abd524,6.0
EU00072,Bohumin-Vrbice st.hr,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/46bb1e427fa27c76211d0aaa190b190bbbf26c27,EU00073,Bohumin st.hr.,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e9b0bd9d3ff9850f8c612b42e24b3869f117c804,6.5
CZ53431,"Km 113,243",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1f5a4f03614204416535e78d40f282c551040172,EU00069,Lichkov st.hr.,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/686bf2bce025a470715ed8bb05fc1ef05a5c9998,6.6
CZ57205,hr.VUSC 0100/0200 11,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0da7c891b07824468170de5208f82b17095a1fa1,CZ57207,"vl. v km 12,940",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2024a475a4903d56d2e8aaeaa8d19409c6a5862f,7.0
CZ57216,hr.VUSC 0100/0200 10,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f95592420a39558507482ec8c7047adc42cd86e7,CZ57207,"vl. v km 12,940",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2024a475a4903d56d2e8aaeaa8d19409c6a5862f,7.0
CZ58060,Kopidlno kol. 1b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3ead7177dbe66ac6429000632bedbdea17ca232a,CZ56311,hi Kopidlno AZD,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/37ae29c13e756dacca282f6742b951eae4184484,7.1
CZ76295,Nova Hut z,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a09d4dfce364dc3f741595a0ecfd736f9daadb89,CZ78062,"vl. v km 3,921",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/235da2244d461ef89c3c50b193bc72ea8ffb16bd,8.0
CZ50008,"hi vl. v km 11,710",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/577bd82fbeac2614b974460c2338ed23f0df63cf,CZ54603,"vl. v km 11,710",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a8d3a47dd19f44fbb9d9ee4ab07800127ef0f987,10.3
CZ54650,Brand.n.L.-Zapska z,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38820116e298d26b39c9653bdd99ea5a98833dd4,CZ54645,hr.DU 0911C1/091106,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7de3c4290324ec263368a7bcdfc875ee49e78d0b,12.0
CZ35474,"vl. v km 39,575",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1bfcaabe8d13e89a09cc8188f9359106c1ee80d6,CZ33605,Loukov z,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6c4ae182073347bbfe632e12858eb0894c794455,15.0
CZ76285,Kamen.Ujezd u Rok. z,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4e74aa19efd944d2da816bc78223d2e675369da5,CZ78043,"vl. v km 2,396",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/100be99ce8a49343016a1f2ae197fa24aa8af345,15.0
CZ54291,hr.VUSC 0200/0420 07,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3ee79b294014c8a6db2f486d06024ebbf21d130a,CZ54288,hr.VUSC 0200/0420 04,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a4fc176f647a33834b09c2184c97afb9b27f84b,15.8
CZ74212,Nova Bukova z,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1e3bca23048895054681b9493c754bce0492a3ce,CZ74223,"Km 6,450",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf0cfbd621d945f5c9836bd3326b99a6e1a67970,16.0
CZ54601,"vl. v km 11,456",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6cbca94cc7c288571b2e51d03edc4c8e7f4756bd,CZ50002,"hi vl. v km 11,455",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6adc7de3cf884f9d37b7a0741794dc3948a6f238,16.0
