osm_id,name,type,ref,lat,lon
node/9186889,Český Brod,station,530667,50.0767294,14.866636
node/9186927,Klučov,halt,531061,50.0942911,14.9037445
node/9186982,Kolín dílny,stop,,50.0116868,15.2339082
node/9187086,Valy u Přelouče,halt,535336,50.0321681,15.6135471
node/9187098,Praha-Kyje,halt,573667,50.0972331,14.5443397
node/21312786,Brno hl.n.,stop,332957,49.190467,16.6131838
node/21312878,Křenovice horní nádraží,stop,345454,49.1434738,16.8245916
node/21380804,Vyškov na Moravě,stop,368951,49.2785415,16.9915753
node/21381077,Hranice na Moravě,stop,7,49.5655532,17.7415994
node/21410825,Suchdol nad Odrou,stop,348045,49.6423113,17.9389651
node/21410841,Studénka,stop,346940,49.7075349,18.0665476
node/21410865,Ostrava-Svinov,stop,344341,49.8210346,18.2101912
node/21410867,Kojetín,stop,343061,49.3454221,17.3048154
node/21496199,Brno hl.n.,stop,332957,49.1906045,16.6130691
node/21540390,Adamov,stop,,49.2953127,16.6634687
node/21540411,Babice nad Svitavou,stop,,49.276711,16.6730628
node/21627096,Brno-Horní Heršpice,stop,333054,49.1668305,16.6068135
node/22113077,Brno-Lesná,stop,333351,49.2208792,16.6260892
node/22113092,Brno-Královo Pole,stop,333153,49.2311505,16.5965798
node/22114958,Čebín,stop,,49.3193472,16.4660769
node/22118286,Hradčany,stop,,49.3346215,16.4372848
node/22326539,Štěpánovice,stop,,49.3731984,16.3897922
node/22326729,Borač,stop,,49.4011467,16.3660379
node/22326909,Prudká zastávka,stop,,49.4189629,16.367187
node/22327053,Doubravník,stop,,49.4283831,16.3516001
node/22327339,Nedvědice,stop,,49.4544326,16.3360234
node/22327684,Věžná,stop,,49.4517388,16.2702485
node/22327723,Věžná,halt,359356,49.4518956,16.2702021
node/22327825,Rožná,stop,,49.472788,16.2453706
node/22328291,Bystřice nad Pernštejnem,stop,,49.5138137,16.2467854
node/22328478,Rozsochy,stop,,49.5374174,16.1947898
node/22328573,Rovné-Divišov,stop,,49.5476774,16.1728101
node/22328581,Nové Město na Moravě,stop,,49.5685962,16.0804186
node/22328587,Olešná na Moravě,stop,,49.5616734,16.1239164
node/23833485,Praha-Komořany,halt,,49.9903374,14.4043232
node/23877866,Jílové u Prahy,station,,49.877612,14.5000467
node/24567934,Náměstí Míru,stop,,50.0754079,14.4383608
node/24568096,Jiřího z Poděbrad,stop,,50.0776512,14.4500378
node/24568191,Malostranská,stop,,50.0920385,14.4092261
node/24568322,Muzeum,stop,,50.0798787,14.4313481
node/24568356,Skalka,stop,,50.0684704,14.5072254
node/24568407,Staroměstská,stop,,50.0884705,14.4170576
node/24568446,Strašnická,stop,,50.0734955,14.4898308
node/24568519,Florenc,stop,,50.0905334,14.4369353
node/24568552,Zličín,stop,,50.052787,14.291506
node/24568568,Stodůlky,stop,,50.0466831,14.3053769
node/24568648,Luka,stop,,50.0459741,14.3208985
node/24568701,Lužiny,stop,,50.0444841,14.3297677
node/24568736,Hůrka,stop,,50.0500161,14.3421618
node/24568810,Nové Butovice,stop,,50.0508433,14.3514479
node/24568828,Jinonice,stop,,50.0540975,14.3691089
node/24568897,Radlická,stop,,50.0583034,14.3871547
node/24568982,Anděl,stop,,50.0695136,14.4036406
node/24569095,Národní třída,stop,,50.0794745,14.4201268
node/24569154,Můstek,stop,,50.083231,14.4227826
node/24569186,Náměstí Republiky,stop,,50.0886579,14.4298608
node/24569287,Křižíkova,stop,,50.0924394,14.4505703
node/24569342,Invalidovna,stop,,50.0967206,14.4626992
node/24569358,Palmovka,stop,,50.1041241,14.4752935
node/24569482,Vysočanská,stop,,50.1099779,14.5005465
node/24569499,Kolbenova,stop,,50.1104635,14.5157049
node/24569515,Hloubětín,stop,,50.106826,14.5359226
node/24569564,Rajská zahrada,stop,,50.1067776,14.5598495
node/24569616,Černý Most,stop,,50.1088494,14.5759834
node/24569684,I. P. Pavlova,station,,50.0743299,14.4303111
node/24569759,Kobylisy,station,U675N46,50.1241376,14.4542345
node/24569897,Hlavní nádraží,station,,50.0835035,14.4341259
node/24569983,Vyšehrad,station,,50.0631724,14.4305202
node/24570126,Budějovická,station,,50.0444173,14.4487606
node/24570143,Kačerov,station,,50.0418449,14.4592925
node/24570180,Roztyly,station,,50.0375574,14.4770932
node/24570253,Chodov,station,,50.0315824,14.4911419
node/24570269,Opatov,station,,50.0278977,14.5092069
node/24570328,Háje,stop,,50.0308148,14.5266461
node/24579172,Roudnice nad Labem-Bezděkov,halt,542779,50.4286394,14.2820921
node/24579251,Roudnice nad Labem,station,542571,50.4265516,14.2637483
node/24579463,Zlonín,halt,544262,50.2148624,14.507508
node/24580321,Zeleneč,halt,548164,50.1302221,14.6650026
node/24580659,Zbuzany,halt,,50.0262897,14.2805091
node/24581198,Záluží,stop,,50.4568591,14.3256075
node/24581250,Žalany zastávka,halt,,50.5871964,13.9162494
node/24582207,Všenory,halt,532366,49.9328508,14.3050667
node/24582276,Cheb-Všeboř,halt,,50.0505567,12.4102717
node/24582686,Vranov u Stříbra,halt,,49.7622203,13.0408292
node/24583066,Vochov,halt,,49.7598897,13.2765093
node/24584056,Veltruby,halt,,50.0737663,15.2000213
node/24584150,Velký Osek,station,533141,50.1016716,15.193583
node/24584767,Chotiměř,stop,,50.5471517,13.9890964
node/24585047,Valy u Mariánských Lázní,station,,49.9768724,12.6659359
node/24585362,,stop,,50.6498817,14.0485712
node/24585397,Ústí nad Labem sever,station,531996,50.6642373,14.0813958
node/24585413,Ústí nad Labem hlavní nádraží,stop,,50.6595711,14.0444687
node/24585533,Unhošť,station,536268,50.1051506,14.1362902
node/24585728,Úholičky,stop,,50.1696571,14.3523781
node/24585885,Týnec nad Sázavou,station,,49.8342133,14.5932653
node/24585999,Tuchoměřice,halt,540369,50.1362202,14.2680831
node/24586609,Třebíč-Borovina,halt,365650,49.2088925,15.8528481
node/24587680,Svojšín,stop,,49.7630789,12.9111082
node/24588226,Sulislav,halt,,49.7620958,13.0617889
node/24589182,Strančice,station,550061,49.9494991,14.6779555
node/24589362,Stochov,stop,,50.1412073,13.9655452
node/24589593,Stebnice,halt,,50.04946,12.441691
node/24589627,Stašov,halt,,49.8859433,13.9594142
node/24590050,Srbsko,halt,531962,49.9369542,14.1311416
node/24591994,Salajna,halt,,50.0265146,12.5041996
node/24592604,Roztoky u Prahy,stop,,50.159133,14.3983541
node/24593225,Rokycany,station,732057,49.7404832,13.5920802
node/24593605,Říčany,station,549865,49.9975873,14.6636523
node/24593640,Řevničov,station,,50.1490898,13.8329399
node/24594395,Radejčín,halt,,50.5804043,14.0033098
node/24594860,Prosečnice,halt,,49.8638349,14.532314
node/24595348,Praskolesy,halt,,49.8687259,13.9292966
node/24595483,Praha-Zbraslav,station,555367,49.9701735,14.3996671
node/24595548,Praha-Uhříněves,stop,,50.0338972,14.5914037
node/24595618,Praha-Sedlec,halt,,50.1319679,14.3944548
node/24595666,Praha-Radotín,station,532564,49.9856288,14.3638195
node/24595788,Praha-Kolovraty,halt,549766,50.0138066,14.6260858
node/24595941,Praha-Horní Počernice,station,,50.1166626,14.6124935
node/24595956,Praha-Horní Měcholupy,stop,,50.0485176,14.5648515
node/24596053,Praha-Dejvice,station,570663,50.0969648,14.3995374
node/24596089,Praha-Cibulka,halt,571166,50.0645787,14.3622312
node/24596412,Povrly,station,557694,50.6705772,14.1568023
node/24596821,Poříčí nad Sázavou,halt,,49.8374076,14.6765731
node/24597612,Plzeň-Křimice,station,748152,49.7516069,13.3036353
node/24597682,Plzeň-Doubravka,halt,732651,49.7583214,13.4158247
node/24597903,Plešnice,halt,,49.777047,13.1671821
node/24598388,Petrov-Chlomek,halt,,49.8762848,14.4113449
node/24598411,Petrov u Prahy,halt,,49.8793366,14.4286908
node/24598695,Pecerady,halt,,49.8334751,14.6261129
node/24598729,Pavlovice,halt,749259,49.8212465,12.7798644
node/24598743,Pavlov,halt,536466,50.095037,14.1656496
node/24599576,Ošelín,station,,49.7860888,12.8460635
node/24600267,Olbramovice,station,,49.6667765,14.6240864
node/24600634,Nučice zastávka,halt,548669,50.0150761,14.2124046
node/24600651,Nučice,station,548560,50.0240261,14.2249249
node/24600961,Nové Strašecí,stop,,50.1520148,13.8818114
node/24601134,Nové Kopisty,halt,559393,50.4973047,14.1201906
node/24601971,Neštědice,stop,,50.6700399,14.1404475
node/24602019,Neratovice,station,546861,50.2627183,14.5174758
node/24602600,Mýto,halt,731752,49.7832703,13.7395875
node/24602911,Mstětice,station,,50.1360055,14.6896115
node/24676570,Mlčechvosty,stop,,50.3190774,14.3475369
node/24677939,Mariánské Lázně,stop,,49.9570183,12.6944635
node/24678240,Malé Žernoseky,halt,558999,50.5384675,14.0564065
node/24678723,Lukavec,stop,,50.5031509,14.0916408
node/24679466,Loděnice,stop,,49.9928513,14.1630129
node/24680277,Libochovany,stop,,50.5640945,14.0407863
node/24680316,Libice nad Cidlinou,station,,50.1277038,15.1829951
node/24680461,Libčice nad Vltavou-Letky,stop,,50.1889301,14.3724335
node/24681341,Lázně Toušeň,stop,,50.1685779,14.7114512
node/24681379,Lázně Kynžvart,station,,49.9932494,12.6144472
node/24681433,Lanšperk,station,533802,49.9927009,16.447299
node/24683247,Kozolupy,station,,49.7623374,13.2451231
node/24684037,Kolín-Zálabí,stop,,50.0373478,15.2101183
node/24684084,Kolín,station,534149,50.0253511,15.2144986
node/24684183,Kojetice u Prahy,halt,547166,50.2373177,14.4991856
node/24684709,Klabava,halt,732156,49.749136,13.5382336
node/24684950,Karlštejn,station,531863,49.9320029,14.1751384
node/24685076,Kařízek,station,731653,49.8008722,13.7675224
node/24685412,Kamenný Přívoz,halt,,49.8668656,14.5169577
node/24685430,Kamenné Žehrovice,station,,50.140245,14.0381907
node/24685657,Kačice,halt,,50.156371,13.9951165
node/24686965,Jeneč zastávka,halt,540666,50.0946481,14.2132936
node/24687073,Dolní Břežany-Jarov,halt,,49.9470442,14.3970461
node/24688460,Hovorčovice,halt,547364,50.1805132,14.5276613
node/24688669,Hořovice,station,,49.8430327,13.8987802
node/24688947,Horní Počaply,stop,,50.4229873,14.3858741
node/24689920,Hnátnice,halt,533703,50.0015782,16.4613218
node/24690428,Havlíčkův Brod-Perknov,stop,,49.6142446,15.5395255
node/24691504,,stop,,50.8372915,14.2233061
node/24691521,Dolní Žleb,station,556399,50.8464371,14.2151573
node/24691574,Dolní Zálezly,halt,558296,50.5968674,14.04837
node/24691803,Dolní Dobrouč,halt,533604,50.0126049,16.4743731
node/24692197,Dobříň,stop,,50.4380003,14.2975621
node/24692442,Dobkovice,halt,557397,50.7161669,14.1912526
node/24692504,Dlouhá Třebová,station,539239,49.9354692,16.4227017
node/24692835,,stop,,50.8170446,14.2214611
node/24692907,Děčín-Přípeř,halt,556290,50.7850542,14.2094199
node/24693089,Děčín hlavní nádraží,stop,,50.7735412,14.201135
node/24693139,Davle,station,,49.8877523,14.3988573
node/24693415,Cítov,stop,,50.3662367,14.4185376
node/24694988,Chodová Planá,station,,49.903009,12.7245101
node/24696390,Černovír,halt,534404,49.9870698,16.4269871
node/24696528,Černošice-Mokropsy,halt,532465,49.9463916,14.3304248
node/24696559,Černošice,halt,532663,49.9595081,14.3234245
node/24697021,,stop,,50.1598676,14.7353473
node/24697051,Čelákovice,station,547760,50.1580183,14.7543777
node/24698186,Brod nad Tichou,halt,749358,49.8286442,12.7415675
node/24699674,Bořislav,halt,,50.5856766,13.937071
node/24700200,Bohušovice nad Ohří,station,559096,50.4913108,14.1494553
node/24701908,Králův Dvůr,halt,730846,49.9428068,14.040262
node/24912610,Hostivice-Litovice,halt,536664,50.0717464,14.224596
node/24912620,Chýně,halt,548768,50.0587816,14.2120754
node/24912722,Jinočany,halt,,50.0290027,14.2627125
node/24952342,Praha-Běchovice,station,530162,50.0822727,14.5981792
node/24952343,Praha-Dolní Počernice,halt,530360,50.0884512,14.5686746
node/24952347,Úvaly,station,530469,50.0749135,14.7227559
node/24952348,Tuklaty,halt,530766,50.0770206,14.770593
node/24952352,Tatce,stop,,50.0993923,14.9849834
node/24952397,Starý Kolín,halt,534644,50.011056,15.2959336
node/24952425,Záboří nad Labem,station,534545,50.0309359,15.3488907
node/24952438,Týnec nad Labem,halt,534743,50.0377799,15.3595624
node/24952478,Pardubice-Pardubičky,halt,536433,50.0312023,15.7891641
node/24952479,Pardubice-Černá za Bory,halt,536631,50.0273004,15.8310897
node/24952481,Moravany,station,536730,50.0023067,15.9459505
node/24952545,Sedlíšťka,halt,537035,49.9900705,16.0644354
node/24952561,Zámrsk,station,536938,49.99493,16.1083845
node/24952568,Dobříkov u Chocně,halt,537134,49.9959264,16.1354094
node/24952574,Sruby,halt,538231,49.9898657,16.1708609
node/24952579,Choceň,station,538132,49.9937377,16.2232836
node/24952581,Brandýs nad Orlicí,station,538439,50.0001873,16.2841226
node/24953834,Praha-Rajská zahrada,stop,,50.1074267,14.5596405
node/24956708,Depo Hostivař,stop,,50.0746222,14.515029
node/25284021,Hradec Králové-Kukleny,halt,,50.2022861,15.7985166
node/25284025,Hradec Králové zastávka,halt,531509,50.2223985,15.8415865
node/25284041,Smiřice,stop,,50.3004659,15.8582061
node/25284044,Sány,halt,530212,50.1301247,15.241125
