osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/2206375141,Dolní Beřkovice,stop,,50.3904131,14.4351852,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/12fd1d780b6b8609937e94f923b2753cf3656337,CZ54306,Dolni Berkovice,202.9
node/9632081819,Červený Újezd u Votic zastávka,halt,,49.5602314,14.6137478,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/667369e679288620c25f2c90371f5db9b347e62a,CZ55246,C. Ujezd u V. zast.z,204.4
node/9968967794,Čerčany,stop,,49.8496605,14.7011502,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ed98c87c7d427f77c398b244008f5b06e9a67f23,CZ55046,Cercany,204.6
node/298900658,Jindřiš zastávka,halt,743732,49.1458325,15.0616897,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/816c381ac0175464866611d0b700bb9ba086ce9f,CZ74372,Jindris,204.7
node/5678344751,Hrobce,station,559492,50.4581025,14.2297566,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7b89207c047d19683c5bce6dcfee802772856f1b,CZ55949,Hrobce,205.2
node/1736682552,Praha-Běchovice střed,halt,530063,50.0835943,14.6150356,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/50a26ca3c3985d8426a25f9771fc42dc61bfbe98,CZ53006,P.-Bechovice stred z,205.9
node/2800702606,Moravský Písek zastávka,stop,,48.9921955,17.3311213,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6c5dd22114f33d71fe1d5231dacf9c1fca24f90d,CZ35135,Mor.Pisek zast. z,206.0
node/5884460644,Praha-Běchovice střed,stop,,50.0835577,14.6150387,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/50a26ca3c3985d8426a25f9771fc42dc61bfbe98,CZ53006,P.-Bechovice stred z,206.0
node/5884253514,Praha-Běchovice střed,stop,,50.083634,14.6150252,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/50a26ca3c3985d8426a25f9771fc42dc61bfbe98,CZ53006,P.-Bechovice stred z,206.3
node/302046277,Újezd u Uničova,station,351221,49.7751308,17.1872928,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3971e52a185e1208443f4e56a51bc92fcc869806,CZ35122,Ujezd u Unicova,207.4
node/33999770,Cerhenice,stop,,50.0785643,15.0767668,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c63c30500bf72f2b298f37ce10417fee069d58f9,CZ53166,Cerhenice z,208.3
node/2850018537,Třinec centrum,stop,,49.6715139,18.6802383,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/30243777a29ec33aefd99e06c1a2f33286f90bfb,CZ34944,Trinec centrum z,210.5
node/9971110043,Mlčechvosty,stop,,50.3199705,14.3489855,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c7e87684d8a083ff3da7492b09a39e29e6e0d17c,CZ54356,Mlcechvosty z,216.9
node/3781979069,Adamov zastávka,stop,,49.300807,16.6504999,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3dc8d3b90be3c67d3a7e6401198c8e8d1cb17eb,CZ33025,Adamov zast. z,218.0
node/309373662,Jablonecké Paseky,halt,,50.731541,15.1904049,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1a5fcc5b5669c279029c492e2496786687df5d61,CZ55082,Jablonecke Paseky z,218.8
node/5463105928,Jinonice,station,,50.0541763,14.3697689,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7450aa6c95524f487ecf1d027d3e772c821b3ef4,CZ57107,Praha-Jinonice z,218.8
node/12526720501,Praha-Smíchov,stop,,50.059177,14.4087635,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/61361939c29e7b197fa1c1f113177439b626659a,CZ57226,Praha-Smichov,221.2
node/5435688814,Nádraží Veleslavín,stop,,50.0961193,14.3490961,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bc33b80ff7c6dfcd5befb3d18b1fffcba0ccfb3b,CZ57266,Praha-Veleslavin,223.6
node/5451520542,I. P. Pavlova,stop,,50.0748012,14.4303469,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd08c0b375da7d0c42afafa24aa1b57f5e9f430a,CZ57072,"Pha hl.n. Lc201,202",228.6
node/12857242115,Lom u Mostu zastávka,halt,,50.5982861,13.6519217,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f59d1d3ef2ecc917a45cd696d236116ff5b0ddb1,CZ54159,Lom u Mostu zast. z,230.6
node/4716850170,Adamov zastávka,halt,330258,49.3007004,16.6505929,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3dc8d3b90be3c67d3a7e6401198c8e8d1cb17eb,CZ33025,Adamov zast. z,230.7
node/3904414866,Lom u Mostu zastávka,stop,,50.5983031,13.6519093,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f59d1d3ef2ecc917a45cd696d236116ff5b0ddb1,CZ54159,Lom u Mostu zast. z,231.0
node/309493466,Obrataň zastávka,halt,746529,49.422403,14.9490137,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3cfc38e443a57a594ade8037a6c7c7d7660b8036,CZ74652,Obratan zast. z,231.5
node/9501180359,Mstětice,stop,,50.135659,14.6885173,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c4cac14e72112f76074113aa6493b0e06474bde7,CZ54806,Mstetice,234.1
node/5257756515,Nádraží Holešovice,stop,,50.1085615,14.4403622,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e6876163483f51d8ebffea5ee73fbbb7cf397ddf,CZ57256,Praha-Holesovice,235.4
node/7932068713,Úštěk horní nádraží,station,,50.5838878,14.3327997,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7533ffb59f1b362c90a3b1ec1c2309923400e45f,CZ57059,Ustek,240.6
node/5668716718,Václavice,station,538801,50.3930993,16.1230138,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b4780336e2be441c1a3cd7c9f8e785b6578592b1,CZ53880,Vaclavice,244.1
node/5257756518,Vltavská,station,,50.1001646,14.4385486,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6e3e5fa4de55453d94701bd39bce270c8735d372,CZ57036,Praha-Bubny,251.0
node/472936446,Praha-Smíchov,stop,,50.0588511,14.4082081,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/61361939c29e7b197fa1c1f113177439b626659a,CZ57226,Praha-Smichov,251.7
node/25771072,Adamov zastávka,stop,,49.3005185,16.6507465,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3dc8d3b90be3c67d3a7e6401198c8e8d1cb17eb,CZ33025,Adamov zast. z,252.1
node/2895078234,Brno hlavní nádraží,stop,5k,49.1898138,16.6103015,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e0695273137a0058abab79b4e925d92292aa637c,CZ33295,Brno hl.n.,254.7
node/24568828,Jinonice,stop,,50.0540975,14.3691089,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7450aa6c95524f487ecf1d027d3e772c821b3ef4,CZ57107,Praha-Jinonice z,257.5
node/3706431790,Praha-Žvahov,station,,50.0455772,14.4022036,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d0b198cd46be0886963eb3de34419c6c1ca164e,CZ53026,Praha-Zvahov,259.2
node/24569684,I. P. Pavlova,station,,50.0743299,14.4303111,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd08c0b375da7d0c42afafa24aa1b57f5e9f430a,CZ57072,"Pha hl.n. Lc201,202",260.5
node/2895078235,Brno hlavní nádraží,stop,9k,49.1898396,16.610178,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e0695273137a0058abab79b4e925d92292aa637c,CZ33295,Brno hl.n.,261.2
node/2895078236,Brno hlavní nádraží,stop,11k,49.1898527,16.6101151,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e0695273137a0058abab79b4e925d92292aa637c,CZ33295,Brno hl.n.,264.6
node/2800702607,Moravský Písek,stop,,48.9790722,17.3168469,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c748a4edfde90582f577fd0104ccef2c4e1e6603,CZ35125,Moravsky Pisek,266.6
node/2291312033,Praha-Velká Chuchle,stop,2,50.009655,14.388821,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4856eb29e07f8d9532684220924aeba615605736,CZ57396,P.-Velka Chuchle z,275.3
node/309492937,Křeč,station,746123,49.3869069,14.9385029,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e0b3cb0195bba6caca8ca7f95b7f5650cb1bda3b,CZ74612,Krec,278.8
node/9556294567,Praha-Velká Chuchle,halt,573964,50.0097806,14.3889223,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4856eb29e07f8d9532684220924aeba615605736,CZ57396,P.-Velka Chuchle z,290.3
node/5455261459,I. P. Pavlova,stop,,50.0738724,14.4302773,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd08c0b375da7d0c42afafa24aa1b57f5e9f430a,CZ57072,"Pha hl.n. Lc201,202",297.1
node/9079567691,Praha-Velká Chuchle,stop,1,50.0099157,14.38902,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4856eb29e07f8d9532684220924aeba615605736,CZ57396,P.-Velka Chuchle z,306.3
node/309444810,Nekrasín,halt,745125,49.2234917,15.0625584,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d60ad6cbf4b1bfcc62cf1190febe482435a8514,CZ74512,Nekrasin z,330.0
node/11177114922,Plzeň seřaďovací nádraží,stop,,49.7557471,13.4008935,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6db9f0d8d38531f35260c5898b6774c736b7abae,CZ78004,Plzen hl.n.ser.n.,330.5
node/11177114923,Plzeň seřaďovací nádraží,stop,,49.755759,13.4007207,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6db9f0d8d38531f35260c5898b6774c736b7abae,CZ78004,Plzen hl.n.ser.n.,333.1
node/6581217065,Těchlovice,halt,561597,50.6960847,14.2031108,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/134770b65256e0d9a842e391b0655ea1a9900aea,CZ56159,AHr Techlovice z,414.7
node/277289629,Albeř,halt,744524,49.0296604,15.1376726,,,,
node/1780777501,Amfiteátr,halt,,49.1406829,16.6292375,,,,
node/24568982,Anděl,stop,,50.0695136,14.4036406,,,,
node/4789030281,Anděl,stop,,50.070417,14.4040451,,,,
node/5463129256,Anděl,station,,50.0702468,14.4039192,,,,
node/3574487297,Babice,halt,,49.1762113,16.3544059,,,,
node/472102250,Benešov nad Lipou,halt,745729,49.3291362,15.0085756,,,,
node/2291563850,Beroun,stop,,49.9576853,14.0782957,,,,
node/244130649,Bohosudov zastávka,halt,544296,50.6862218,13.8737351,,,,
node/340105475,Bohuslavice nad Úpou,halt,,50.5510601,15.9787983,,,,
node/1322972234,Bořislavka,stop,,50.0983746,14.3622467,,,,
node/5435728425,Bořislavka,stop,,50.0983722,14.36359,,,,
node/5460545209,Bořislavka,station,,50.0983787,14.3628828,,,,
node/2895078237,Brno hlavní nádraží,stop,13k,49.1898774,16.6099908,,,,
