start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7cc21bb033f121a15536c79a79956f51e0111ff3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d9050828e9da94db56c9eaaf6fdec9f9f51a8a47
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c33618d533aa2d926977ff33e1f8b38f44b12d47,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d15ff49ce42b41832b7b3693b08a87d07a7bb89
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/43761fd83a3962f34220c64c0716e61d6af4558c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d3dbe0761ef8e94ee18580fa3f535c2272b6ce24
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a919fcbc52add35a46780f79fd9c8150dc2c7773,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7dbd8f350d578128492b9ccc77767947df742424
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/51e78a9c3b0d6065edb070d1cfe865c6c95113f4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f57dd7e4389f1937db45f34758193a2e57ebd9d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bbbbdbef099444aa3aa0a20babc891254112c4ed,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b358173edd62f41053a9e1b5ee6b37b595532b8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2337f17b937fe68ace6d93be38a89d15bd69ba8c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5a4a23002d593cd5435e8994003ee3c7bd4b8573
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75c404f9df1bdbc121cf98b3b350a9cb841439fd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/25698e08be6560dfff09efdfadca44deeae3671f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/577c67b2c17a5fcb78b55850b6cdc79533c74100,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/43f5c62ae83256c65b874d987a7c638cf62f239d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc1e4a097140341092bf7527ec07553a6491e74c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19267bc7b8dbb21abb252f308dbf8d76a951fca1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ff156d4ae344cd668cdf1e9dcf285fd775e6b2c3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2337f17b937fe68ace6d93be38a89d15bd69ba8c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d3dbe0761ef8e94ee18580fa3f535c2272b6ce24,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/45ca4c6e41948194772a4c6dbbca3a7f0c8b5f7e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d09c951150c2a3e9b7abd1637887714d8b84950a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/301f5469c69863e8706b3abce226f767902f4598
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75c404f9df1bdbc121cf98b3b350a9cb841439fd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/efddeecbc6b5f97feda349750b2ed5c084bd5788
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f2a3f81eefc1c71f89b0c31cefc842019f80646f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d8b813ee34bd53467e969d5c7c0f396ba85d7727
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2e32f43464de4c4f83128bc971cc1df2834c57b2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/43761fd83a3962f34220c64c0716e61d6af4558c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b4cbce31017b6fb87eecbdd45b62de4a5697dc7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c7bcd102a709ed271021d9ed6eb0b842b8860ff
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3bb24eb97ca489b9b4d74c61a4fc401ed31cf0ae,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/26aa6104b90a927a32759a871242ed362cf3e97b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/53c4db96b07736edf607e1eb69746f4e3adc186e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a35b0e0fdeb5a5b64c71f66a28578a7524cfc855
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d0b932474f9e3276c7ee0b285572b020e7b3f54a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/751fa7b958771b691e0d72533b1df8e7476d446a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/061880ce39f26983c8886439fbd857b593e19715,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e3c03bfa334df09a66698498c48a3d2023bc53e6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b4cbce31017b6fb87eecbdd45b62de4a5697dc7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f2a3f81eefc1c71f89b0c31cefc842019f80646f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/26aa6104b90a927a32759a871242ed362cf3e97b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d2d25429c303db5efe25a38d9d8cce6633e1b8a8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1e7737f323fd5aedc2ed53a5fc328be03e22f761,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e3c03bfa334df09a66698498c48a3d2023bc53e6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/71d6acc2457d24356a5ea7f8a34da6bbff67d68d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5a4a3276fdb0c158d2ec490254ca9cb9ca612bbb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5766d3a68127edbca46d1dfeeafdb2e3d9829bc2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ad8f6193499b1eebc637bbfb83ee1ed84ddf1bb4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e2c4dd54a4ed1dfeb545381d23a72f30766355b1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b264f1e9d44a4f7563e05a250246a01fbdc8ce26
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8b374068637ad9f3fa726fd650069f19f82f4562,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2e1c5beb7ec1a443fde0db0a96bd523e0b072893
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d0f4c43c0c6d12d038fd5cf67a62905a830ad42,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/edd2154089ee56caf9eb01d885fdac4d69d9d7cf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7034796cf027e3e87021351c151c628e40a4ecb1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fa847f514204250e90910474e4e642cfd2b74fe7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8e206bfd7f54bcdb526fc2ce67a27a834976d8da,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/10e4b43f7b112df9a0302b73e163b56bf71c83ad
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c3a1dbcb982af36643418ad4c4bf77a94d862650,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7082115732298124fd49e4506daa1d55acbaade0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c7bcd102a709ed271021d9ed6eb0b842b8860ff,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/25698e08be6560dfff09efdfadca44deeae3671f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fb2992037bac752692b9ccb9405cc232838fdf25,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e0c1fc7c3196a037699cb2a45b297967f6f33c91
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5775ea222b634c4fbf772f542e01a7e4ad762d80,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc1e4a097140341092bf7527ec07553a6491e74c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7dbd8f350d578128492b9ccc77767947df742424,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7329c87dde9a4ab198e97655ba64b0610fe9fe5f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/72770044f6302d1279f5b6abc8a0571ccf6db24c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/df342cba5121e0517fb90b0b8af3fb538140e810
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d2d25429c303db5efe25a38d9d8cce6633e1b8a8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a264ce23343cc01d773eb0a47f5f3c122f00142e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f72ee6f96c481431bf8ad34387cbe4c3d551feb4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a541888e7b05958a27d69eb967c59338c4983e1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/797c361fdc68abb96598d2822f51aa67e3fa2408,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c2d36738e6991a3976368e585257eaf3cbf0b7d4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/82660dd3180e6ef8bc071f7df633280fb59598d8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e3af2c638ebdd8a952adf1b03c20778deedec7d6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ea3a48898882615ec836987708c8bf17a6c48079,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/40ea3f07f53a7c4dc33c47e496e3bc806fb8ddb6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1aa15beb4e1fed192a816411d6ce049353ec5d1a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c7bcd102a709ed271021d9ed6eb0b842b8860ff
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a35b0e0fdeb5a5b64c71f66a28578a7524cfc855,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e8d93022e70508d947aafbc50333341f5daac6ef
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/517b5f7a871294a839b06ad6768ed3653b6c2ae0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/433c49fd6a747164b676dc9760d98a94506ebe62
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f57dd7e4389f1937db45f34758193a2e57ebd9d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1d905c7ff2e8daa761895afff3eb1cc8c267c07b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5ac225d7a9b137645e305b55ba61d0f2b90a21d0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/65fdeb379299158011e6d1f9b533fd0d3677c2ba
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f72ee6f96c481431bf8ad34387cbe4c3d551feb4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5526f1fdbb2cc373f5ca2abe12eba5d87219f550
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ccf8286bcd4a9cd9b2a39d210af0c1e9e73c81b0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7276f3347e4458072f8360a6a6d311f9d09856aa
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/365d4800888112900ee622e100b4a9e3219ead6c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b17c240258224fc0389dcc966053c52dc2ca8adb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5841aaa67632a158f2ae653129b2cbace5f9e6d3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6df0fad298a0080202f246e69f2e06b6fb1aa0ca
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1249d4e83fd4757faf3cf440b2bc0bb1dc8d41f6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e38f24f4d842e1ebb1649d990fd80ec6dfbd790f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d8b813ee34bd53467e969d5c7c0f396ba85d7727,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a1904372a06257c478743a5c386b71c2e1cfbdad
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d8b813ee34bd53467e969d5c7c0f396ba85d7727,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d5b2b9fdacf979c0a63d48fe9328a64964eaadbb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/891e4582e7c242a5a121f16973810048eed04b91,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7cc21bb033f121a15536c79a79956f51e0111ff3
