id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
DK00795,København H,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a919fcbc52add35a46780f79fd9c8150dc2c7773,DK00815,København H,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1aa15beb4e1fed192a816411d6ce049353ec5d1a,0.0
DK00795,København H,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ab137a6b52de4cda44dd1465cee7c3beca559fa8,DK00815,København H,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d4961e77e49272bf98f6d81487946b5e88fcd34,0.0
DK00001,København H,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/149728e05d78f24810cf7d5a92005b45cb8c4d92,DK00142,København H,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8edc35e2c695584a1b9d2c98b7ab768506b9c52c,0.0
DK00001,København H,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/52eb556545c7d1262cb8c235960e24185e088e79,DK00142,København H,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/748397324e10c50077fbc4bf94ff3f920a4c787f,0.0
EU00141,Peberholm grænse,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cd9647e80bfaf99accfd6d12065e53761832a97e,EU00141,Peberholm grænse,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b5a5ad08480bb3a80205b596c7bd68d1aa684940,0.0
DK00350,Ribe,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/63d46ca223085c995b9a798f2968a7d4a221ce5a,DK00350,Ribe,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c276edca2553a76badc225a7bd79f1542602badc,0.1
DK00523,Jægersborg,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/57d3935eb2f741e1910d3e3b0132693b647ae691,DK00523,Jægersborg,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a18b7453dbd388f5d68385ca2bfe1ae116b1dd8d,0.3
DK00093,Haslev,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d74a0ef7a7b78d7bb791fd55cba84db374aeb753,DK00093,Haslev,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7b2dfae45cd4d6e60ece292308fbac6837c997b1,0.3
DK00120,Kalundborg,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5c7be57ca31da5d287ba41f8ca577805c2413863,DK00120,Kalundborg,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19267bc7b8dbb21abb252f308dbf8d76a951fca1,0.4
DK00878,Bagsværd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/033a6e41f020ac0512e389d1e9c6c2ba35a5eb95,DK00878,Bagsværd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5ae7c1a0371df710cd0473ffa5a01b4a706c9907,0.5
DK00312,Vojens,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/307068ce59b27a22b7a9c06ed416c3cffcfefee3,DK00312,Vojens,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/10e4b43f7b112df9a0302b73e163b56bf71c83ad,0.6
DK00308,Farris,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/03145737401927372bbcb96b54831336b2e03538,DK00308,Farris,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dd3e240e4a6fa240df14a40df848db4082ece832,0.6
DK00772,Teglgårdsvej,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ced78c43bb3b556a0b36b166457ed789db3c7873,DK00772,Teglgårdsvej,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/420eec08151561b04e826e89cd94a77d354ab46b,0.7
DK00907,Ølby,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c0bae1972a94a41b69b524d6280bdfeb1783e0e,DK00907,Ølby,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f1d460fc1ab75ae9732fd99dd785d78552def020,0.7
DK00905,Greve,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a48d99b2440a2604e76fdab2136ea95b2eeefac6,DK00905,Greve,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2848107812dabd75c20b57b69aed1e728d59a729,0.9
DK00008,Glostrup,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5fa72010bad3ee029b81d4b7589e730e8e77fa93,DK00008,Glostrup,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d305379826bc8fb77c35a3c39eb5eaa35081b15,0.9
DK00353,Rejsby,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d55a3dd3578b3af4f61d1a42177c544a9a190e5,DK00353,Rejsby,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/80b3bada70232d7ca081cd12f4c994da9c58efcd,0.9
