osm_id,name,type,ref,lat,lon
node/21371918,Kabala,stop,,59.3449056,26.6755705
node/28919698,Rakvere,stop,,59.3578482,26.3656087
node/29174617,Tapa,stop,5990021-1,59.2654595,25.9614715
node/30153696,Riisipere,station,,59.1191761,24.3120598
node/30402685,Paldiski,station,,59.3443492,24.0604429
node/89000672,Vägeva,stop,,58.9085091,26.2791787
node/89000708,Jõgeva,stop,,58.7480643,26.3995632
node/91576815,Võhma,stop,,58.6294901,25.5617
node/91580734,Olustvere,stop,,58.5451826,25.5465701
node/91580750,Sürgavere,stop,,58.4873722,25.5372142
node/91580768,Viljandi,stop,,58.3576453,25.5737968
node/287918262,Türi,stop,,58.805031,25.422696
node/319187305,Taevaskoja,stop,,58.1013326,27.0284934
node/319187374,Holvandi,stop,,58.0548352,27.1954164
node/319187409,Ruusa,stop,,58.0424142,27.2735474
node/319192202,Ilumetsa,stop,,57.9677818,27.410894
node/322906432,Aardla,stop,,58.3576689,26.7145792
node/323110380,Aegviidu,station,,59.2850414,25.6136127
node/333590085,Veriora,stop,,58.0060613,27.3537387
node/338734195,Tartu,stop,,58.373714,26.7065013
node/345565669,Puka,stop,,58.0549655,26.2398575
node/418019706,Tõravere,stop,,58.2599734,26.4812606
node/418439402,Elva,stop,,58.2252038,26.4225822
node/418977239,Pärnu kaubajaam,stop,,58.3951655,24.5869094
node/429765379,Palupera,stop,,58.126711,26.3253634
node/448280724,Kirsi,stop,,58.3571468,26.715151
node/448285938,Uhti,stop,,58.2888063,26.7291292
node/523619250,Peedu,stop,,58.2370582,26.4479726
node/566195106,Kaarepere,stop,,58.6623776,26.5199647
node/566195153,Tabivere,stop,,58.5515747,26.591708
node/566208269,Pedja,stop,,58.8265481,26.3457754
node/567439685,Tamsalu,stop,,59.1596599,26.112286
node/579964359,Kiviõli,stop,,59.3531601,26.965961
node/649015886,Vaivara,stop,,59.3729768,27.7675633
node/652842585,Sonda,stop,,59.3494574,26.8427921
node/659837157,Püssi,stop,,59.3585608,27.0486177
node/731426985,Печоры-Псковские,station,,57.837932,27.632577
node/734514950,Lehtse,stop,,59.2544544,25.8253723
node/734514994,Nelijärve,stop,,59.2702461,25.6530863
node/734515273,Jäneda,stop,,59.2549024,25.7084945
node/847149522,Nõo,stop,,58.2815133,26.5365483
node/850008507,Laitse,stop,,59.1950871,24.3149241
node/864818204,Männiku,stop,,59.3386795,24.7015089
node/874381457,Lelle,station,,58.8676237,25.0071389
node/996883062,Orava,stop,,57.9197713,27.4735869
node/1001262654,Piusa,stop,,57.8400144,27.4675079
node/1133646698,Kibuna,stop,,59.214496,24.2935431
node/1133646710,Jaanika,stop,,59.1578051,24.3174394
node/1133646721,Vasalemma,stop,,59.2381467,24.2988511
node/1158952078,Kärevere,stop,,58.7250589,25.5183464
node/1300926497,Koidula,stop,,57.8369697,27.5755865
node/1363022436,Jõhvi,stop,,59.35559,27.4054705
node/1369736164,Põlva,stop,,58.070006,27.0913679
node/1369741565,Kiidjärve,stop,,58.1288302,26.9941232
node/1372245122,Reola,stop,,58.2714845,26.7713486
node/1372263675,Vastse-Kuuste,stop,,58.17377,26.9321974
node/1372263680,Valgemetsa,stop,,58.1482054,26.9673963
node/1372263684,Vana-Kuuste,stop,,58.2549331,26.7841679
node/1372263686,Rebase,stop,,58.2384923,26.8094382
node/1372632142,Saku,stop,,59.3007905,24.6764794
node/1404521402,Ollepa,stop,,58.6656468,25.5411872
node/1404521403,Taikse,stop,,58.7711888,25.4727124
node/1503149365,Kärkna,stop,,58.4576693,26.6591665
node/1546177281,Oru,stop,,59.3746375,27.5754048
node/1607752056,Keeni,stop,,57.9467955,26.2390606
node/1607752064,Mägiste,stop,,58.0103534,26.2310895
node/1607752070,Sangaste,stop,,57.863928,26.1889016
node/2158784640,Kasemetsa,stop,,59.2735168,24.6767687
node/2159481727,Käru,stop,,58.8341021,25.1445784
node/2165848028,Kiltsi,stop,,59.0876421,26.1767582
node/2165848030,Rakke,stop,,58.9900812,26.2427843
node/2339796078,Kadrina,stop,,59.3380965,26.1452288
node/2417510321,Võhma,station,,58.629481,25.561638
node/2457547174,Ikla,stop,,57.8771978,24.3679087
node/2929164408,Ropka,stop,,58.3147853,26.6285709
node/3238143547,Kohtla-Nõmme,stop,,59.3618654,27.1893739
node/3272643550,Ülenurme,stop,,58.3098494,26.7214487
node/4175738941,Saku,halt,,59.3009522,24.676489
node/6572486448,Riisipere,stop,,59.1188651,24.311938
node/6572486449,Riisipere,stop,,59.119579,24.3121677
node/6572486478,Aegviidu,stop,,59.2854304,25.612607
node/6572486479,Aegviidu,stop,,59.2847387,25.6143656
node/6572486480,Aegviidu,stop,,59.2848481,25.6144983
node/6574113327,Paldiski,stop,,59.343521,24.0621188
node/6913337838,Turba,stop,,59.0763227,24.2411488
node/7804437998,Valga,stop,,57.774524,26.0533492
node/7804437999,Valga,station,,57.7746749,26.0532643
node/8761131035,Elva,station,,58.2252786,26.4226717
node/8761131036,Tartu,station,,58.3737014,26.7064587
node/8761131037,Koidula,station,,57.8369265,27.5755936
node/8761131038,Lehtse,halt,,59.2544377,25.8254443
node/8761131039,Tapa,station,,59.2654386,25.9614471
node/8761131040,Pedja,station,,58.8266228,26.3457486
