osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/6572486478,Aegviidu,stop,,59.2854304,25.612607,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/15acd80603fc90559276661c3200161eec4fcd5c,EEAEGVI,Rakenduspunkt Aegviidu,220.6
node/322906432,Aardla,stop,,58.3576689,26.7145792,,,,
node/8761131044,Aardla,halt,,58.357686,26.7145085,,,,
node/319187374,Holvandi,stop,,58.0548352,27.1954164,,,,
node/10693667204,Holvandi,halt,,58.05487,27.1954351,,,,
node/2457547174,Ikla,stop,,57.8771978,24.3679087,,,,
node/319192202,Ilumetsa,stop,,57.9677818,27.410894,,,,
node/10693685208,Ilumetsa,halt,,57.967794,27.4109268,,,,
node/1133646710,Jaanika,stop,,59.1578051,24.3174394,,,,
node/12499047931,Jaanika,halt,,59.1578061,24.3174127,,,,
node/734515273,Jäneda,stop,,59.2549024,25.7084945,,,,
node/9875579411,Jäneda,stop,,59.2548762,25.7078725,,,,
node/10577705882,Jäneda,halt,,59.2548888,25.7081486,,,,
node/89000708,Jõgeva,stop,,58.7480643,26.3995632,,,,
node/8761131041,Jõgeva,station,,58.7481145,26.3995801,,,,
node/9877567019,Jõgeva,stop,,58.7481121,26.3996833,,,,
node/2339796078,Kadrina,stop,,59.3380965,26.1452288,,,,
node/2158784640,Kasemetsa,stop,,59.2735168,24.6767687,,,,
node/12499047935,Kasemetsa,halt,,59.2735127,24.6767319,,,,
node/1133646698,Kibuna,stop,,59.214496,24.2935431,,,,
node/12499047929,Kibuna,halt,,59.2144893,24.293508,,,,
node/1369741565,Kiidjärve,stop,,58.1288302,26.9941232,,,,
node/10693632883,Kiidjärve,halt,,58.1288421,26.9941629,,,,
node/448280724,Kirsi,stop,,58.3571468,26.715151,,,,
node/10693621367,Kirsi,halt,,58.3571433,26.7151807,,,,
node/579964359,Kiviõli,stop,,59.3531601,26.965961,,,,
node/10577705886,Kiviõli,station,,59.3531447,26.9655431,,,,
node/3238143547,Kohtla-Nõmme,stop,,59.3618654,27.1893739,,,,
node/10577705889,Kohtla-Nõmme,halt,,59.3619117,27.1894924,,,,
node/1158952078,Kärevere,stop,,58.7250589,25.5183464,,,,
node/11262882961,Kärevere,halt,,58.725045,25.5182938,,,,
node/1503149365,Kärkna,stop,,58.4576693,26.6591665,,,,
node/10693681569,Kärkna,halt,,58.4576699,26.6591278,,,,
node/2159481727,Käru,stop,,58.8341021,25.1445784,,,,
node/12499047936,Käru,halt,,58.8340874,25.1445764,,,,
node/850008507,Laitse,stop,,59.1950871,24.3149241,,,,
node/12499047925,Laitse,halt,,59.1950948,24.3149531,,,,
node/734514950,Lehtse,stop,,59.2544544,25.8253723,,,,
node/8761131038,Lehtse,halt,,59.2544377,25.8254443,,,,
node/9875579410,Lehtse,stop,,59.2543062,25.8241602,,,,
node/1607752064,Mägiste,stop,,58.0103534,26.2310895,,,,
node/10693628313,Mägiste,halt,,58.0103485,26.2311087,,,,
node/864818204,Männiku,stop,,59.3386795,24.7015089,,,,
node/12499047922,Männiku,halt,,59.3386845,24.7014684,,,,
