id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
FI00767,Ajos,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a62e00e014e74b49fcb980031178906254698e14,FI02340,Ajos Kemin Satama,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d0d2635387161b94a2a89456b52ba20d0578abd,0.0
FI00077,Mustolan satama,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e28dfa0d6d1fd341809e64c7f7cfd2d0e923558e,FI02052,Mustolan satama LR 500,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/de48869269141ef4a235211bc9ad858c9391b966,0.0
FI00702,Tahkoluoto,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7705b0ebad4601dd0141df698c4118fd2de5d048,FI02089,Tahkoluoto Porin Satama,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9b91f3a0abc3fc8f64f9432c4f12e43a324bc8d0,0.0
FI00871,Lahnaslampi,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8d537e6a1f78bde68dac55888f445b7c40cb8e4f,FI02029,Lahnaslampi Elementis Minerals,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9d21c5d28f81cb7c3ca0e85c0233cc0b32d257fe,0.0
FI02021,Hamina HMA 200,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e4e5077cda06f9150ea9ebdfcb6eea0f02968b3,FI02031,Hamina HMA 300,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9d55ed45650fdf42a28f71aad69c5a91cdf64c60,5.5
FI01049,Iisalmen teollisuusraiteet,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bef3e950981235b1810b2daa82b8e651eef90af0,FI02361,Iisalmen teollisuusraiteet Raideinfra,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f36262f23754d93856128e9fe199bac7e944029,9.9
FI02383,Alholma Pietarsaaren Satama,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3c0ca4d1e8d787274ff16ff49c0a824039df548,FI02221,Alholma ALH 021 UPM Kymmene,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ebf9f9cf1882aabf06f736ee4e546f156c7c865c,12.2
FI50018,Raideinfra Oy Riihimäki varikko,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/43335f156dba0a4b8577efe7717a98632fe99b7a,FI02011,Riihimäki RI 310 Raideinfra,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/de44b0ca65f286de946df07153b95890ab439f18,15.6
FI02488,Kotka Mussalo MSS 850 HaminaKotka,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35a50878687c8866351691f55ec8b0846703dcad,FI02106,Kotka Mussalo MSS 829 Advario Finland,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f4ed9155bddb683303fbe1a3b1c3558d19cfda9f,22.9
FI02277,Kotka Mussalo MSS 830 Advario Finland,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4869abc0e427d968f7d05a591030ccb7cf16991b,FI02106,Kotka Mussalo MSS 829 Advario Finland,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f4ed9155bddb683303fbe1a3b1c3558d19cfda9f,24.6
FI02503,Ruokosuo Yara Suomi,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8da61a5c2028a3887f105f192aa3dd6ec6f2b516,FI99975,Siilinjärvi_V655,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b57ce97a6b71a2e5e94b02d94a0a53d21b1f4c9c,32.2
FI00532,Kotka asema,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3f7e43c3b44c85e6b30955fd5e2311238a35dcf6,FI02386,Kotka KTS 169 Raideinfra,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bbd54e2104c9dddb44e3c3bf89f845168d8a32e9,34.7
FI02022,Kuopio tavara North European Oil Trade,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/09da7486f5f0654f6b041f0bd3fab6501ba1a1c8,FI02187,Kuopio tavara Teboil,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dcd7b232a0b06571a938ed37b9e81f3e7c5f94dd,34.9
FI00527,Hamina,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/205b1ab330f4ce415fcc5fbb3d3a99b9949af50c,FI02448,Hamina HMA 024 Raideinfra,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/51fc52d28ac956d866eef524d82801a5be7c4077,35.2
FI02471,Hyvinkää Ruukki,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ebd22fcb619573b67e197ebccd268b88dd29ccee,FI02484,Hyvinkää HY 062 Raideinfra,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cafed61f397927bbb68b09e7fdae43c978155616,39.7
FI02488,Kotka Mussalo MSS 850 HaminaKotka,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35a50878687c8866351691f55ec8b0846703dcad,FI02277,Kotka Mussalo MSS 830 Advario Finland,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4869abc0e427d968f7d05a591030ccb7cf16991b,43.2
FI00385,Otanmäki,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f4a508175f6d5a41fc00ca4421ef6ee36586ddd9,FI02168,Otanmäki Transtech,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/452276618cdf24047bf6263bb34c2a93848d9206,48.5
FI02502,Kotka tavara KTT V587-V350 HaminaKotka,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b8757f59897ee9076c1201680ec1a945803cd0a1,FI02145,Kotka Hovinsaari HOS 597 HaminaKotka,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e45fb3a7812c256f039ac050a0027b1169bc3487,49.6
