id,name,lat,lon,uri,country
EU00058,Hagenwerder Grenze,51.048,14.9579,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/25669d63ec7109681474c537da8b6a25f5d36d5f,http://publications.europa.eu/resource/authority/country/DEU
EU00008,Aachen Süd Grenze,50.718479,6.041337,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/29300ceed77e38d032f9ce62434c19fc602a3d94,http://publications.europa.eu/resource/authority/country/DEU
EU00031,Mittenwald Grenze,47.3978,11.2675,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/367b299ae9451140c063ccc725fb7513badbf3dd,http://publications.europa.eu/resource/authority/country/DEU
EU00033,Salzburg Grenze,47.8319,12.989,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5c0645bebc53e9cc4677046b0844fb2f7143f80b,http://publications.europa.eu/resource/authority/country/DEU
EU00007,Aachen West Grenze,50.753375,6.021325,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6b2a89eb9ea099ab569eb14d227cd562c5ab4c46,http://publications.europa.eu/resource/authority/country/DEU
EU00013,Hanweiler Grenze,49.1119,7.0573,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/761ed9e85f24c28d2518125e03c0027e9454a7c4,http://publications.europa.eu/resource/authority/country/DEU
EU00028,Lindau-Reutin Grenze,47.5344,9.736,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/788bb50e5fc8ce150f4722be3d8b7ab70236c545,http://publications.europa.eu/resource/authority/country/DEU
EU00047,Seifhennersdorf CZ,50.92107,14.60403,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7bc6b0787c5e0512c2007926b49233ea6b7b6b64,http://publications.europa.eu/resource/authority/country/DEU
EU00003,Gronau Grenze,52.218058,6.979838,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f0d2c0ad2891e3e1be74acfd3b82c8973a222a9,http://publications.europa.eu/resource/authority/country/DEU
EU00016,Kehl Grenze,48.5756,7.801,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8fa8d6a3fed149db98de8bd14cc381312c452d51,http://publications.europa.eu/resource/authority/country/DEU
EU00038,Schirnding Grenze,50.087,12.25349,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/978d22b29b38d1e48c9b526c78131bc34d92a403,http://publications.europa.eu/resource/authority/country/DEU
EU00004,Emmerich Grenze,51.901252,6.13768,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a5228e13926b89156e376f9792995ebafadcda56,http://publications.europa.eu/resource/authority/country/DEU
EU00010,Perl Grenze,49.469,6.3696,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b7d3d8d005e94b058191c9b448387b402adc101f,http://publications.europa.eu/resource/authority/country/DEU
EU00055,Tantow Grenze,53.3272,14.4165,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b8a6fd6aa08e37ec3b40569ea7091a0fab3dd1b5,http://publications.europa.eu/resource/authority/country/DEU
EU00027,Konstanz BW/CH 4322,47.6535,9.1789,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bcc191d1b7f45fbf87a2345539be84e6a895ac48,http://publications.europa.eu/resource/authority/country/DEU
EU00050,Horka Grenze,51.2874,15.0326,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c798d63b98854d47bff06265eb1660bb464bf10e,http://publications.europa.eu/resource/authority/country/DEU
EU00032,Kufstein Grenze,47.6012,12.1774,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dee2074f63285da769ca93d58c433b280a42907d,http://publications.europa.eu/resource/authority/country/DEU
EU00005,Kaldenkirchen Grenze,51.340989,6.192566,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e72e1c0b4ec652bc897b358e6e3aca15b6cbd614,http://publications.europa.eu/resource/authority/country/DEU
EU00026,Konstanz BW/CH 4000,47.6546,9.17769,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f8f62ccd197487ee0e3601c486348f65f4890d84,http://publications.europa.eu/resource/authority/country/DEU
DE00WSZ,Sassnitz,54.516392,13.637581,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/32f96aa3ce3e435566cbe839a67e3acf3eec8d8c,http://publications.europa.eu/resource/authority/country/DEU
DE00WWM,Warnemünde,54.175689,12.09152,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db129c212c9c44b4165c5200b7667a9a20b15264,http://publications.europa.eu/resource/authority/country/DEU
DE00SWE,Wehr (Mosel),49.586232,6.37693,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/398940d547eedea87c2e33614f66c372e1b96e61,http://publications.europa.eu/resource/authority/country/DEU
DE00SKB,Kleinblittersdorf,49.158511,7.033654,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b05c1f6d2aef663a3029a58671002283fe4df962,http://publications.europa.eu/resource/authority/country/DEU
DE00SPZ,Palzem,49.565489,6.370953,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d58132b36069a38b6f5553afc83519675ec6946d,http://publications.europa.eu/resource/authority/country/DEU
DE00SHN,Hanweiler-Bad Rilchingen,49.118832,7.050059,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d7c624f8b576f3cc32d7a05fd806817748265998,http://publications.europa.eu/resource/authority/country/DEU
DE00STS,Temmels,49.68853,6.462485,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f624fcf43176a98712cba62ea107306fb8abd718,http://publications.europa.eu/resource/authority/country/DEU
DE00SWN,Wellen (Mosel),49.672698,6.441438,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc5897365c6a11bbb9de177925e201b7bd3fbdd9,http://publications.europa.eu/resource/authority/country/DEU
DE00SNE,Nennig,49.538732,6.375823,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fd01c5b835795fee8d7836937bead5763c59a198,http://publications.europa.eu/resource/authority/country/DEU
DE00SBS,Besch,49.507237,6.372183,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/31c4895a7fce385cd2cec09fb10c0b2f6a19a7c3,http://publications.europa.eu/resource/authority/country/DEU
DE00RRW,Rheinweiler,47.709465,7.531315,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3e9b05cd6a0ac719c024a6e8112c304fd5f72f42,http://publications.europa.eu/resource/authority/country/DEU
DE0RGRZ,Grenzach,47.550905,7.659725,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3a7490560e48fae99568d9af27f7db81d340fae0,http://publications.europa.eu/resource/authority/country/DEU
DE0SWIN,Wincheringen,49.60898,6.407126,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b8bd30f99aaec86ab61a3809a9ee1c0fb3f2a29,http://publications.europa.eu/resource/authority/country/DEU
DE0RLBO,Laufenburg (Baden) Ost,47.566112,8.0737,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/50fe89ce81df21cf63e62b3d5fa05b11d51c9b22,http://publications.europa.eu/resource/authority/country/DEU
DE0MXSS,Salzburg Grenze Süd,47.83184,12.988983,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8744dc648a9351dddc9573b557c073f771d26dde,http://publications.europa.eu/resource/authority/country/DEU
DE0NXSB,Selb-Plößberg Grenze,50.212511,12.173568,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/937dfb7a9581b059a6f78af16c500877fec96c0c,http://publications.europa.eu/resource/authority/country/DEU
DE00RKL,Kehl,48.576706,7.806367,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f218598e6a182804c40270e4f09d71c807fbeca,http://publications.europa.eu/resource/authority/country/DEU
DE00RRH,Rheinfelden (Baden),47.556905,7.784663,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9ce25ba066ce32a139ce81a0265c5e8b981c7794,http://publications.europa.eu/resource/authority/country/DEU
DE00SAM,Auersmacher,49.143402,7.044724,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ed3dddd5a75deac83e755fd9f240d2feafc941bb,http://publications.europa.eu/resource/authority/country/DEU
DE00MLF,Laufen (Oberbay),47.933721,12.92229,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3cd3341d8f177a7fb468ee6f5a544f1bdef64985,http://publications.europa.eu/resource/authority/country/DEU
DE00MFL,Freilassing,47.836717,12.977187,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9f4da2afc3b3034df9ead3b334f92ab5e6277921,http://publications.europa.eu/resource/authority/country/DEU
DE00MKI,Kiefersfelden,47.6099,12.190535,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee198a711fdf279b354ddf08517a878521be027d,http://publications.europa.eu/resource/authority/country/DEU
DE0MAIN,Ainring,47.815096,12.964599,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1c43baef663f2014c50223707921c7c1a05ce40d,http://publications.europa.eu/resource/authority/country/DEU
DE0MFLH,Freilassing-Hofham,47.831903,12.96777,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6b8b72ef931f1a310ff5607be186582bcde358a2,http://publications.europa.eu/resource/authority/country/DEU
DE0BGUS,Guben Süd,51.93789,14.704558,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3438379457f174eb5c91c71f3b568b62382a1ab0,http://publications.europa.eu/resource/authority/country/DEU
DE0DXBD,Plesna Grenze,50.196219,12.334425,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/46f0183477ec87c8dbe51e49dfc76134105d3d8e,http://publications.europa.eu/resource/authority/country/DEU
DE0DXBF,Vojtanov Grenze,50.17191,12.324016,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/64d6738b8870eb3010d37e821c44aeaba6d56b08,http://publications.europa.eu/resource/authority/country/DEU
DERBA E,Basel Bad Rbf (Gr E),47.578218,7.602518,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/22b59c3bff57fb5c848d41d712511999611670a3,http://publications.europa.eu/resource/authority/country/DEU
DERBA E,Basel Bad Rbf (Gr E),47.578218,7.602518,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7a0e551575ffb0cb5756cad0bf4484ce2cc623d2,http://publications.europa.eu/resource/authority/country/DEU
DE98496,StrUeb6153_6345_6459,51.954332,14.707812,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a103cb5687f141231420f410248f7ddfd8d48b9,http://publications.europa.eu/resource/authority/country/DEU
DE98568,StrUeb6206_6345_6466,51.951703,14.709345,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/747af005533dd25cc5eab7c5363d09efd828e40e,http://publications.europa.eu/resource/authority/country/DEU
DE98567,StrUeb6206_6345_6465,51.950637,14.709745,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8b728fdea2c012301d183ef184f0ba99cb2377d0,http://publications.europa.eu/resource/authority/country/DEU
EU00021,Waldshut Grenze,47.6101,8.23502,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ac65a907bc16d5c3fae2ce98c35d71f061294e72,http://publications.europa.eu/resource/authority/country/DEU
DE98496,StrUeb6153_6345_6459,51.954332,14.707814,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e85d8f8d377392d51b82caf1b735bc28fb131937,http://publications.europa.eu/resource/authority/country/DEU
DE98568,StrUeb6206_6345_6466,51.951703,14.709346,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fbdd0ccfaa00ae71df0628c80da9a562f0b8fac8,http://publications.europa.eu/resource/authority/country/DEU
DE97991,StrUeb5703_5723_7510,47.835734,12.980965,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0936d1a52984561ae823e35a13e8bbec40efe2bb,http://publications.europa.eu/resource/authority/country/DEU
DE97991,StrUeb5703_5723_7510,47.835734,12.980966,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8d8946a67e8cde5a1ac890ad9918fd92a32941e4,http://publications.europa.eu/resource/authority/country/DEU
DE97220,StrUeb4000_4404_4538,47.572549,7.603847,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9234df54003b9b8396353dc0bc6aaeac74dde773,http://publications.europa.eu/resource/authority/country/DEU
DE98000,StrUeb5740_5744_6451,47.836762,12.976727,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d372daaedc38c4688853c0cfef4b1148e5c08d4f,http://publications.europa.eu/resource/authority/country/DEU
DE97220,StrUeb4000_4404_4538,47.572543,7.603773,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/da0fd3ffdc136cf571197a04aae1ce5e33554a7d,http://publications.europa.eu/resource/authority/country/DEU
DE000WZ,Zinnowitz,54.075613,13.903281,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a4b06a20dab223de52832384cbe694249df971c,http://publications.europa.eu/resource/authority/country/DEU
DE00DXS,Bad Schandau Grenze,50.859486,14.222339,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35ae083405b9ecee6299f5c023f8d2c9e8eda573,http://publications.europa.eu/resource/authority/country/DEU
DE0WSBB,Stubbenfelde,54.028111,14.033435,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c5c13ded4ea249fea977ebe29e098fc83a2e81d,http://publications.europa.eu/resource/authority/country/DEU
DE00HXB,Bad Bentheim Grenze,52.309083,7.040069,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6736efbcb9361150c3f027833ac7100d0f97522f,http://publications.europa.eu/resource/authority/country/DEU
DE00WKO,Koserow,54.045461,13.999007,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/80a1d9baa13c49827e30c66567718d07b067d2f0,http://publications.europa.eu/resource/authority/country/DEU
DE00WKP,Kölpinsee,54.035335,14.0229,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ab5c141f9d8920757ed60fbce5441c49fe1d26d6,http://publications.europa.eu/resource/authority/country/DEU
DE00HXB,Bad Bentheim Grenze,52.309083,7.040069,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b0091b4363d50385de5c1fcc22ec916f9bfbf581,http://publications.europa.eu/resource/authority/country/DEU
DE00WZP,Zempin,54.066056,13.959164,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d6a62a9b3b4d2c70e0aebdd979f1422326959c35,http://publications.europa.eu/resource/authority/country/DEU
DE00DXS,Bad Schandau Grenze,50.859486,14.222339,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d6becdbd2683e6eacb09d8a25482ee3a12b4eb00,http://publications.europa.eu/resource/authority/country/DEU
DE00AMM,Morsum (Sylt),54.872231,8.432472,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5c29536a1a4a9ea044abc430d6cecd5e7f5c9d96,http://publications.europa.eu/resource/authority/country/DEU
DE0WWMW,Warnemünde Werft,54.169016,12.085041,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/68dd2ad1f1e08334de98425fa55185d5a1be8ac5,http://publications.europa.eu/resource/authority/country/DEU
DE00APU,Puttgarden,54.500859,11.227476,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c838ad931c37c8c37a1427705a7a6e4b26f15974,http://publications.europa.eu/resource/authority/country/DEU
DE00APO,Bad St Peter-Ording,54.317435,8.614441,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d1eb8999b550a370116881fdee8887c99484b2a1,http://publications.europa.eu/resource/authority/country/DEU
DE0SWIN,Wincheringen,49.60898,6.407126,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca42a2063c177f1cd8b0c17ab472d236b2820c76,http://publications.europa.eu/resource/authority/country/DEU
DE0RGRZ,Grenzach,47.550905,7.659725,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/083aef795f43b6c80e29c662679d49e6eb8823d2,http://publications.europa.eu/resource/authority/country/DEU
DE0NXSB,Selb-Plößberg Grenze,50.212511,12.173568,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/af2d1738a9f938ce70cddec4b623a1903163b408,http://publications.europa.eu/resource/authority/country/DEU
DE0RLBO,Laufenburg (Baden) Ost,47.566112,8.0737,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/caa8ebe66321eb360e52b57bf2dad35d7d2b523a,http://publications.europa.eu/resource/authority/country/DEU
DE0MXSS,Salzburg Grenze Süd,47.83184,12.988983,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f2a3b8ee7b7679965e2a5b93ab09a188019bbb2e,http://publications.europa.eu/resource/authority/country/DEU
DE0MFLH,Freilassing-Hofham,47.831903,12.96777,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f51daca66c986e6612bd9221d371ef5aba1137a,http://publications.europa.eu/resource/authority/country/DEU
DE0MAIN,Ainring,47.815096,12.964599,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d529c4e2944aa0891ff54eabfdf5282b08eab045,http://publications.europa.eu/resource/authority/country/DEU
DE0DXBD,Plesna Grenze,50.196219,12.334425,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3f4ffc72c247387021f68683d9399231e9148651,http://publications.europa.eu/resource/authority/country/DEU
DE0DXBF,Vojtanov Grenze,50.17191,12.324016,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/41d9372719d702fbb876a6da7e0221e477e5df18,http://publications.europa.eu/resource/authority/country/DEU
DE0BGUS,Guben Süd,51.93789,14.704558,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b3f3544a8af8af9b19a0f38ec74850abb15dcbb1,http://publications.europa.eu/resource/authority/country/DEU
EU00007,Aachen West Grenze,50.753375,6.021325,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/038e78c8bb77981eecdbf012bdceb03b8fefdb10,http://publications.europa.eu/resource/authority/country/DEU
EU00058,Hagenwerder Grenze,51.048,14.9579,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0708fc0ca5ab2b024c28a134770c0daeadd6e3bc,http://publications.europa.eu/resource/authority/country/DEU
EU00008,Aachen Süd Grenze,50.718479,6.041337,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e405bf33a49510f7ad0c6c110644a0d2d8b7d62,http://publications.europa.eu/resource/authority/country/DEU
EU00004,Emmerich Grenze,51.901252,6.13768,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1f2655feafe826bdf50028fb6b25ae0e0337a59a,http://publications.europa.eu/resource/authority/country/DEU
EU00028,Lindau-Reutin Grenze,47.5344,9.736,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c2441865b1846f6479a226f992c2ff3a6f497eb,http://publications.europa.eu/resource/authority/country/DEU
EU00003,Gronau Grenze,52.218058,6.979838,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ed7c37316e4298bae420734e2239bc5c4386e86,http://publications.europa.eu/resource/authority/country/DEU
EU00038,Schirnding Grenze,50.087,12.25349,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36bc2753051ad0a94a800ae5561212b537210ea7,http://publications.europa.eu/resource/authority/country/DEU
EU00031,Mittenwald Grenze,47.3978,11.2675,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/44aaa925b3f661488fe3437677bef80dc9b57cd2,http://publications.europa.eu/resource/authority/country/DEU
EU00005,Kaldenkirchen Grenze,51.340989,6.192566,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/676ee5a6922c91c63c5e4e2c1f7024dc2228d0aa,http://publications.europa.eu/resource/authority/country/DEU
EU00033,Salzburg Grenze,47.8319,12.989,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6faf7c16dbe321dcb096f9389984aaf0c674e2e8,http://publications.europa.eu/resource/authority/country/DEU
EU00055,Tantow Grenze,53.3272,14.4165,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/80d97432c228bcb5c9cc63c32a2dd4c5d0c6fd72,http://publications.europa.eu/resource/authority/country/DEU
EU00050,Horka Grenze,51.2874,15.0326,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/93c0fdd769c83ac58b99bd58d2ab9e32fa6a6a3e,http://publications.europa.eu/resource/authority/country/DEU
EU00016,Kehl Grenze,48.5756,7.801,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a957d507899af3cf70c26baf0b910943b21e963,http://publications.europa.eu/resource/authority/country/DEU
EU00026,Konstanz BW/CH 4000,47.6546,9.17769,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9fb0e83b7cf11cd762fa88d20966bdb4be19a370,http://publications.europa.eu/resource/authority/country/DEU
EU00027,Konstanz BW/CH 4322,47.6535,9.1789,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a97fcfd7b3ff0b13bfd20444873fd32ae843866e,http://publications.europa.eu/resource/authority/country/DEU
EU00010,Perl Grenze,49.469,6.3696,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b7b27773e60791207ac0fba5bba8f26512473d2c,http://publications.europa.eu/resource/authority/country/DEU
EU00047,Seifhennersdorf CZ,50.92107,14.60403,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bc61349e73d23457e3751e0802c92514a4a4381b,http://publications.europa.eu/resource/authority/country/DEU
EU00032,Kufstein Grenze,47.6012,12.1774,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c89eaf22159a6ff87894303b15a8b797553df9a6,http://publications.europa.eu/resource/authority/country/DEU
EU00013,Hanweiler Grenze,49.1119,7.0573,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fe573a42a7c48707d02f887210cb957d7f215ba4,http://publications.europa.eu/resource/authority/country/DEU
DE97218,"Basel Bad Bf, W 69",47.569613,7.606728,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/628b6dcb7540481ac502bf0e6b5745982096a49f,http://publications.europa.eu/resource/authority/country/DEU
DE00WSZ,Sassnitz,54.516392,13.637581,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2e524b405e0d0ea0b12a6cc6eef5056e4f780b09,http://publications.europa.eu/resource/authority/country/DEU
DE00WWM,Warnemünde,54.175689,12.09152,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ea4fbe07ae8675c3e15eecaf19120ddf96777c64,http://publications.europa.eu/resource/authority/country/DEU
DE00MFL,Freilassing,47.836717,12.977187,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/040685ee40ec5ec46eb3b4f3eab4cc19be719935,http://publications.europa.eu/resource/authority/country/DEU
DE00SKB,Kleinblittersdorf,49.158511,7.033654,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/053f43001d326dd641e9b509c659303c3baae57a,http://publications.europa.eu/resource/authority/country/DEU
DE00SWE,Wehr (Mosel),49.586232,6.37693,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/05b23200ae624dd32a4ccf325f2b0da017466ed7,http://publications.europa.eu/resource/authority/country/DEU
DE00MLF,Laufen (Oberbay),47.933721,12.92229,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/113c9d977626935b353d9eb08ef4919adc093b50,http://publications.europa.eu/resource/authority/country/DEU
DE00SWN,Wellen (Mosel),49.672698,6.441438,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3307138ee823d734d9589f60b1848ef3b3cbe76a,http://publications.europa.eu/resource/authority/country/DEU
DE00MKI,Kiefersfelden,47.6099,12.190535,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/33fbe88ca0f63dc2b03274e9b48a865ba2d2742f,http://publications.europa.eu/resource/authority/country/DEU
DE00RRW,Rheinweiler,47.709465,7.531315,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38a8bffd812c5de5239040df00a8f63bd7304794,http://publications.europa.eu/resource/authority/country/DEU
DE00RRH,Rheinfelden (Baden),47.556905,7.784663,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/485350a0bacf2d3f713854fc42ef1624248f3813,http://publications.europa.eu/resource/authority/country/DEU
DE00STS,Temmels,49.68853,6.462485,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6576d0e2cb67e9c389bd398cbd19d1ffd11f1ac4,http://publications.europa.eu/resource/authority/country/DEU
DE00SBS,Besch,49.507237,6.372183,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f6fd72eff2a93be0c04c93a0fd54191667b0275,http://publications.europa.eu/resource/authority/country/DEU
DE00SPZ,Palzem,49.565489,6.370953,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a6cfa0d2dea377a3139d1e04c9c00c6c0440159,http://publications.europa.eu/resource/authority/country/DEU
