id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
EU00013,Hanweiler Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/761ed9e85f24c28d2518125e03c0027e9454a7c4,EU00013,Hanweiler Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fe573a42a7c48707d02f887210cb957d7f215ba4,0.0
EU00028,Lindau-Reutin Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/788bb50e5fc8ce150f4722be3d8b7ab70236c545,EU00028,Lindau-Reutin Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c2441865b1846f6479a226f992c2ff3a6f497eb,0.0
EU00047,Seifhennersdorf CZ,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7bc6b0787c5e0512c2007926b49233ea6b7b6b64,EU00047,Seifhennersdorf CZ,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bc61349e73d23457e3751e0802c92514a4a4381b,0.0
EU00056,Grambow Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7db44c2f3820010b19f7b65c0565815967896afa,EU00056,Grambow Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1290769056cebfcf253c09c1dd703e26a749bed5,0.0
EU00003,Gronau Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f0d2c0ad2891e3e1be74acfd3b82c8973a222a9,EU00003,Gronau Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ed7c37316e4298bae420734e2239bc5c4386e86,0.0
EU00048,Zittau Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f2ccad6989b2234857555f538370e3857b10b96,EU00048,Zittau Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c2ebb7a5a85a996e7feb464f766ef3b530d2053,0.0
EU00016,Kehl Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8fa8d6a3fed149db98de8bd14cc381312c452d51,EU00016,Kehl Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a957d507899af3cf70c26baf0b910943b21e963,0.0
EU00014,Kapsweyer Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/96b6712772099e4e5234e84449ca7a645717b130,EU00014,Kapsweyer Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a9011ece98ae65ed052b8831225e8c8677c8419,0.0
EU00038,Schirnding Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/978d22b29b38d1e48c9b526c78131bc34d92a403,EU00038,Schirnding Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36bc2753051ad0a94a800ae5561212b537210ea7,0.0
EU00057,Hirschfelde Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3c12fcbd241baafc73ae693d909328758abef17,EU00057,Hirschfelde Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/53079111728f970bc5085e48bd8f2385a8505ab9,0.0
EU00004,Emmerich Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a5228e13926b89156e376f9792995ebafadcda56,EU00004,Emmerich Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1f2655feafe826bdf50028fb6b25ae0e0337a59a,0.0
EU00041,Johanngeorgenstadt Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a731b0d51ba0589521fcb73ea1bfb72a8ed03741,EU00041,Johanngeorgenstadt Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2544749157812cf44122a7211d1f99a51b2202ad,0.0
EU00046,Großschönau (Sachs) Gr,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b1d8a8675223732ef9fa268a4d8fa225cbd6503c,EU00046,Großschönau (Sachs) Gr,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/637dfd593e7911dbcdfe7734f71fa4abe38dda98,0.0
EU00010,Perl Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b7d3d8d005e94b058191c9b448387b402adc101f,EU00010,Perl Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b7b27773e60791207ac0fba5bba8f26512473d2c,0.0
EU00055,Tantow Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b8a6fd6aa08e37ec3b40569ea7091a0fab3dd1b5,EU00055,Tantow Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/80d97432c228bcb5c9cc63c32a2dd4c5d0c6fd72,0.0
EU00027,Konstanz BW/CH 4322,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bcc191d1b7f45fbf87a2345539be84e6a895ac48,EU00027,Konstanz BW/CH 4322,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a97fcfd7b3ff0b13bfd20444873fd32ae843866e,0.0
DE00RBA,Basel Bad Rbf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f67ef5dfecfe09e06a620d7aaa632e69a179a4f,DE00RBA,Basel Bad Rbf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/59d036b113ba6f5f6b91ca063a6e89df4c48b821,0.0
DE00NRC,Bad Rodach,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2d992e08e061f10c27bffffbc13fa48dc38056ad,DE00NRC,Bad Rodach,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/77ff4b50c8c457063e637d63cbf9c07cd5982ace,0.0
DE00KDD,Düsseldorf-Derendorf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/022fdd28a10e884e0ff48cac244882ec3a6476aa,DE00KDD,Düsseldorf-Derendorf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/707ca63e8b64cddf9c69c32d207a2df4a053c411,0.0
DE00KBR,Brühl,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13d4640d55127cf122310bcb83370911bc65319e,DE00KBR,Brühl,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1b10cdb5f7a72065b73cf509c46c08676fc018a9,0.0
DE00HBR,Bremen Rbf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd554a863dfbff960f9a2cfcbfca0fccfdb4f560,DE00HBR,Bremen Rbf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c19e6e62c43bb77f3c0cf3726837e4839667f249,0.0
DE00EOS,Oberhausen-Osterfeld,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1950b4445cf004fccb9418917e4a0cc43b2286f3,DE00EOS,Oberhausen-Osterfeld,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c8859e7f6c91a566fc10defff61dd35fee8f63f6,0.0
DE00ALD,Lübeck-Dänischburg,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b2ca414588ed44b56e6a98026601bf32304b321b,DE00ALD,Lübeck-Dänischburg,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b56d3cfa46d2f7a8a66e953bd33040f549184c09,0.0
DE0ULIH,Lichtenhain a d Bergbahn,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cf1c86799ba471a90a7d0a39c704f9c6fec82d46,DE0ULIH,Lichtenhain a d Bergbahn,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a7b6346ff7578cd08970175b9ad90f0951153158,0.0
DE0UEBI,Erfurt-Bischleben,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/281e7f83207d15bad4a72078864b8a6f08ac7a99,DE0UEBI,Erfurt-Bischleben,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1480c97d7fe207e90ed367d371a25217ce8e55fc,0.0
