osm_id,name,type,ref,lat,lon
node/398761,Maxmonument,stop,,48.1376614,11.5878234
node/10806774,Westheim,stop,3,48.3861149,10.818374
node/10854943,Gersthofen,stop,1,48.4232363,10.8612581
node/10862265,Augsburg Haunstetterstraße,stop,4,48.3550346,10.9011993
node/10862291,Augsburg Morellstraße,stop,1,48.3552198,10.8931355
node/10862294,Augsburg Morellstraße,station,MAMS,48.355178,10.8930876
node/10862313,Augsburg Messe,stop,1,48.3392419,10.8864658
node/11067142,Klosterlechfeld,stop,2,48.1553593,10.8326258
node/11067147,Bobingen,stop,2,48.2665712,10.8379966
node/11067162,Oberottmarshausen,stop,,48.2359716,10.851679
node/11216751,Augsburg-Hochzoll,stop,4,48.3526923,10.9431056
node/11216782,Mering-Sankt Afra,stop,4,48.2743002,10.9710982
node/11218417,Mammendorf,stop,3,48.2169929,11.1761211
node/11218960,Hackerbrücke,stop,2,48.1420273,11.5485943
node/11298360,"Egling, Gleis 1",stop,1,48.1908184,10.9764023
node/11298382,Walleshausen,station,MWHN,48.1502283,10.9810455
node/11298473,Schmiechen,stop,MSCN,48.2132288,10.97787
node/11298518,Weilheim (Oberbayern),station,1,47.8452213,11.1430287
node/11298551,Raisting,halt,MRAG,47.9116453,11.1144728
node/11305390,Gessertshausen,stop,,48.333704,10.7316783
node/11305402,Markt Wald,station,,48.1467398,10.5939468
node/11305487,Wollmetshofen,stop,,48.2844516,10.6236443
node/11305526,Langenneufnach,station,,48.2640954,10.607113
node/11305593,Mittelneufnach,station,,48.1762316,10.5980597
node/11305608,Walkertshofen,station,,48.2271244,10.5912509
node/11305646,Reichertshofen (Schwab),station,,48.1984788,10.5981748
node/11420196,Freihalden,halt,MFHD,48.3844694,10.5025
node/13568152,Westkreuz,stop,1,48.1490102,11.4437954
node/13568161,Planegg,stop,1,48.1055203,11.4135925
node/13622065,Kempten (Allgäu) Hbf,stop,2,47.7118597,10.3175005
node/13624179,Günzach,station,MGNZ,47.819606,10.4390919
node/13668291,Biessenhofen,stop,MBIH,47.8297964,10.6404415
