start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7721d198e2aaab1074e4e71435220117391eaa2e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/119881c365cc789e6a9d76255341406188c6109d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/37fe7ce15ca6974330f27b4f473dd24b0762b9f0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fa1cf2b223004fc6f60d1a3090d5f0f95b862836
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c3ddaf904a4f78ad6851a7127099aaaf4ee3b56,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dd8320db7c140786b8798572f26325f938576a9a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81c09005dcbe24fae73479182429ff923963f61c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb06a94cfa6bd6396942a01ffb8a374cc633c28a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7c03ce0bc1f512a39ec20b312b8cbb751339ea23,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/37fe7ce15ca6974330f27b4f473dd24b0762b9f0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cede2fef47dfc60dfba90e73dc4cee212e4ce4c9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6fd5b30c6c8de926fa679e86c5075fceb36b126b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/309daed766187acfc785a60603e44cc0468a5942,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ef426d5aaacadaf798adf751aabdec6e9bd9eeb1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9fa24a000bf6ddd6d727bc01dc6e9ff9a154254b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9d37f34d07b54451e73543ffe80b1714e909d85c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f160bfa25e0aec289c61cc94348d8c35179480e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a68a4162b0aaebb5bdb85beb9c8dc14f7a47f75
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6b9714b5deb011d55585d4cbc1b6d91243821cdd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d80f0c7b9100aa150973ff71715cd47c4e782ea3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d1007c8018a7eed91fc07b694e159001578fd60b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c3b2b0ce5da57baeb021e268cc6851461b1245b6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9d37f34d07b54451e73543ffe80b1714e909d85c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5dc716e71bf7d6c96b3311231e2f8848639cbae2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7721d198e2aaab1074e4e71435220117391eaa2e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/230c6930a4c0493664b934f2250526b317b26f98
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1baf80253db04ddc8890b1f0a4b603fb359dd39a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f60b57f92579f895a9e1abbb0a197ec3f4ab5f4c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0bcd820ae5ca4311628baaf8f52232a859f83804,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c326dfd348208d934fd1081d7836f286d6fd7da
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/030dd0aa08c588218bbb9dee878b68f91593fda7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/01f4f183357aac3abfe1a081a0702f935fbf6259
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5eff716db94335c8d3f9e97a39b06d85b3a3b3f2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ac2b145dffec08a1ab93d4f0c31b84e6d66a7cc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d843343611cf3e65b023ff3bfcec7a0404b6185e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/49666d994e5a34111941d2df8eeb12e4dfdc0153
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/263fa58ee196f7a5f45e97a945d00a050bd34346,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3f1ec9bc9ea7b14bff865c33d521ee2e40179a8c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0af6309dfe9aaa0c6e8979394e7d79b3cdbe8c70,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/580b8f5574992c13424579b8aa2100c6f465c207
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4bbc2ea82f0c4612fec5a40cc3d78e35e6bbca35,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a51bb42f1b70bceb44316b11e45c24f8d140df3e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bbd99bb6d91530ab90bd2a5f6dd75780aadcf80e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3ccf9c6a3c5b271ae10e466912dd849bbb0fb5bc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b1775b8cc9d7451d470ca9cabd5a231d8ed35e5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7082fe21878b8397444564c9a500282b735bd081
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/41e150865f539adc9b38c7f92ab6d03b4aa9c18d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38404338ebbeb0a4899df97d05541a040d090cbe
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/76e718197ddc7836b902f92a8779311d91912c6d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d843343611cf3e65b023ff3bfcec7a0404b6185e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/712903fdb74bb48ae8f166c3f4256b67d8f611e9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/afd784b2376830a62c239e23db3cd18d91a5af76
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1611ecfbd743b0c39c5c72521e83202d0a184cf8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/29abecd733a603eef63d9aa3554ad7c8bed48e59
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b1775b8cc9d7451d470ca9cabd5a231d8ed35e5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ed6d23ddbfab6511680cd9cba812fa9c9981999
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ce3a51ed5ce68d25d3717a105f32fe74cc983b72,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9cef78d6bea255eec1e7e34e054c8b1488863fa7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/230c6930a4c0493664b934f2250526b317b26f98,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/663a2cdec8c0daf8c4faa52cc5ccbca34b96c3bd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/700ae8bd3d6e6f1d7f86663857b365f5d6fd477c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6c2f8b3fbd01c1de6ebce599372be75454ff0687
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7721d198e2aaab1074e4e71435220117391eaa2e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee9ef68fc16a15f73c87c9864b9b1dea54fef2f4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6efe21687c8738ff2fddd23bf53c381c8a23ef05,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7be6c1bdb2a669bacdacf4cd6c37cd0585bae1bc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38404338ebbeb0a4899df97d05541a040d090cbe,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6b9714b5deb011d55585d4cbc1b6d91243821cdd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f661326dd85349823878204465b97b7353f223a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ba5f37040422b7eae0d87c8777cabf2315fd2885
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8c4520502fbb9d240236f42fe3635236cc7f8cb4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b00df7d1f3ca808fcff65551d195aa852a83481
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb06a94cfa6bd6396942a01ffb8a374cc633c28a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ec93322968e2086d8c429c962d11075ef03bd69
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c809fca31b172a59282236016301db3f5ca3382,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1164500ea79da295195d80ba51620d87426261d5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5dc716e71bf7d6c96b3311231e2f8848639cbae2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f160bfa25e0aec289c61cc94348d8c35179480e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/01f4f183357aac3abfe1a081a0702f935fbf6259,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19cf49ac3e2ffb560bce22c30d4d8581f513edfd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b7f482e9a7835167482d2232a22bdfdaf2e01d0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf79b98b56be125ff350deb099addf818947e59a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fea1134a754e6be00195eae0229651fc65881ff2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/64990197b36f1d7ebb55c07a50278928f2f506a0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9d37f34d07b54451e73543ffe80b1714e909d85c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/df2c0452c1ba69d6800d3db553481d4bfa0a3a0c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ba0e122407bb3c25daeb30b19c68f785c0939837,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6efe21687c8738ff2fddd23bf53c381c8a23ef05
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/843f617b872d6c8fa6ae9bda6251db30a9714556,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d713efd2d9f39118bfdea0baaa2eec685fbc8ed2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/90841186cecfed2994e9d2050df1b91f7aa0b37f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36947b2d8eea7f45a89e9ea4819c6ce22d9bb2fc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a14e03504b10aec8563d389283b4ccaa9945cebf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f661326dd85349823878204465b97b7353f223a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d713efd2d9f39118bfdea0baaa2eec685fbc8ed2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/16bb47a2d93d8200b2829815ee844865c8fda7ce
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/10e4010b863d097ab304e75e2eaf00206fe81246,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1940be6e3f6e0c5188d0a25e1eb3de17ecf1eab7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6c2f8b3fbd01c1de6ebce599372be75454ff0687,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4bbc2ea82f0c4612fec5a40cc3d78e35e6bbca35
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d5883dd7423ef7aa61bda386f75e937e62f4a758,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ea8138e8e1d0401c2ff59827e9e6b35d8b34376a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/97df756c8157433abb4f08a84b43f97b65a930c4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1611ecfbd743b0c39c5c72521e83202d0a184cf8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf5c13c573a9d8e43d041b84193a8e6ad68af174,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e7fa154bf8f18dd48085280d232fa69d0fe8fddb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/241ab63571c7fe0227bb412f252f94834202e1e0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6a5f8bd96e39df74a6d96ea4273efbf4a6b485d2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a68a4162b0aaebb5bdb85beb9c8dc14f7a47f75,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/496f6acc65f417141b73693de34b3b7bec2e4710
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ec93322968e2086d8c429c962d11075ef03bd69,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ace5427b18aec5558d9e2d0936af343cf9c5001
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2decbb321443756be482f59d63320401264cdbd1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/934bc35183c6413b1059bc2f25f20c6e16d260a0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0edc47e4c56fca0b84a767cd4516a3f583df820f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f5eb1ff7d2a187a2cea5b71d92cecdc2d4ab436
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7865f0878a6c7ed2221dae6cbaf4768dbc89d753,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b516b4a60d0675131442dc3b4d7ca28b2c83c26
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/934bc35183c6413b1059bc2f25f20c6e16d260a0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/97df756c8157433abb4f08a84b43f97b65a930c4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9cef78d6bea255eec1e7e34e054c8b1488863fa7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/732a07511ca8759f32ee70c6993cb63f65e08a5a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1531377a07f89711d15343aefa35ae58b02007b0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e0368aa31add8c221b1402a4060368f8521a9adc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dd8320db7c140786b8798572f26325f938576a9a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fea1134a754e6be00195eae0229651fc65881ff2
