id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EL01010,PIREAS,37.9492,23.6428,85,2.8,True,True,
EL01030,AG.IOANNIS,37.962,23.6664,46,7.2,True,True,
EL01050,ROUF,37.9723,23.7024,27,4.9,True,True,
EL01070,ATHINA,37.9926,23.7206,41,28.9,True,True,
EL01090,AGHII ANARGYRI,38.0218,23.7184,20,6.7,True,True,
EL01110,KATO ACHARNE,38.0539,23.7325,9,6.8,True,True,
EL01130,SKA,38.066,23.7368,63,3.9,True,True,
EL01150,ACHARNE,38.0803,23.7439,25,6.6,True,True,
EL01170,DEKELEIA,38.0995,23.7797,9,45.6,True,True,
EL01190,AFIDNAI,38.1877,23.8445,16,37.1,True,True,
EL01210,AVLON,38.25,23.6958,7,59.7,True,True,
EL01230,INOI,38.3222,23.6096,12,8.0,True,True,
EL01250,ELEON,38.3726,23.4712,6,2.6,True,True,
EL01270,YPATON,38.3676,23.3828,6,79.3,True,True,
EL01290,THIVE,38.3298,23.3187,21,29.9,True,True,
EL01310,ALIARTOS,38.3793,23.1117,7,8.5,True,True,
EL01330,LEVADIA,38.4709,22.9269,10,14.7,True,True,
EL01350,DAVLIA,38.5343,22.8122,5,126.1,False,True,
EL01370,TITHOREA,38.6081,22.718,10,17.3,True,True,
EL01390,MOLOS,38.8122,22.6574,11,7.2,True,True,
EL01410,LIANOKLADION,38.8906,22.3732,36,10.5,True,True,
EL01490,DOMOKOS,39.18,22.2865,23,1.0,True,True,
EL01510,PALEOPHARSALOS,39.3129,22.2436,22,42.6,True,True,
EL01530,DOXARAS,39.4646,22.2822,2,1879.0,False,True,
EL01550,KRANON,39.5117,22.3347,9,40.1,True,True,
EL01570,MEZOURLO,39.6185,22.4075,14,13.8,True,True,
EL01590,LARISSA,39.6429,22.4228,0,,False,,
EL01610,EVANGELISMOS,39.8252,22.5155,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
EL01630,NEOI POROI,39.976,22.6384,14,4.3,True,True,
EL01650,LEPTOKARIA,40.0586,22.5656,9,3.7,True,True,
EL01670,LITOCHORON,40.1249,22.5502,14,4.5,True,True,
EL01690,KATERINI,40.2694,22.5317,14,11.4,True,True,
