osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/4927030353,,stop,,40.6689418,22.8856221,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee9ef68fc16a15f73c87c9864b9b1dea54fef2f4,EL22030,THESSALONIKI TRIAGE,200.3
node/987485685,Ρουφ,station,,37.973633,23.7039652,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb06a94cfa6bd6396942a01ffb8a374cc633c28a,EL01050,ROUF,202.0
node/2148529036,Ρουφ,stop,2,37.9736618,23.7039247,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb06a94cfa6bd6396942a01ffb8a374cc633c28a,EL01050,ROUF,202.0
node/2148529035,Ρουφ,stop,1,37.9736019,23.7040087,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb06a94cfa6bd6396942a01ffb8a374cc633c28a,EL01050,ROUF,202.1
node/9852975734,Βελεστίνο,stop,,39.3911624,22.7589048,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d38d3e6cfbaec9c436f2b2ed7e6404077a64961a,EL13110,VELESTINON,202.3
node/9655078548,Ρουφ,stop,0,37.9735695,23.7040561,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb06a94cfa6bd6396942a01ffb8a374cc633c28a,EL01050,ROUF,202.5
node/2291048573,Βελεστίνο,station,,39.391218,22.7589724,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d38d3e6cfbaec9c436f2b2ed7e6404077a64961a,EL13110,VELESTINON,202.6
node/287460889,Βελεστίνο,stop,,39.3912406,22.7589981,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d38d3e6cfbaec9c436f2b2ed7e6404077a64961a,EL13110,VELESTINON,202.9
node/9643537164,Βελεστίνο,stop,,39.3912656,22.7590338,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d38d3e6cfbaec9c436f2b2ed7e6404077a64961a,EL13110,VELESTINON,202.9
node/4927030354,,stop,,40.6688217,22.8855619,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee9ef68fc16a15f73c87c9864b9b1dea54fef2f4,EL22030,THESSALONIKI TRIAGE,204.5
node/2514115202,Πολύσιτος,halt,,41.111542,25.0233991,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5c8a2d6c9416dd08e43eb08fe055e0694a56e589,EL25630,POLYSITON,226.2
