id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
HU5544230,Záhony (sz.),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/05ca3cb8141acdd0462e741e1263e430003ef15c,HU5514175,Záhony,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c4f9938945868740f74f8fd42b488a34356af843,0.6
HU5544214,Tuzsér (sz.),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b38612456dc3cd6f4c33016a5af9d5ed3f8f923a,HU5514159,Tuzsér,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/053d2f65db3c8d10a367e71ef409e5a8c76f285c,2.3
HU5544254,Eperjeske-Rendező elágazás (sz.),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e1e2c5fef3b2c191a83cb8bef7cd09f87b083fe7,HU5500562,Eperjeske-Rendező vágányfonódás-elágazás,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/83b9e25f1bfd47a1ccc1cfd13862789a154c8c0d,12.1
HU5544248,Eperjeske elágazás (sz.),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1dda94ceda1f2829520db30830cdf0fb1105a305,HU5500547,Eperjeske vágányfonódás-elágazás,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a946528367d67d161b668446c0a612d2d31e7054,15.9
HU5548009,Győr-GYSEV nyugati elágazás,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13227183047764e0380a06742e11c9fd2409f35e,HU5548512,Győr-GYSEV nyugati elágazás,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c4342f827129163200a6d105dfba2fb2714db945,16.2
HU5547761,Komoró-Fatároló ipvk.,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b9e7647b5a8216258958f05954c71f3db3073374,HU5515201,K1 SZ/N átszelés,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/037671919f6386afbe485fac99ddd1f052601705,32.5
HU5541530,Kőbánya ipvk. (Hidvégardó),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6a4c03e9c4f1ced2f1aeca14801c0e7c244f20af,HU5508821,Hidvégardó oh.,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d8729ba72169e7d43efcca7b5ed704c34aa049b,40.1
HU5518800,"Hódmezővásárhely, Népkert vasútállomás",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d7ba887aa6151f3878ff26ea19413b73795e749c,HU5518564,Hódmezővásárhelyi Népkert,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d9d0a077519d3ab476e973660023ec337c5dd178,41.8
HU5544271,Tornyospálca-Átrakó (sz.),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/10112f69233bef0ce6f46d1177d92ec857c9ef7f,HU5542382,Tornyospálca-Átrakó rh.,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dcee330e09f615c05bb9a536f99479e3d44471d2,44.0
HU5515205,K5 SZ/N átszelés,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cdec7885e37b078befe68e5f3bbadaf621cf21ac,HU5500562,Eperjeske-Rendező vágányfonódás-elágazás,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/83b9e25f1bfd47a1ccc1cfd13862789a154c8c0d,48.6
