osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/3327421428,Monorierdő,stop,,47.3099202,19.4980606,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7082a67906be0ed95a6c35cee4c4177fadbf3272,HU5541277,Monorierdő mh.,200.9
node/7792439506,Aquincum,halt,,47.5662901,19.0472339,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b55d06cf9d35e4e490dd107839842d9284b13185,HU5540253,Aquincum (Óbuda) m-elág.,201.7
node/529608807,Budapest-Kelenföld,stop,,47.4639779,19.02114,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dc8396a886c89e5d340914ade6e52f8a4b03c425,HU5501024,Budapest-Kelenföld,201.8
node/8403194287,Budapest-Nyugati,stop,11,47.5115624,19.0587807,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c98457afef879990eab795ea28346b285762740,HU5510033,Budapest-Nyugati,202.0
node/1774442893,Budapest-Nyugati,stop,14,47.511329,19.0590987,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c98457afef879990eab795ea28346b285762740,HU5510033,Budapest-Nyugati,203.2
node/1789760264,Budapest-Nyugati,stop,15,47.5112966,19.0591391,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c98457afef879990eab795ea28346b285762740,HU5510033,Budapest-Nyugati,204.0
node/272106040,Budapest-Nyugati,stop,16,47.5112623,19.0591818,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c98457afef879990eab795ea28346b285762740,HU5510033,Budapest-Nyugati,205.0
node/1435581052,Kismaros,stop,,47.827571,19.013343,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b0adfcb7fe0383b0ca4fb5b107b286ef6d0bb10c,HU5510462,Kismaros mh.,207.0
node/1435581054,Kismaros,stop,,47.8276034,19.0133892,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b0adfcb7fe0383b0ca4fb5b107b286ef6d0bb10c,HU5510462,Kismaros mh.,211.2
node/30082680,Rákoshegy,stop,,47.4692713,19.2423087,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/637c481f8de1bee91d57bca31a59169557ef6209,HU5511528,Rákoshegy,211.4
node/371157928,Szabadifürdő,stop,,46.9235756,18.0981265,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b0ef8b494a4936002e0979a50c7c20da325c04cf,HU5503343,Szabadifürdő mh. (Siófok - Teher),211.5
node/2183301376,Déli pályaudvar,stop,,47.5012027,19.0246151,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a171952a0af1bd93fb0c5e21421342675cd20ef5,HU5501016,Budapest-Déli,213.0
node/3543646138,Győrszentiván,stop,,47.6882237,17.7432122,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/76e3f72d9b8f16b4c1caf78f1f3fa9c7b2c9ac61,HU5501255,Győrszentiván,214.7
node/9323345408,Kismaros,station,,47.8277365,19.0134108,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b0adfcb7fe0383b0ca4fb5b107b286ef6d0bb10c,HU5510462,Kismaros mh.,216.6
node/60964559,Budatétény,stop,,47.4060109,19.0189954,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f9323685ddab88aef774f09accad8386518f0c26,HU5540543,Budatétény mh.,221.5
node/1779756594,,stop,,47.1185098,17.9086084,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9b77473466f6e6760fb2ddd1ef9bc5ba76afabb1,HU5503947,Veszprém,226.0
node/6256721987,Aszód,stop,,47.6468174,19.4950238,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/626a373da1046ee2aee27c684735c27f93af53e8,HU5511163,Aszód,226.6
node/2001585109,Felsőgöd,stop,,47.7073969,19.1446656,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bc9182a8925bc55c47ecd844f451d0b3c7ff6205,HU5510421,Felsőgöd mh.,226.6
node/2153434323,Hétvezér utca,halt,,47.5297954,21.6591394,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6efed2f81ac442bc6eed963b63159c0f567fc887,HU5515123,Debrecen-Szabadságtelep mh.,226.8
node/6517110141,Aszód,stop,,47.6467315,19.4949758,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/626a373da1046ee2aee27c684735c27f93af53e8,HU5511163,Aszód,228.9
node/3138975872,Keleti pályaudvar,stop,,47.5000068,19.0807974,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8dcf3ab94b1a11cf4476dfecdd50464e74445c73,HU5510017,Budapest-Keleti,232.1
node/262201568,Aquincum,stop,,47.5679299,19.0486448,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b55d06cf9d35e4e490dd107839842d9284b13185,HU5540253,Aquincum (Óbuda) m-elág.,237.1
node/9948313248,Aquincum,stop,,47.56792,19.0485856,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b55d06cf9d35e4e490dd107839842d9284b13185,HU5540253,Aquincum (Óbuda) m-elág.,237.9
node/1789760272,Budapest-Nyugati,stop,9,47.5114485,19.0582828,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c98457afef879990eab795ea28346b285762740,HU5510033,Budapest-Nyugati,239.3
node/529608740,Budapest-Kelenföld,stop,,47.4635213,19.0211328,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dc8396a886c89e5d340914ade6e52f8a4b03c425,HU5501024,Budapest-Kelenföld,239.6
node/1789760283,Budapest-Nyugati,stop,8,47.511482,19.0582414,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c98457afef879990eab795ea28346b285762740,HU5510033,Budapest-Nyugati,239.7
node/7208863374,Nagykáta,station,NK,47.4109744,19.734901,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/663b8e9ebb55645cbd8d4a2f6ed1e64e9cc061d0,HU5511643,Nagykáta,239.8
node/1789760275,Budapest-Nyugati,stop,7,47.5115511,19.0581563,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c98457afef879990eab795ea28346b285762740,HU5510033,Budapest-Nyugati,240.7
