osm_id,name,type,ref,lat,lon
node/661448,Killester,stop,,53.3727894,-6.2049888
node/661999,Glenageary,stop,,53.2812258,-6.1231165
node/662088,Booterstown,stop,,53.3099819,-6.1952223
node/4222105,Leixlip Louisa Bridge,stop,,53.3706378,-6.5058696
node/21522430,Banteer,station,BTEER,52.1289412,-8.8990867
node/21522841,Millstreet,station,MLSRT,52.077397,-9.070116
node/21540238,Sallins and Naas,station,SALNS,53.2467871,-6.6648675
node/26191224,Connolly Station,stop,,53.3526804,-6.2475985
node/52824210,Seapoint,stop,,53.2991532,-6.1652438
node/52839540,Blackrock,stop,1,53.3028343,-6.1787191
node/97230010,Sydney Parade,stop,,53.3207861,-6.2115698
node/126190360,Tullamore,stop,2,53.2710719,-7.5009661
node/131997845,Hazelhatch & Celbridge,stop,2,53.3214279,-6.5250083
node/147353992,Rush & Lusk,stop,,53.5202201,-6.1439702
node/224005710,Clontarf Road,stop,CTARF,53.3628154,-6.2276058
node/224005724,Harmonstown,stop,,53.3783186,-6.1925665
node/224005732,Raheny,stop,,53.3816141,-6.1761822
node/224019237,Howth,stop,,53.3891244,-6.074364
node/242368165,Coolmine,stop,,53.377721,-6.3905707
node/246001181,Docklands,stop,,53.3510146,-6.2394548
node/252818550,Athy,stop,1,52.9924407,-6.9765716
node/252819378,Kildare,station,KDARE,53.1628057,-6.9080483
node/252821911,Adamstown,station,ADMTN,53.3360017,-6.4692321
node/254506816,Newbridge,station,NBRGE,53.1854062,-6.8083141
node/256522447,Shankill,stop,,53.2366975,-6.1170683
node/262318894,Monasterevin,station,MONVN,53.1454804,-7.0637543
node/268486769,Castlebar,station,CLBAR,53.8473852,-9.2881409
node/268486847,Manulla Junction,station,MNLAJ,53.8277751,-9.1924966
node/277617459,Wexford O'Hanrahan,station,WXFRD,52.3432029,-6.464207
node/280883969,Ennis,station,ENNIS,52.8391561,-8.9753026
node/281197288,Park West and Cherry Orchard,station,CHORC,53.3340346,-6.3786386
node/288908798,Galway Ceannt,stop,2,53.2730009,-9.0449913
node/290440267,Drogheda MacBride,station,DGHDA,53.7120167,-6.3356412
node/290462764,Laytown,stop,,53.6794917,-6.2427491
node/306130653,Kilkenny MacDonagh,stop,1,52.6544506,-7.2435916
node/306202271,Enniscorthy,station,ECRTY,52.5044351,-6.5662164
node/306211966,Rathdrum,station,RDRUM,52.930477,-6.2261035
node/306234311,Wicklow,station,WLOW,52.9881548,-6.0525889
node/306234312,Arklow,station,ARKLW,52.7939226,-6.1597075
node/306234776,Gorey,station,GOREY,52.6712171,-6.2920098
node/310182680,Clondalkin & Fonthill,station,CLDKN,53.3333505,-6.4063997
node/339007130,Fota,station,FOTA,51.8962733,-8.3180748
node/339010879,Rushbrooke,station,RBROK,51.8495957,-8.3226862
node/339010895,Glounthaune,station,GHANE,51.9112899,-8.3251115
node/339010983,Littleisland,station,LSLND,51.9075915,-8.3552018
node/354050180,Birdhill,station,BHILL,52.7656558,-8.4422851
node/389853714,Kilmeadan,station,,52.2467855,-7.2472989
node/441234698,Broombridge,stop,,53.3725504,-6.2983273
node/467765442,Carrigtwohill,station,CGTWL,51.9162701,-8.2633684
node/568520848,Balbriggan,stop,,53.6118691,-6.1823499
node/604061102,Connolly Station,stop,,53.3527663,-6.2478764
node/609315049,Maynooth,stop,,53.3779673,-6.5905264
node/614228238,Maynooth,stop,,53.3779962,-6.5905447
node/614241268,Hansfield,station,HAFLD,53.3870051,-6.4420549
node/614242241,Clonsilla,stop,,53.3829669,-6.4232163
node/616201547,Ashtown,stop,,53.3753734,-6.3323338
node/616212574,Connolly Station,stop,,53.3526988,-6.2476852
node/644710526,Lansdowne Road,stop,,53.3339473,-6.22897
node/703147677,Carlow,stop,,52.8410497,-6.922273
node/745762019,Muine Bheag,stop,,52.6990072,-6.952458
node/827777186,Kishoge,station,KISHO,53.3344333,-6.4302177
node/906821850,Leixlip Confey,stop,LXCON,53.3742425,-6.4863206
node/906821862,Leixlip Confey,stop,LXCON,53.3741607,-6.4852723
node/906827276,Castleknock,stop,,53.3814482,-6.3720349
node/907116924,Rathmore,station,RMORE,52.0852498,-9.2179688
node/986843592,Thomastown,stop,,52.5230472,-7.1489118
node/1165425312,Kilkenny MacDonagh,stop,2,52.654471,-7.2435683
node/1317135921,Westport,station,WPORT,53.7961425,-9.5100554
node/1353952886,Foxford,station,FXFRD,53.9828647,-9.1364385
node/1411222285,Killiney,stop,,53.2553871,-6.1130662
node/1415190101,Farranfore,station,FFORE,52.1737762,-9.5520783
node/1415548181,Carrigaloe,station,CGLOE,51.8688822,-8.3243671
node/1446941609,Roscrea,station,RCREA,52.9607457,-7.7943455
node/1498432272,Ardrahan,station,ARHAN,53.1572548,-8.8146608
node/1524124078,Carrick-on-Suir,station,CKOSR,52.3490526,-7.4045607
node/1524148180,Clonmel,stop,,52.3611009,-7.6991779
node/1609105403,Clara,stop,,53.3396843,-7.6156776
node/1660892256,Oranmore,stop,1,53.2753425,-8.948382
node/1777118650,Gort,station,GORT,53.0671685,-8.8141817
node/1858006806,Fintown Railway,station,,54.8674276,-8.1190743
node/1946799281,Coolmine,stop,,53.3776393,-6.3909662
node/2038990742,Manulla Junction,stop,MNLAJ,53.8279434,-9.1927207
node/2133707505,Clonmel,stop,,52.3610689,-7.6991816
node/2228871161,Rathmore,stop,2,52.0853652,-9.2176023
node/2293379916,Listowel,stop,,52.4496753,-9.490858
node/2359046743,Sixmilebridge,station,SXMBR,52.7380977,-8.7857729
node/2390150255,Marlay Park,halt,,53.273377,-6.2744997
node/2420790215,Cloughjordan,station,CJRDN,52.9364166,-8.024487
node/2516797774,Westport,stop,1,53.7957988,-9.509377
node/2561935263,Hansfield,stop,,53.3867415,-6.4410952
node/2594536431,Dublin Connolly,stop,,53.352379,-6.2471941
node/2611502527,Adamstown,stop,,53.3358835,-6.4650482
node/2625393079,Portarlington,stop,PTRTN,53.146063,-7.1797033
node/2697052587,Cahir,station,CAHIR,52.3779467,-7.922583
node/2721652053,Bray Daly,stop,,53.2043059,-6.1004278
node/2733541983,Kildare,stop,1,53.1628569,-6.908256
node/2733569826,Kildare,stop,2,53.1627782,-6.9091434
node/2739138823,Newbridge,stop,3,53.1861748,-6.8070498
node/2739423144,Sallins and Naas,stop,1,53.2469786,-6.6643265
node/2756566300,Killester,stop,,53.3727669,-6.2049686
node/2756844301,Harmonstown,stop,,53.3782875,-6.1925416
node/2756844339,Raheny,stop,,53.3815843,-6.1761705
node/2829159704,Craughwell,station,CRGHW,53.2251309,-8.7358299
node/2926144331,Howth,stop,,53.3890966,-6.0743726
node/3010372440,Castleconnell,station,CCONL,52.7130568,-8.4979284
node/3032552581,Killiney,stop,,53.2553858,-6.1130163
node/3051527215,Rosslare Strand,station,58,52.2718383,-6.3915222
node/3106031146,Charleville,station,CVILL,52.3472276,-8.6535787
node/3106107177,Ballybrophy,station,BBRHY,52.9001559,-7.6025345
node/3106107179,Limerick Junction,stop,,52.5009499,-8.1997738
node/3106107180,Mallow,station,MLLOW,52.138912,-8.6551101
node/3106107185,Templemore,station,TPMOR,52.7879147,-7.8224599
node/3108271781,Mallow,stop,1,52.1393648,-8.6553107
node/3108271789,Mallow,stop,2,52.139364,-8.6553576
node/3110915666,Cork Kent,stop,3,51.9016871,-8.4568789
node/3110915700,Cork Kent,stop,2,51.9017156,-8.4568964
node/3110915711,Cork Kent,stop,5b,51.9015097,-8.4587683
node/3110915722,Cork Kent,stop,1,51.9017511,-8.4571273
node/3177390706,Salthill and Monkstown,stop,,53.2953918,-6.1525809
node/3177390721,Salthill and Monkstown,stop,,53.2954279,-6.1525536
node/3177390741,Seapoint,stop,,53.2991781,-6.1652046
node/3177396829,Lansdowne Road,stop,,53.3339457,-6.2289043
node/3254611862,Castleknock,stop,,53.3816127,-6.3708164
node/3258770422,Westport,stop,2,53.7959646,-9.5099173
node/3281186458,Shankill,stop,,53.2367002,-6.11702
node/3294522776,Banteer,stop,BTEER,52.1288552,-8.8991084
node/3294541080,Farranfore,stop,FFORE,52.1735895,-9.552745
node/3307721254,Killarney,station,KLRNY,52.0591548,-9.5023187
node/3363182012,Tara Street,stop,,53.3471244,-6.2543372
node/3402132490,Dundalk Clarke,station,DDALK,54.0011329,-6.4125117
node/3455631473,Clongriffin,stop,,53.4024759,-6.1489751
node/3456151232,Tara Street,stop,,53.3471318,-6.2542816
node/3556756605,Dublin Pearse,stop,,53.3433603,-6.2484727
node/3556756607,Dublin Pearse,stop,,53.3433279,-6.2484997
node/3578164703,Navan Road Parkway,stop,,53.3776575,-6.3456943
node/3580458705,Leixlip Louisa Bridge,stop,,53.3698897,-6.5068744
node/3586556482,Bray Daly,stop,,53.2045193,-6.1006849
node/3594093609,Ashtown,stop,,53.3754676,-6.3303733
node/3622824746,Midleton,station,MDLTN,51.9211201,-8.1757367
node/3627809171,Dublin Heuston,stop,4,53.3464127,-6.2940176
node/3627845010,Portlaoise,station,PTLSE,53.0370118,-7.3013145
node/3632162138,Dublin Connolly,stop,,53.3516734,-6.2489733
node/3634465086,Waterford Plunkett,stop,5,52.2665725,-7.1187092
node/3634954890,Nenagh,station,NNAGH,52.8604857,-8.1950513
node/3634964971,Galway Ceannt,stop,1,53.2735892,-9.0471237
node/3640069842,Thurles,station,THRLS,52.6766937,-7.8219058
node/3647751526,Limerick Colbert,stop,,52.6586842,-8.6242072
node/3658872050,Dublin Heuston,stop,8,53.3463989,-6.2977605
node/3739082904,Clonsilla,stop,,53.3836428,-6.4261281
node/3739127458,Docklands,stop,,53.3510218,-6.2392879
node/3754477518,Clontarf Road,stop,CTARF,53.3627885,-6.2275629
node/3754598674,Gormanston,stop,,53.6378308,-6.217075
node/3760590275,Tralee Casement,station,TRLEE,52.2710228,-9.6991554
node/3822088768,Oakfield Park,station,,54.8764951,-7.5746376
node/3841573179,JFK Memorial Park Miniature Railway,station,,52.3129727,-6.9393741
node/3841631444,Leisureland Express,station,,53.2584349,-9.0833257
node/3856374584,Dundalk Clarke,stop,DDALK,54.0020391,-6.4126803
node/3856374585,Dundalk Clarke,stop,DDALK,54.0020453,-6.4130171
node/3908808660,Tipperary,station,TIPRY,52.4701647,-8.1616123
node/3969284038,Littleisland,stop,1,51.9077573,-8.3547505
node/3969285285,Glounthaune,stop,1,51.911237,-8.3251293
node/3969313815,Rushbrooke,stop,1,51.8492777,-8.3218372
node/3969371847,Cobh,station,COBH,51.8488366,-8.3002528
node/4109805560,Leixlip Confey,station,LXCON,53.3742004,-6.4858156
node/4178209113,Tramore Miniature Railway,station,,52.1599527,-7.1448487
node/4684434524,Clongriffin,stop,,53.4025484,-6.1492031
node/4684434525,Grand Canal Dock,stop,1,53.3396381,-6.2380484
node/4684434526,Grand Canal Dock,stop,2,53.3396951,-6.2379642
node/4684434527,Grand Canal Dock,stop,3,53.3397186,-6.237928
node/4684434529,Glenageary,stop,,53.2812499,-6.1230954
node/4684434530,Blackrock,stop,,53.3028628,-6.1786869
node/4684434531,Sandymount,stop,,53.3278824,-6.2210217
node/4684434532,Sandymount,stop,,53.3278978,-6.2209781
node/4684434533,Sydney Parade,stop,,53.3208037,-6.2115253
node/4684434534,Booterstown,stop,,53.310004,-6.1951817
node/4866103534,Clongriffin,stop,,53.4024809,-6.1490173
node/5045077167,Westport House,station,,53.80138,-9.5370959
node/5294708592,Cork Kent,stop,4,51.9015353,-8.4587693
node/5355217228,Clonmel,station,CLMEL,52.3610817,-7.6991241
node/5355226792,Cork Kent,station,CORK,51.9016314,-8.4582173
node/5403839993,Bray Daly,station,BRAY,53.2044148,-6.1005613
node/5403851242,Clongriffin,station,GRGRD,53.4026996,-6.1489491
node/5403851296,Clontarf Road,station,CTARF,53.3630675,-6.2268626
node/5403871877,Docklands,station,DCKLS,53.3506697,-6.239326
node/5403904825,Harmonstown,station,HTOWN,53.3783621,-6.1924014
node/5462430068,Muine Bheag,stop,,52.6985205,-6.9535464
node/5519210321,Raheny,station,RAHNY,53.3816065,-6.1761274
node/5519218141,Howth,station,HOWTH,53.3891126,-6.0743742
node/6019633154,Dublin Connolly,stop,,53.3517066,-6.2490183
node/6278472695,Drumcondra,stop,,53.3631333,-6.2588465
node/6278472696,Drumcondra,stop,,53.3633511,-6.2597523
node/6740364330,Limerick Colbert,station,LMRCK,52.6588782,-8.6246847
node/6740507735,Limerick Junction,stop,,52.5021729,-8.1986103
node/6740507736,Limerick Junction,station,LMRKJ,52.5019872,-8.1988652
node/6740507737,Limerick Junction,stop,,52.5014733,-8.1995248
node/6852246816,Waterford Plunkett,stop,4,52.2664705,-7.1179153
node/6852246817,Waterford Plunkett,station,WFORD,52.2663764,-7.1178049
node/6852298568,Kilkenny MacDonagh,station,KKNNY,52.654458,-7.2435663
node/6852302249,Thomastown,station,THTWN,52.5231654,-7.1488957
node/6852317057,Carlow,station,CRLOW,52.8410587,-6.9221056
node/6854406235,Dublin Heuston,stop,5,53.3464781,-6.2940456
node/6854406236,Dublin Heuston,stop,1,53.3458957,-6.2980849
node/6854406237,Dublin Heuston,stop,2,53.3462588,-6.2939215
node/6854406238,Dublin Heuston,stop,3,53.3463085,-6.2939903
node/6854406239,Dublin Heuston,stop,6,53.346274,-6.2976968
node/6854406240,Dublin Heuston,stop,7,53.3463248,-6.2977288
node/6854406241,Dublin Heuston,station,HSTON,53.3465025,-6.2929685
node/6854415949,Galway Ceannt,station,GALWY,53.2738345,-9.0474882
node/7176421917,Salthill and Monkstown,station,SHILL,53.2953905,-6.1524235
node/7176421918,Sandymount,station,SMONT,53.327928,-6.2210505
node/7176421919,Killester,station,KLSTR,53.3728003,-6.2049157
node/7176421920,Dublin Pearse,station,PERSE,53.3433347,-6.2484634
node/7176421921,Lansdowne Road,station,LDWNE,53.3337709,-6.2287109
node/7176421922,Sydney Parade,station,SIDNY,53.3207869,-6.2115522
node/7176421923,Booterstown,station,BTSTN,53.3099853,-6.1951961
node/7176421924,Blackrock,station,BROCK,53.3028379,-6.1786985
node/7176421925,Seapoint,station,SEAPT,53.2991568,-6.1652076
node/7184996490,Killiney,station,KILNY,53.2553845,-6.11304
node/7184996491,Shankill,station,SKILL,53.2366973,-6.1170439
node/7184996492,Glenageary,station,GLGRY,53.2812377,-6.1231083
node/7184996494,Grand Canal Dock,station,GCDK,53.3398189,-6.2381879
node/7185160549,Rush & Lusk,stop,,53.5202027,-6.1439252
node/7185160550,Rush & Lusk,station,RLUSK,53.5202128,-6.1439498
node/7185160551,Gormanston,station,GSTON,53.6378333,-6.2170527
node/7185160552,Gormanston,stop,,53.6378366,-6.2170273
node/7185160553,Drogheda,stop,,53.7120742,-6.3358318
node/7185160554,Laytown,stop,,53.6794891,-6.2426886
node/7185160555,Laytown,station,LTOWN,53.6795281,-6.242754
node/7185160558,Balbriggan,stop,,53.6118867,-6.1823134
node/7185160559,Balbriggan,station,BBRGN,53.6118769,-6.1823282
node/7198243012,Broombridge,stop,,53.3726155,-6.2988458
node/7198243013,Broombridge,station,BBRDG,53.3726218,-6.2988178
node/7198261237,Navan Road Parkway,stop,,53.3774925,-6.3452459
node/7198261238,Navan Road Parkway,station,PHNPK,53.377553,-6.3454293
node/7198309239,Clonsilla,stop,,53.3833552,-6.4250982
node/7198309240,Clonsilla,station,CLSLA,53.3829431,-6.4231873
node/7198310083,Leixlip Louisa Bridge,station,LXLSA,53.3702985,-6.5062413
node/7198335545,Ashtown,station,ASHTN,53.3754061,-6.3318144
node/7198337979,Castleknock,station,CNOCK++,53.3815285,-6.3714239
node/7198337980,Dublin Connolly,station,100,53.3527247,-6.2471357
node/7198349811,Coolmine,station,CMINE,53.3776926,-6.3906473
node/7198349812,Maynooth,station,MYNTH,53.3780554,-6.5906355
node/7234111685,Hansfield,stop,,53.3871445,-6.4425756
node/7234390185,Drogheda,stop,,53.7119706,-6.3351059
node/7234390285,Drogheda,stop,,53.712109,-6.3357857
node/8149879527,Bilberry,station,,52.2704507,-7.1392105
node/8399667627,Limerick Colbert,stop,,52.6587907,-8.6241373
node/8399667726,Limerick Colbert,stop,,52.6587204,-8.6241771
node/8403563822,Athy,station,ATHY,52.9922877,-6.9764756
node/8403567017,Muine Bheag,station,MNEBG,52.6989293,-6.9525956
node/8403567018,Athy,stop,2,52.9915371,-6.9760907
node/8436500717,Hazelhatch and Celbridge,station,HZLCH,53.3224128,-6.5241648
node/8436515317,Clara,station,CLARA,53.3398163,-7.616368
node/8436522717,Tullamore,stop,1,53.2707703,-7.5005329
node/8436522718,Tullamore,station,TMORE,53.2704078,-7.4999253
node/9123967004,Pelletstown,station,PELTN,53.3752046,-6.3142835
node/9123967006,Pelletstown,stop,,53.375199,-6.3144107
node/9123967007,Pelletstown,stop,,53.375212,-6.3141927
node/9671208696,Mount Congreve Gardens,station,,52.2420856,-7.2147426
node/9770125621,Oranmore,station,ORNMR,53.2754881,-8.9472704
node/9884005331,Tralee Casement,stop,1,52.2710191,-9.698483
node/9909469454,Portarlington,stop,PTRTN,53.1460369,-7.1797011
node/9909469455,Portarlington,station,PTRTN,53.1461327,-7.1815122
node/10800545157,Drumcondra,station,DCDRA,53.363086,-6.2587453
node/10803352579,Tara Street,station,TARA,53.3471286,-6.2543071
node/10812221078,Dublin Connolly,stop,,53.3516432,-6.248929
node/10857172246,Sallins and Naas,stop,2,53.2470149,-6.6643203
node/10858269672,Limerick Colbert,stop,,52.6583447,-8.6235889
node/10858285638,Ballybrophy,stop,3,52.9003257,-7.6021916
node/10858694457,Ennis,stop,1,52.8393222,-8.9752567
node/10858694476,Gort,stop,1,53.0673349,-8.8139004
node/10858694477,Ardrahan,stop,ARHAN,53.1572752,-8.8146904
node/10858694478,Craughwell,stop,CRGHW,53.2251159,-8.735928
node/10861438730,Rathmore,stop,1,52.0852948,-9.2169635
node/10861438733,Killarney,stop,1,52.0592636,-9.5021465
node/10865596017,Castlebar,stop,CLBAR,53.8472018,-9.2877348
node/10865596021,Foxford,stop,1,53.9828717,-9.1364984
node/10866191705,Sixmilebridge,stop,,52.7380827,-8.7857693
node/11060680314,Littleisland,stop,2,51.907719,-8.3547746
node/11064591259,Rushbrooke,stop,2,51.8498549,-8.323031
node/11064604337,Fota,stop,1,51.8956584,-8.318464
node/11064604338,Fota,stop,2,51.8957261,-8.3184966
node/11064636097,Carrigaloe,stop,CGLOE,51.8694126,-8.3238781
node/11064636098,Carrigaloe,stop,CGLOE,51.8686785,-8.3243712
node/11064692303,Glounthaune,stop,2,51.9112099,-8.3251354
node/11670588152,Newbridge,stop,1,53.185852,-6.8078379
node/11670588153,Newbridge,stop,2,53.1851515,-6.8088879
node/11670588154,Hazelhatch & Celbridge,stop,5,53.3234945,-6.5220246
node/11670588155,Hazelhatch & Celbridge,stop,4,53.3238528,-6.5213498
node/11670588156,Hazelhatch & Celbridge,stop,1,53.3216962,-6.5244937
node/11670588157,Adamstown,stop,,53.3360752,-6.468024
node/11670588158,Adamstown,stop,,53.3361079,-6.468024
node/11670588159,Adamstown,stop,,53.3360729,-6.4706054
node/11670588160,Adamstown,stop,,53.336041,-6.4706119
node/11670588161,Clondalkin & Fonthill,stop,,53.3333752,-6.4037742
node/11670588162,Clondalkin & Fonthill,stop,,53.3333919,-6.404947
node/11670588163,Clondalkin & Fonthill,stop,,53.3333104,-6.4060198
node/11670588164,Clondalkin & Fonthill,stop,,53.3334025,-6.4074636
node/11670588165,Park West and Cherry Orchard,stop,,53.3341608,-6.3775256
node/11670588166,Park West and Cherry Orchard,stop,,53.3341919,-6.3775297
node/11670588167,Park West and Cherry Orchard,stop,,53.3338698,-6.3799723
node/11670588168,Park West and Cherry Orchard,stop,,53.3338375,-6.3799619
node/11670590563,Hazelhatch & Celbridge,stop,3,53.3238039,-6.5212611
node/12038161886,Farranfore,stop,1,52.1736035,-9.5526364
node/12038161887,Millstreet,stop,MLSRT,52.0777976,-9.0692376
node/12038161889,Mallow,stop,MLLOW,52.1393711,-8.6555272
node/12288912818,Killarney,stop,2,52.0590334,-9.5001537
node/12289055307,Banteer,stop,BTEER,52.1288083,-8.8997486
node/12289072740,Tralee Casement,stop,2,52.2708419,-9.6983943
node/12290739458,Monasterevin,stop,MONVN,53.1454558,-7.0631385
node/12290739459,Monasterevin,stop,MONVN,53.1454792,-7.0631517
node/12293450365,Cobh,stop,1,51.8486343,-8.3008793
node/12298291473,Carrigtwohill,stop,1,51.9163402,-8.2631899
node/12298291474,Carrigtwohill,stop,2,51.9163728,-8.2631993
node/12298343159,Midleton,stop,1,51.9211782,-8.1758157
node/12298343160,Midleton,stop,2,51.9212095,-8.1758174
node/12352026417,Portlaoise,stop,PTLSE,53.0369042,-7.3013432
node/12352026418,Portlaoise,stop,PTLSE,53.036956,-7.301188
node/12353324921,Ennis,stop,2,52.8392649,-8.9751791
