start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/725e89fb8f62123908f9368cbd38f8edc0302469,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/18acdcf46def9893ac409434696a04f610e5ff98
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/848d985db28af20d12f3a1a3e5a637b1f4eb7413,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d179d9de3daf4e2d87c1e07b660b6b068c4ed02a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8aba4bfd34833b3fbda9b7b8fcffaaebbd60ab4a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a11f060f7c14366961516769b7dfe06970cfe701
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a11f060f7c14366961516769b7dfe06970cfe701,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2e09f852fce881674dfa855dc7f5148272a1681f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/18acdcf46def9893ac409434696a04f610e5ff98,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8aba4bfd34833b3fbda9b7b8fcffaaebbd60ab4a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d179d9de3daf4e2d87c1e07b660b6b068c4ed02a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/725e89fb8f62123908f9368cbd38f8edc0302469
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7880ba10d7f92f16aba76083d1c3f4051d1dd9a8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/86f3ecc2fd94b02d584ffff0d7bccfd20355a016
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2b1f524f17b01375027970cd801f032edb8fc90e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1df688ce572f5c74b36062c894e5b3a2d3d6428c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ae7203acc5ad866f3c5413ec5c367451556c55a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2605b506d4d34627373cc38f733af0da4b552d9d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a31e78c1e15e41eacf2a5dea9ca0d54d8d26d51f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acb9a3cc6d380d4794d471bc6a7220cdd75e14c2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1df688ce572f5c74b36062c894e5b3a2d3d6428c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cd453fc0ed1b5ea42f1b6aa873dca7a7d0903996
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acb9a3cc6d380d4794d471bc6a7220cdd75e14c2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c903e45e720a2ff1f8d3ae6db10467235b48f9a8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/109c92961af2905270c1931c9aba605621566070,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/26f676813f96004a6fca960a8f8b88210fbd7557
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2605b506d4d34627373cc38f733af0da4b552d9d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/79db97ffebce7e4e8da99dbf74cdcf2822a70bee
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/37f7860c18484e31e54c2e8b7d795b92ab8db98a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/30a9abc8fda34cdc8f183dfa6591a28766c57a96
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/77d60831502c70d498c79938024ebdc21f6ad76c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d45167d363cb06ff80c3cd713bf12623dbb5a9f3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d45167d363cb06ff80c3cd713bf12623dbb5a9f3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a31e78c1e15e41eacf2a5dea9ca0d54d8d26d51f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aef1fc60ed7f8b22ce81c52290aa11144b041d62,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7880ba10d7f92f16aba76083d1c3f4051d1dd9a8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/30a9abc8fda34cdc8f183dfa6591a28766c57a96,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2605b506d4d34627373cc38f733af0da4b552d9d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/79db97ffebce7e4e8da99dbf74cdcf2822a70bee,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/69920988869495156bcd68578e249b87877de894
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/32f9e5f86efa3db36b16055fb72072dc4d7a9464,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/77d60831502c70d498c79938024ebdc21f6ad76c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/26f676813f96004a6fca960a8f8b88210fbd7557,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/56395504b425048f1735242212b780a31f4a8370
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cd453fc0ed1b5ea42f1b6aa873dca7a7d0903996,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0206910bc5041ffaaf4e1dda64bc2a6fb8f21c3a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acb9a3cc6d380d4794d471bc6a7220cdd75e14c2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3e7344edd9b20838a6c49949aea865a59a76e96a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0206910bc5041ffaaf4e1dda64bc2a6fb8f21c3a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f501e6702ec455e0cd3a98f76ccf70d0ad6b908a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c903e45e720a2ff1f8d3ae6db10467235b48f9a8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2205851ef1fe2baac2b8f74c6560232b39c447a5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/86f3ecc2fd94b02d584ffff0d7bccfd20355a016,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1f537945dd9f1f10a0686a52ada4e7a9418bdc13
