id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible
EU00143,Zilupe/Sebeža,56.38863,28.17265,3,1.8,True,True
EU00144,Kārsava/Pitalova,56.85329,27.72848,3,3.9,True,True
EU00145,Meitene/Joniškis,56.36361,23.65876,3,3.6,True,True
EU00146,Eglaine/Rokiškis,55.94445,26.04576,3,10.9,True,True
EU00147,Kurcums/Turmantas,55.70351,26.46777,13,6.1,True,True
EU00148,Reņģe/Mažeikiai,56.37945,22.62039,4,7.9,True,True
EU00204,Indra/Polocka,55.84455,27.63814,5,16.0,True,True
EU00205,Lugaži/Valga,57.76861,26.02336,6,39.1,True,True
LV1010100000,Ventspils,57.3916,21.5934,32,16.9,True,True
LV1020100000,Tukums II,56.9599,23.1154,25,17.5,True,True
LV1030100000,Jelgava,56.6407,23.7321,35,21.0,True,True
LV1040100000,Krustpils,56.5205,25.8595,56,79.2,True,True
LV1050100000,Daugavpils,55.8749,26.5276,28,32.9,True,True
LV1050300000,Postenis 401km,55.9164,26.654,9,15.9,True,True
LV1051000000,Indra,55.8763,27.5408,6,29.8,True,True
LV1060100000,Rīga Pasažieru,56.9468,24.1204,56,37.6,True,True
LV1060700000,Aizkraukle,56.6227,25.2747,29,3.3,True,True
LV1080100000,Rēzekne II,56.5197,27.345,68,36.5,True,True
LV1090600000,Rēzekne I,56.5016,27.3156,23,21.3,True,True
LV1090700000,Kleperova,56.5343,27.324,4,24.8,True,True
LV1100100000,Pūpoli,56.4146,27.2197,11,11.4,True,True
LV1100300000,Krāce,56.2728,27.05,5,18.6,True,True
LV1100400000,Aglona,56.1782,26.891,9,17.4,True,True
LV1100800000,Postenis 524km,55.9375,26.5722,14,7.4,True,True
LV1100900000,Daugavpils Šķirotava,55.9021,26.5366,30,25.9,True,True
LV1120300000,Postenis 191km,55.9176,26.3962,10,2.9,True,True
LV1150100000,Glūda,56.5998,23.4948,12,17.9,True,True
LV1151100000,Liepāja,56.5242,21.0172,26,26.7,True,True
LV1170500000,Krievupe,57.0645,24.5094,9,28.6,True,True
LV1170600000,Vangaži,57.0789,24.5871,13,44.5,True,True
LV1170800000,Sigulda,57.1532,24.8541,19,34.8,True,True
LV1171200000,Cēsis,57.313,25.2816,16,43.4,True,True
LV1171300000,Jāņamuiža,57.3439,25.3399,14,17.8,True,True
LV1180100000,Zasulauks,56.9418,24.052,44,23.3,True,True
LV1180400000,Sloka,56.9475,23.6201,13,8.8,True,True
LV1220200000,Bolderāja 2,56.9994,24.0489,22,33.5,True,True
