start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e2495f83cfd194e29e04b35015e4cddedd403c82,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f05aa2dd7e2b70b5cbd82bcdc1db1b835a175921
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f799ce84d86aa9dc708afc985b5e9c7fab01e0c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a830acbc6b2c765d29e55f1e49568df0e6d0c56
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b2b955c7640a6da432400a86f4ef0fa4e6f79b49,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eea5a912de8eb180a277cbdc21d281b32451068d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bae62c2877984764190f14fbaaa7514a684bf9c3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c7f674ed64b99bc5b1d08a649ffe83463edc4e7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b402daecb3693aec323d443e5808c0f8e1c04e7d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/50d5d379acae940ca8e57a2767e9c7d07720d6d8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3e4963f551f0252963cba15a7ae64d1b7f5ce09d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2cf48d192477992dbc29b04eff60eb577cfc55b0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c8444c322466b83f1d93eb56cc9b9bd0ff5608bb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4ea536d15bb229881edc15acaba74642251bb42f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d4351a359b188ad30d462747c4d87815350a5672,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4664acce165e13035246ebd2b6e9cf3dd5406496
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/07d35a15997be0c6f30c256936cb6ad536bab3df,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/26de19157fc0e8283d219c6161012b63eb3578dc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4e580a075d7abe8a9236ae1e881953f2c6b4468c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3425bf16886660902ab9d869b4842c9ccd9361a0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f4b365a4eead0958c0a6d57c70e38c90bf72c0af,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1bd5d5571c3c89e4fb7fbc3ae11c6863e61377d2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6fc1e91714e8d8d912cd95ddd030503dd3055fcd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dfa70a3373557dd84d7fccf4b714aeed05a87a17
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7baa9778e4a67b250ff3e6d40b43f0874f503cfc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0755238167f32577ba65a0b8312e8f89f7132f17
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b402daecb3693aec323d443e5808c0f8e1c04e7d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ab45dbdaf54dc1702f310411c88b2a5b2e8fec4e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e6f85dccf32a9d1fb56af7e5f08c1b39ee8e1b9e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81c95a70f50df3f03340375557a79afbecf395dd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ba6de3884c847c82cdb8f98f5ebd713cf7af4ae9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7e77a3484a73958776928fbecc5b9a4dc1cfa825
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36da48e341c04a0f7ed50e2652310f515a3c7d0f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/55c99214ad912803c1e9828dcb7d18fa2d5acc6f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/980fbdef98eeba899f0662c66e6d195674a6e05b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/59971d29777bb191e6f9dc1c2e73c4c4d4d8c8a0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/28862fbb6668a02759a45b841ab85bf98ad357b9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8137f4e1526c31f23568266b73f58a2526ed37d9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e104511115c2010cca614bf783ad56460feb7308,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee7980ef7f616617d5d9acf74ab96a20af2ec83b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f0c19285779583d912b4220b425c9707aade2d0f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/101afdeccf470429dd6d24af09c39271eeda6d26
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0755238167f32577ba65a0b8312e8f89f7132f17,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4db3802e8bd9117184c98b46326ea8f20fe35e17
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3e4963f551f0252963cba15a7ae64d1b7f5ce09d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f0c19285779583d912b4220b425c9707aade2d0f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e45fc6ce1e355714e1010ec48aaba62a69571f91,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5ac430d855478f139f1702a7d5d9c6071f685c2f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee7980ef7f616617d5d9acf74ab96a20af2ec83b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0853af32e22b9bc82709a4f1c3d511e51d76a19e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd869c1f5b5c90b130d92034b3d1deb4d79eb482,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d47676b845244ccfc5b2acda0280ffe2d4851dae
