osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/3161755455,Radžiūnai,halt,,55.7694748,24.8863707,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/28c29d3b7ac3f1316c516c052adf9d135ad21c40,LTRadziunai,Radziunai,216.7
node/1934806645,Anykščiai,station,,55.5325841,25.1085855,,,,
node/1934888969,Bajoriškiai,station,,55.7013429,24.6478397,,,,
node/9091369525,Bičionys,station,,55.5219037,25.2082133,,,,
node/8759654071,Dituva,stop,,55.5822247,21.2833445,,,,
node/9093722258,Dituva,halt,,55.5822335,21.2832954,,,,
node/9659279545,Gavys,halt,,55.3335888,26.1488986,,,,
node/8758725035,Gružeikiai,stop,,55.6276087,21.2496101,,,,
node/9093722259,Gružeikiai,halt,,55.6275968,21.2495749,,,,
node/12352264620,Joniškėlio geležinkelio stotis,station,,56.0277266,24.1757355,,,,
node/3200261326,Kaišiadorys,stop,,54.8635999,24.4584218,,,,
node/12102803777,Kaišiadorys,stop,,54.8635162,24.4583576,,,,
node/3568624529,Kukorai,halt,,55.4629697,21.4526512,,,,
node/12625858114,Kukorai,stop,,55.4629702,21.4525,,,,
node/91092243,Laba,halt,,55.7443053,23.912197,,,,
node/1716521852,Pagiriai,halt,,54.8785733,24.3599995,,,,
node/4004183563,Pagojė,station,,55.5521267,25.0330904,,,,
node/9659339058,Paplūdimys,halt,,55.3326577,26.1456287,,,,
node/3570408193,Priekulė,halt,,55.5608464,21.306288,,,,
node/12625858118,Priekulė,stop,,55.5608043,21.3062299,,,,
node/617014928,Raguvėlė,halt,,55.6824132,24.7080323,,,,
node/3823087872,Rekstino miškas,station,,55.7097911,24.6221669,,,,
node/872472924,Rubikiai LG,station,,55.531233,25.2820326,,,,
node/9659339059,Stovykla,halt,,55.3323109,26.1488495,,,,
node/617014920,Surdegis,station,,55.6584791,24.793386,,,,
node/617015186,Taruškos,station,,55.7310201,24.5492035,,,,
node/617011895,Troškūnai LG,station,,55.5896938,24.9022356,,,,
node/617014502,Vašuokėnai,station,,55.6254102,24.8520195,,,,
node/872472728,Žažumbris,station,,55.5217196,25.1714923,,,,
node/7620450996,,stop,,54.3923533,23.400161,,,,
