start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/93cc57ed445ea6a5260978dc7d16d09f5a296662,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/896a0eb2760fec19a3482690329a9c75668987ad
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e132bb6f290c0f623c93fc5e01866da466baa53c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/455b899841e37cf3ae7302e6d247ef328a456169
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6296167fb38903c8eeaf00150261337a39b24897,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2fbd2a8c00c3c1d913c07f06503840ba052f9fb6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a0d102b9cd0e95827ac8741109899c8f972a9830,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c286432402829cbc6b67f373d985a0e5f03d485
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/11ad6fde7fc6b74074b9320438743a68f13a8f22,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/88f5ad4aeab9e0d2de4da8d3397d1cf156604fc2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c9efe78bca8d5d1a1431bda78aea9fe9d1c3ccd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fac83f51c28b9c0dec91a9dc39796427a7e7a7a6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a257a0b60d93d7bb217202eb25e32c562d8016d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/376c10abe81ad47b370cffe315a57cc218b9e4a2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e21dff8ef2c401ee6b000625a4ac6647863681d0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5a1968935ec2ebdbf5c6c20405308888c2435777
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aad570258e3aa45658526ce495f83aef4c7cbc82,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75eff9fe7d526f422ad69eb35d61efd68249142b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d365a5299bf7051d4442714f1b4a13e377b5ba0b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/52fee84df1b40be2deefa4912504cd67ed7ff684
