id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible
EU00009,Wasserbillig frontière,49.7138,6.5066,31,1.3,True,True
EU00095,Troisvierges frontière,50.173,5.9653,7,6.4,True,True
EU00096,Kleinbettingen frontière,49.6437,5.9042,6,13.9,True,True
EU00097,Rodange frontière B Aub,49.5518,5.825,45,0.1,True,True
EU00098,Rodange frontière B A,49.5518,5.8106,0,,False,
EU00099,Rodange frontière F MstM,49.5433,5.8106,5,4.1,True,True
EU00100,Esch Frontiere,49.4859,5.9688,4,10.5,True,True
EU00102,Bettembourg frontière,49.4720532,6.1078419,6,0.8,True,True
LUAu   ,Audun-le-Tiche,49.47838,5.95827,7,1.6,True,True
LUBLy  ,Belval-Lycée,49.501492,5.934241,13,4.3,True,True
LUBUn  ,Belval-Université,49.499556,5.946371,47,6.5,True,True
LUBa   ,Bascharage-Sanem,49.558531,5.925082,9,5.9,True,True
LUBb   ,Brucherberg,49.50103,6.0387,3,0.8,True,True
LUBc   ,Berchem,49.5425,6.133611,7,19.4,True,True
LUBc-E ,Berchem Est,49.55751,6.1547,10,37.2,True,True
LUBc-N ,Berchem Nord,49.55253,6.14181,6,14.6,True,True
LUBd   ,Burden,49.87648,6.10541,4,15.2,True,True
LUBi   ,Bissen,49.7884,6.069313,4,68.9,True,True
LUBl   ,Bellain,50.15127,5.97827,2,2.0,True,True
LUBl-Pb,Bellain poste de block,50.14253,5.97315,1,634.4,False,True
LUBr   ,Belval-Rédange,49.50296,5.92392,7,22.4,True,True
LUBs   ,Belvaux-Soleuvre,49.51509,5.92599,9,8.1,True,True
LUBt-M ,Bettembourg-Marchandises,49.49412,6.109887,21,42.3,True,True
LUBt-V ,Bettembourg-Voyageurs,49.516111,6.101111,50,1.1,True,True
LUBtr  ,Bertrange-Strassen,49.6125,6.060833,24,19.0,True,True
LUBu   ,Belval-Usines,49.49585,5.95863,54,12.5,True,True
LUBz   ,Betzdorf,49.688859,6.348589,10,2.3,True,True
LUBz-Pb,Betzdorf Poste de block,49.68669,6.33606,3,750.5,False,True
LUCb   ,Colmar-Berg,49.815051,6.100849,7,9.2,True,True
LUCp   ,Capellen,49.638405,5.982375,11,1.1,True,True
LUCs   ,Cents-Hamm,49.61521,6.166666,8,30.9,True,True
LUCt   ,Cruchten,49.796342,6.120069,10,13.5,True,True
LUCt-Tra,Cruchten Poste de transition,49.80284,6.11661,7,15.8,True,True
LUCu   ,Colmar-Usines,49.80788,6.09266,5,63.4,True,True
LUCv   ,Clervaux,50.061389,6.024722,10,14.2,True,True
LUD    ,Differdange (gare),49.52858,5.89184,29,2.6,True,True
LUDb   ,Dudelange-Burange,49.4925,6.08629,5,14.4,True,True
LUDc   ,Dudelange-Centre,49.47885,6.08222,7,17.8,True,True
LUDf   ,Drauffelt,50.01484,6.006722,4,158.7,False,True
LUDi   ,Differdange (PA),49.5225,5.8916,15,3.4,True,True
LUDk   ,Diekirch,49.864722,6.153611,17,2.0,True,True
LUDm   ,Dommeldange,49.633889,6.136389,21,21.2,True,True
LUDr   ,Dippach-Reckange,49.57252,5.99512,18,2.8,True,True
LUDr-N ,Dippach Nord,49.58033,6.01616,8,3.0,True,True
LUDrC  ,Diekirch Commercial,49.86019,6.14214,3,86.1,True,True
LUDu   ,Dudelange-Usines,49.47268,6.07943,31,1.1,True,True
LUDv   ,Dudelange-Ville,49.48346,6.08302,6,3.5,True,True
LUEb   ,Ettelbruck,49.847222,6.106667,24,6.6,True,True
LUEs   ,Esch-sur-Alzette,49.493889,5.985556,22,16.5,True,True
LUEs-L ,Esch Secteur Lallange,49.50102,5.99447,68,28.2,True,True
LUEs-Us,Esch Secteur Usines,49.49935,5.99203,50,8.7,True,True
LUF    ,Fentange,49.56836,6.140955,3,247.8,False,True
LUF-S4 ,Fentange Sud (ligne 4),49.56071,6.1457,6,25.0,True,True
LUF-S6 ,Fentange Sud (ligne 6),49.55858,6.14456,6,100.3,False,True
LUGb   ,Goebelsmuhle,49.921111,6.053056,11,13.6,True,True
LUHd   ,Heisdorf,49.675278,6.139167,13,19.5,True,True
LUHo   ,Howald,49.581014,6.132404,42,12.3,True,True
LUKa   ,Kayl,49.48574,6.03524,10,2.7,True,True
LUKb   ,Kleinbettingen,49.64389,5.917409,27,21.6,True,True
LUKt   ,Kautenbach,49.948611,6.022222,22,15.0,True,True
LUL    ,Luxembourg,49.599722,6.134722,95,3.6,True,True
LUL-St1,Luxembourg Stadgrond L1,49.60795,6.13927,14,8.9,True,True
LULd   ,Leudelange,49.58694,6.05818,9,20.7,True,True
LULg   ,Langengrund,49.46563,6.01011,9,39.9,True,True
LULh   ,Luxembourg secteur Hollerich,49.59562,6.120598,25,16.7,True,True
LULi   ,Lintgen,49.721111,6.122778,8,23.6,True,True
LULiv  ,Livange,49.53019,6.11805,2,100.4,False,True
LULm   ,Lamadelaine,49.55338,5.860886,15,1.5,True,True
LULr   ,Lorentzweiler,49.6975,6.140278,7,17.2,True,True
LULs   ,Luxembourg-Sud,49.47268,6.07943,31,1.1,True,True
LULt   ,Luxembourg-Triage,49.58987,6.13418,112,14.7,True,True
LUM    ,Mersch,49.751667,6.110278,11,15.0,True,True
