start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/98ee5362236539de1b98e1cd68ee14f0272c411f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca45c4e968d53b0a0a405d70a8c46dd868a85341
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3415a44d2e9dfdda60014689df00c5e778bad2fb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fed066f6b2fd8a012bdef4126568dcbee3640fc6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/96351250da79d88f4962bdf7e74739a7d0554b03,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ce021d2f4c5421c8bd4aff94bab9e0bdd0095861
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c4c44bdea770cdc537320de38dfd6be28da301ac,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cfb5e45b42deaba8fff07811e499f75f1f8e5e65
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6dfdc7ae734b42efeae0a60b6d2c5a5d5cf3c348,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ce021d2f4c5421c8bd4aff94bab9e0bdd0095861
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c7e058ea149a654f19e4c49d983044ca59190ac,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/317356a62ec06ff0b820839c44f2ce039e026e8b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f94e0c3136a9083a3b2f3b6a9ea8a14b4d82891,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/72b62749dc41ab8a245d84b1c03b73bf9e4a05e5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34c4232aa87b16794d31151525a5215154016437,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/149767a99af252cd64ec493fc1e8dd843e31bb2e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ce021d2f4c5421c8bd4aff94bab9e0bdd0095861,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a8985709f0db14e844e675d710c685cab5aa7f81
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/09ebf4fc6437d4ed3aafccbc2c345cade2b879e6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4d6819dbce1627a7bf9af99f63f3ad886f3dd765
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ce021d2f4c5421c8bd4aff94bab9e0bdd0095861,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3db558aa562873f11b4fc9bb41e40b6eecf1d24b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3db558aa562873f11b4fc9bb41e40b6eecf1d24b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fb7728612d0acbecd5eb30f0ae873e1d0faa0131
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b5514c0354c79e4b916a31ff34931606e38d4e3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dc7ab2c0910e9b3d7cb52389c0f0cf0d149b1c80
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e439f528d64feca614b67016580fc884d31533b6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a0f304332c08039bdc2000642836e74cad243572
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/96351250da79d88f4962bdf7e74739a7d0554b03,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d83097258d03fdf795fc2003ac8a8d001a9c96c4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/efd4c480e71ba5fa39b20949b831fdf4b5952502,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6eaab98499102527e2fe9ee630cce1cec18dd09c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0abdf36ece193d09be5810d22c4c43b83c8451a3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8055d24df561cb22fae729f8f57a4bcfb1babc78
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e439f528d64feca614b67016580fc884d31533b6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cad28fbaf9331922007133115b770aa24b33c915
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/72fcfc354eeb7863b173903f45f27aabe1d79041,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0ae3e05bad2ca28aae94ce8d1c2122e6376528e7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7af9a4c0b779faf9493f8bf5e7d83e4d921838fe,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d6f14ffee18dd481bae4909a86772fbc7a0fe394
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d03ea2987d5217cbb9fbbfecf5c92edf8a1bad7b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0be4881e901646adcaed3a60fc703da0f059297a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/93f2b201023266d89f0f1fdcc6d52895d1308c63,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eac09c7ddd1abdf33bb35038a79d0e45fb1f37a7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/322b2d46f60b81c6d87d36aa89d609bcc0f7f0ac,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81f7bc08f74ce98a5f19b6cad5ccee11709752d1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/09ebf4fc6437d4ed3aafccbc2c345cade2b879e6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/96351250da79d88f4962bdf7e74739a7d0554b03
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cad28fbaf9331922007133115b770aa24b33c915,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/963d583a2c2bd85b09ba45f93a5ca49648eeba2c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ad4412be404ea69c2e261cc3eb4876c0dbf8abef,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/72aaa0a3b8e5000c6a92535a9d48a6facc9d4f7c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5758980b6f9ed90f0cfa731c891b071d36c6c43d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/beaa3bb1759280160204627af3567b90605eb321
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/96351250da79d88f4962bdf7e74739a7d0554b03,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cbf400c1392e1e68e509564b25845dbd34f582bd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ce021d2f4c5421c8bd4aff94bab9e0bdd0095861,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/21fbb385ef71530994afb41e30a9a65c1d317360
