id,name,lat,lon,uri,country
NLSvg,Sas van Gent,51.2255,3.7939,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ad4412be404ea69c2e261cc3eb4876c0dbf8abef,http://publications.europa.eu/resource/authority/country/NLD
EU00094,Sas van Gent grens,51.210866,3.79983,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/caeef2ec164afa7996db9b4e52b6c6dfdb507b51,http://publications.europa.eu/resource/authority/country/NLD
NLVs,Vlissingen,51.4467,3.5952,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1c5a8a0ea1eeef95b5f1e0c952d4b5979c86e535,http://publications.europa.eu/resource/authority/country/NLD
NLHdr,Den Helder,52.955,4.7611,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35df2add50b57d9e3787be372caaa72fe4865023,http://publications.europa.eu/resource/authority/country/NLD
NLSpvg,Simpelveld Grens,50.8142,6.0246,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/698c074cfe48faaa8db07b43294f10d3f7da2b6e,http://publications.europa.eu/resource/authority/country/NLD
NLSltf,Sloe-Thermfos,51.4449,3.6912,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d36f2febea761df401f9508e98f7fcaa863e493e,http://publications.europa.eu/resource/authority/country/NLD
NLHlgh,Harlingen Haven,53.1747,5.4114,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d42679ff94c80053c0bb73bf22cf9dbb16c69143,http://publications.europa.eu/resource/authority/country/NLD
EU00091,Budel grens,51.247263,5.555298,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/022a013c276e43999c04e86e8b5ce22a1cef9ce7,http://publications.europa.eu/resource/authority/country/NLD
EU00001,Nieuweschans Grens,53.18748,7.210411,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2556570b8e12b61ebfffedc1a8b77d6f352c5d15,http://publications.europa.eu/resource/authority/country/NLD
EU00006,Haanrade grens,50.880347,6.084949,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b5b2dbadabc3319c2209c637ee6aa3e121644dd,http://publications.europa.eu/resource/authority/country/NLD
EU00092,Maastricht grens,50.880098,5.666877,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6c8449267c71026ef76995550939edd3d0817eee,http://publications.europa.eu/resource/authority/country/NLD
EU00093,Eijsden grens,50.758825,5.703065,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e2ad8ef6bbd51bc8a65a7d9b5ffc4a7a6b3d5820,http://publications.europa.eu/resource/authority/country/NLD
NLEem,Eemshaven,53.4588,6.83,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/728b49cf393f1af580d801932db4a7ea1d1aa68c,http://publications.europa.eu/resource/authority/country/NLD
NLMvtah,Maasvlakte Prinses Amaliahaven,51.9389,3.9764,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e42eb00024281c271c8f7c2eeb8cc2b6e4abdc23,http://publications.europa.eu/resource/authority/country/NLD
