osm_id,name,type,ref,lat,lon
node/41958626,Maastricht Randwyck,stop,2,50.8376314,5.717595
node/41984084,Schin op Geul,station,Sog,50.8559809,5.8714734
node/41984490,Schin op Geul,stop,1,50.8562856,5.8722543
node/42000020,Klimmen-Ransdaal,stop,1,50.8662479,5.8901819
node/42006537,Maastricht Noord,stop,2,50.8705303,5.7175273
node/42011214,Houthem-Sint Gerlach,stop,1,50.8733825,5.7964022
node/42015863,Chevremont,stop,1,50.8761756,6.0595314
node/42026539,Meerssen,stop,1,50.8825619,5.7505828
node/42032185,Voerendaal,stop,1,50.8868243,5.9294293
node/42037239,Heerlen,stop,1,50.8906559,5.9753028
node/42038079,Eygelshoven,stop,2,50.8901141,6.0455119
node/42043721,Heerlen Woonboulevard,stop,1,50.8961357,5.9528939
node/42053780,Hoensbroek,stop,1,50.9055895,5.9302707
node/42084791,Spaubeek,stop,2,50.9434607,5.8496099
node/42088494,Beek-Elsloo,stop,2,50.9478069,5.7872235
node/42102055,Geleen Oost,stop,2,50.9670372,5.8432373
node/42108132,Geleen-Lutterade,stop,2,50.9754547,5.8244169
node/42120928,Sittard,stop,3a,51.0012601,5.858317
node/42146945,Echt,stop,1,51.1001285,5.8788758
node/42199496,Roermond,stop,2,51.1925263,5.994106
node/42235002,Swalmen,stop,1,51.2353778,6.0315608
node/42250938,Weert,stop,2,51.2488202,5.7031571
node/42299017,Reuver,stop,1,51.2829991,6.0793649
node/42299776,Reuver,stop,2,51.2829604,6.0794497
node/42490556,Blerick,stop,3,51.3724773,6.1553835
node/42515590,Heeze,stop,2,51.3852329,5.5694542
node/42598910,Horst-Sevenum,stop,1,51.4269585,6.0413454
node/42614391,Krabbendijke,stop,1,51.4326999,4.1186069
node/42631488,Kwadendamme,stop,Kdm,51.4407068,3.8894157
node/42668833,Nisse,stop,Ni,51.4539473,3.8800765
node/42675172,Deurne,stop,1,51.4561049,5.7881031
node/42699513,Vlissingen Souburg,stop,2,51.4650554,3.5952907
node/42708577,Helmond 't Hout,stop,1,51.4680329,5.6312611
node/42714941,Helmond Brouwhuis,stop,1,51.4705815,5.7016874
node/42715031,Helmond Brouwhuis,station,Hmbh,51.4706226,5.70137
node/42728632,Helmond,stop,1,51.475497,5.6616731
node/42743713,Kapelle-Biezelinge,stop,2,51.4804309,3.9567925
node/42792154,Middelburg,stop,2,51.4951303,3.6183164
node/42805451,Goes,stop,2,51.4981406,3.8895966
node/42820035,Arnemuiden,stop,1,51.5015355,3.6697863
node/42915222,Venray,stop,Vry,51.5261184,6.0146841
node/43028618,Tilburg,stop,1,51.560617,5.0833234
node/43044523,Tilburg Universiteit,station,Tbu,51.5652341,5.0516776
node/43044999,Tilburg Universiteit,stop,2,51.5651954,5.0501998
node/43115032,Oisterwijk,stop,1,51.5820169,5.1934345
node/43124982,Gilze-Rijen,station,Gz,51.5840224,4.9242259
node/43160670,Vierlingsbeek,station,Vlb,51.5920221,5.9970961
node/43163076,Vierlingsbeek,stop,1,51.592413,5.99688
node/43345288,Boxmeer,stop,2,51.6440494,5.9396202
node/43346790,Boxmeer,station,Bmr,51.6444304,5.9395217
node/43350498,Boxmeer,stop,1,51.6451999,5.9385003
node/43396053,Vught,stop,1,51.6556059,5.2919866
node/43529858,'s-Hertogenbosch,stop,1,51.6905518,5.293996
node/43568886,'s-Hertogenbosch Oost,stop,2,51.7005336,5.3191174
node/43660437,Cuijk,stop,2,51.726767,5.8741794
node/43764875,Oss West,stop,2,51.758426,5.5069494
node/43861273,Ravenstein,station,Rvs,51.7947915,5.6377036
node/43974591,Nijmegen Dukenburg,stop,2,51.8239159,5.7942529
node/43986402,Nijmegen Heyendaal,stop,2,51.8268303,5.8679031
node/43991043,Nijmegen Goffert,stop,2,51.8274191,5.8233615
node/44006506,Sliedrecht,stop,2,51.8296499,4.7781279
node/44009081,Hardinxveld-Giessendam,stop,2,51.8304637,4.8353989
node/44009511,Hardinxveld-Giessendam,stop,1,51.8304268,4.8354003
node/44017839,Boven Hardinxveld,stop,2,51.8323686,4.8785195
node/44022289,De Akkers,stop,,51.8332824,4.3198759
node/44024765,Gorinchem,stop,1,51.8338368,4.9678376
node/44061300,Nijmegen,station,Nm,51.8431362,5.8530913
node/44073084,Spijkenisse Centrum,stop,,51.8465371,4.3344807
node/44118781,Rhoon,stop,,51.8591157,4.4194958
node/44129775,Poortugaal,stop,,51.8617079,4.3957852
node/44170606,Arkel,stop,1,51.8719982,4.9926019
node/44182229,Slinge,stop,,51.8745947,4.4776683
node/44210416,Rotterdam Lombardijen,stop,3,51.8803491,4.5310151
node/44234275,Pernis,stop,,51.8849705,4.3818923
node/44243741,Zuidplein,stop,2,51.8869,4.4883
node/44259401,Tiel,stop,3,51.8898569,5.4230931
node/44260445,Tiel,stop,2,51.8898072,5.4231762
node/44283580,Leerdam,stop,1,51.8946179,5.093363
