osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/6043939450,Maastricht,stop,4b,50.850054,5.7056887,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60cdb3e2431362ac7b952390e6a68ce40cdc4c15,NLMt,Maastricht,201.3
node/6043939653,Maastricht,stop,5b,50.8500667,5.7057509,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60cdb3e2431362ac7b952390e6a68ce40cdc4c15,NLMt,Maastricht,201.7
node/9604743606,Arnhem Centraal,stop,6a,51.9851091,5.8986166,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4d3797eb66192b5cdf89b4d96118c93d40b5cb1e,NLAh,Arnhem Centraal,202.6
node/1053174401,Rotterdam Centraal,stop,14,51.9255318,4.4686821,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04a27a4f3d6ed40a1aac5dead1b6bb203aa339d4,NLRtd,Rotterdam Centraal,202.9
node/392698113,Mook Molenhoek,stop,1,51.7662754,5.8788202,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5fa768a712324323e6322a5ec79532ae50425178,NLMmlh,Mook Molenhoek,203.3
node/9604743605,Arnhem Centraal,stop,4a,51.9850317,5.8985787,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4d3797eb66192b5cdf89b4d96118c93d40b5cb1e,NLAh,Arnhem Centraal,203.4
node/1053174299,Rotterdam Centraal,stop,15,51.9255722,4.4686658,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04a27a4f3d6ed40a1aac5dead1b6bb203aa339d4,NLRtd,Rotterdam Centraal,205.1
node/4048801967,Rotterdam Centraal,station,Rtd,51.9250574,4.4692289,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04a27a4f3d6ed40a1aac5dead1b6bb203aa339d4,NLRtd,Rotterdam Centraal,205.2
node/47670218,Den Helder,station,Hdr,52.9568469,4.7606663,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35df2add50b57d9e3787be372caaa72fe4865023,NLHdr,Den Helder,207.4
node/2195515087,Kerkrade ZLSM,station,Krd,50.8590632,6.0566467,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e84250adffbabefb836d361fbfd118363f6bac0c,NLKrd,Kerkrade Centrum,207.9
node/1923349745,Leidschenveen,stop,RR,52.0648743,4.4002639,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4126f4b54b0dbdc5ec674b9641529785b66dc92a,NLLdd,Leidschendam,208.8
node/1431304723,Leidschenveen,stop,RR,52.0647841,4.4001451,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4126f4b54b0dbdc5ec674b9641529785b66dc92a,NLLdd,Leidschendam,210.6
node/11374459005,Oldenzaal,stop,1b,52.306641,6.9372966,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2e4b773a78586f79aeadaba049dd8d8fa891082a,NLOdz,Oldenzaal,213.9
node/1037346806,Ede-Wageningen,stop,1a,52.0279069,5.6722201,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/26bd7924e5cf94df7164e73ba595268735e77b01,NLEd,Ede-Wageningen,218.5
node/2902677221,Eerbeek,station,Ebk,52.1027606,6.0662863,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ddaea0985a67052f56de034450c31a7596c5cca7,NLEbk,Eerbeek,218.6
node/4120912296,Eerbeek,stop,,52.1027347,6.0661423,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ddaea0985a67052f56de034450c31a7596c5cca7,NLEbk,Eerbeek,221.7
node/5311118145,Maastricht,station,Mt,50.8501783,5.7052501,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60cdb3e2431362ac7b952390e6a68ce40cdc4c15,NLMt,Maastricht,223.9
node/2173557206,Rotterdam Centraal,stop,,51.9240398,4.4697452,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04a27a4f3d6ed40a1aac5dead1b6bb203aa339d4,NLRtd,Rotterdam Centraal,224.4
node/291982984,Leidschenveen,station,LVN,52.0647304,4.400391,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4126f4b54b0dbdc5ec674b9641529785b66dc92a,NLLdd,Leidschendam,226.3
node/5193927668,Rotterdam Centraal,station,Rtd,51.9239677,4.4697987,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04a27a4f3d6ed40a1aac5dead1b6bb203aa339d4,NLRtd,Rotterdam Centraal,229.2
node/7606802766,Heerenveen,station,Hr,52.9607031,5.9153474,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bdc45c98951ba469e36d68a0cfc78237982436ad,NLHr,Heerenveen,229.4
node/2173557205,Rotterdam Centraal,stop,,51.923895,4.4698149,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04a27a4f3d6ed40a1aac5dead1b6bb203aa339d4,NLRtd,Rotterdam Centraal,231.7
node/2173557215,Rotterdam Centraal,stop,,51.9237763,4.4698293,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04a27a4f3d6ed40a1aac5dead1b6bb203aa339d4,NLRtd,Rotterdam Centraal,235.6
node/1129849968,Heerenveen,stop,3,52.9606216,5.9153395,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bdc45c98951ba469e36d68a0cfc78237982436ad,NLHr,Heerenveen,236.6
node/1129850249,Heerenveen,stop,2,52.9606727,5.9154829,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bdc45c98951ba469e36d68a0cfc78237982436ad,NLHr,Heerenveen,237.4
node/6483744131,,halt,,52.1505681,5.346539,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d4d7c12fe30dda2f0d5e1bdd50f713f790308923,NLAmfva,Amersfoort Vlasakkers aansl.,265.2
node/8324904399,Maastricht,stop,2,50.8505675,5.705126,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60cdb3e2431362ac7b952390e6a68ce40cdc4c15,NLMt,Maastricht,267.5
node/8324904400,Maastricht,stop,1,50.8505398,5.7049544,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60cdb3e2431362ac7b952390e6a68ce40cdc4c15,NLMt,Maastricht,268.9
node/1673444987,Utrecht Maliebaan,station,Utm,52.0879425,5.1311656,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/adfdf05c8d5aef1dd9875f9560d8ff392364ea0e,NLUtm,Utrecht Maliebaan,276.6
node/7592965336,Leidschenveen,stop,M3,52.0643289,4.4007917,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4126f4b54b0dbdc5ec674b9641529785b66dc92a,NLLdd,Leidschendam,277.7
node/8324904398,Maastricht,stop,3,50.8506844,5.7052034,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60cdb3e2431362ac7b952390e6a68ce40cdc4c15,NLMt,Maastricht,278.1
node/1564402776,Leidschenveen,stop,M3,52.0644014,4.4009321,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4126f4b54b0dbdc5ec674b9641529785b66dc92a,NLLdd,Leidschendam,278.3
node/2173836241,Stadhuis,stop,,51.9232449,4.4785436,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5944693877382fb8d8d2b9281803efc50c79d26e,NLWiltn,Willemstunnel Noord,299.0
node/3149917980,Stadhuis,station,,51.9232371,4.4785118,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5944693877382fb8d8d2b9281803efc50c79d26e,NLWiltn,Willemstunnel Noord,300.5
node/2173836240,Stadhuis,stop,,51.9232269,4.4784926,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5944693877382fb8d8d2b9281803efc50c79d26e,NLWiltn,Willemstunnel Noord,302.0
node/2369355633,'s-Gravenpolder-'s-Heer Abtskerke,station,Gha,51.4620883,3.892375,,,,
node/7610638449,'s-Gravenpolder-'s-Heer Abtskerke,stop,Gha,51.4620832,3.8922183,,,,
node/4048801938,'s-Gravenweg,station,,51.919502,4.5476727,,,,
node/2185343208,Ambachtsland,stop,,51.9657501,4.5702693,,,,
node/2185343213,Ambachtsland,stop,,51.9657823,4.5702677,,,,
node/4048801939,Ambachtsland,station,,51.9657663,4.5702668,,,,
node/45489203,Amersfoort Centraal,station,Amf,52.153898,5.3740976,,,,
node/1038795180,Amersfoort Centraal,stop,4b,52.1536727,5.3741516,,,,
node/292804256,Beatrixkwartier,stop,,52.0799904,4.3348431,,,,
node/1431304716,Beatrixkwartier,stop,,52.0799969,4.3350128,,,,
node/7657203020,Beatrixkwartier,station,,52.0799782,4.3349578,,,,
node/2173483437,Berkel Westpolder,stop,2,51.9900716,4.454331,,,,
node/2173483442,Berkel Westpolder,stop,1,51.9900844,4.4543963,,,,
node/3149917960,Berkel Westpolder,station,,51.9900765,4.4543595,,,,
node/2173836361,Beurs,stop,,51.9178668,4.4803884,,,,
node/2173836363,Beurs,stop,,51.9178996,4.4803692,,,,
node/2173836400,Beurs,stop,,51.9190178,4.4803477,,,,
node/2173836403,Beurs,stop,,51.9190265,4.480404,,,,
node/3149917961,Beurs,station,,51.9179985,4.4808632,,,,
node/3550867682,Bezoekerscentrum (RTM),halt,,51.7825181,3.8825822,,,,
node/2185343216,Binnenhof,stop,,51.9602878,4.5356879,,,,
node/2185343222,Binnenhof,stop,,51.960392,4.535619,,,,
node/4048801940,Binnenhof,station,,51.9603316,4.5356539,,,,
node/2173483446,Blijdorp,stop,,51.9305871,4.4580891,,,,
node/2173483451,Blijdorp,stop,,51.9306444,4.4582602,,,,
node/3149917962,Blijdorp,station,,51.9306162,4.4581761,,,,
node/2989934275,Boekelo,station,Bko,52.2048225,6.8008997,,,,
node/45099226,Buytenwegh,station,,52.0667621,4.4786685,,,,
node/3520047183,Buytenwegh,stop,2,52.0667426,4.4786862,,,,
node/3520047184,Buytenwegh,stop,1,52.0667804,4.4786589,,,,
node/2178778485,Capelle Centrum,stop,,51.9313618,4.5895721,,,,
node/2178778486,Capelle Centrum,stop,,51.931394,4.5895479,,,,
node/4048801941,Capelle Centrum,station,,51.9313801,4.5895585,,,,
node/2178778487,Capelsebrug,stop,,51.9213386,4.5580666,,,,
node/2178778489,Capelsebrug,stop,,51.9214011,4.5580137,,,,
node/2178778490,Capelsebrug,stop,,51.9215146,4.5579023,,,,
node/4048801942,Capelsebrug,station,,51.9214526,4.5579589,,,,
node/45070591,Centrum-West,stop,2,52.0606307,4.483495,,,,
node/660236290,Centrum-West,stop,3,52.0605245,4.4834504,,,,
node/3518163015,Centrum-West,station,,52.0606493,4.4834971,,,,
node/3518163016,Centrum-West,stop,1,52.0606664,4.4835034,,,,
node/1602649951,Coolhaven,stop,,51.9094164,4.4583154,,,,
node/2872650739,Coolhaven,stop,,51.9095462,4.4582471,,,,
node/4048801943,Coolhaven,station,,51.9094712,4.4582888,,,,
node/1903163032,Crazy River,stop,,52.4417006,5.7652741,,,,
node/11743486672,Crazy River,station,23,52.4417294,5.7651956,,,,
node/44022289,De Akkers,stop,,51.8332824,4.3198759,,,,
node/3149917963,De Akkers,station,,51.8333189,4.3198989,,,,
node/3149917987,De Akkers,stop,,51.8333972,4.3198848,,,,
node/45119673,De Leyens,stop,2,52.0719307,4.4948903,,,,
node/3520189614,De Leyens,station,,52.0719449,4.4949009,,,,
node/3520189615,De Leyens,stop,1,52.0719618,4.4949108,,,,
node/2178778491,De Terp,stop,,51.9360063,4.600662,,,,
node/2178778492,De Terp,stop,,51.9360939,4.600555,,,,
node/4048801944,De Terp,station,,51.9359471,4.6003816,,,,
node/2185343239,De Tochten,stop,,51.9688949,4.5786539,,,,
node/2185343248,De Tochten,stop,,51.968983,4.5785511,,,,
node/4048801945,De Tochten,station,,51.9688713,4.5784685,,,,
node/1602649954,Delfshaven,stop,,51.9099682,4.4456919,,,,
node/2872650751,Delfshaven,stop,,51.9099984,4.4457184,,,,
node/4048801946,Delfshaven,station,,51.9099946,4.4457004,,,,
node/1431304718,Delftsewallen,stop,2,52.0508174,4.487058,,,,
node/3519649713,Delftsewallen,station,,52.0508275,4.4870404,,,,
node/3519649714,Delftsewallen,stop,1,52.0508367,4.4870187,,,,
node/1051894472,Den Haag Ypenburg,stop,1,52.0558384,4.3909684,,,,
node/1051894499,Den Haag Ypenburg,stop,2,52.055562,4.3913875,,,,
node/3508543971,Den Haag Ypenburg,station,Ypb,52.0558168,4.390848,,,,
node/9071577585,Depot,halt,,52.1662897,4.4437069,,,,
node/9604269471,Deurne,stop,3,51.4554758,5.7909576,,,,
node/196326957,Dijkzigt,stop,,51.9122274,4.4661327,,,,
node/2872650732,Dijkzigt,stop,,51.9122493,4.4660974,,,,
node/4048801947,Dijkzigt,station,,51.9122378,4.4661162,,,,
node/3519612823,Dorp,stop,2,52.0544133,4.4921609,,,,
node/3519612824,Dorp,station,,52.0544224,4.4921412,,,,
node/3519612825,Dorp,stop,1,52.0544359,4.4921129,,,,
node/186959304,Eendrachtsplein,stop,,51.9163189,4.4737535,,,,
node/2872650725,Eendrachtsplein,stop,,51.9163496,4.4737244,,,,
node/4048801948,Eendrachtsplein,station,,51.916333,4.4737376,,,,
node/297878217,Essen,stop,,51.4626764,4.4511381,,,,
node/2248781735,Essen,stop,,51.4626838,4.4511968,,,,
node/4623339106,Essen,station,FES,51.4626799,4.45117,,,,
node/4951649845,Essen,stop,,51.4626566,4.4509946,,,,
node/45112674,Forepark,station,FPA,52.0698797,4.392994,,,,
node/2166704266,Forepark,stop,RR,52.0705433,4.3920966,,,,
node/5772474097,Forepark,stop,M3,52.0694285,4.3935202,,,,
node/5772474098,Forepark,stop,M3,52.0699975,4.392936,,,,
node/5772474099,Forepark,stop,RR,52.0702493,4.3923424,,,,
