osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/4478970437,Holmestrand,stop,,59.4901992,10.3104746,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/18c9626522331ab7cf72f535b40a3deb40e770c5,NO1510-15050,Holmestrand stasjon,202.8
node/4478970436,Holmestrand,stop,,59.4902827,10.3107876,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/18c9626522331ab7cf72f535b40a3deb40e770c5,NO1510-15050,Holmestrand stasjon,203.4
node/5218231669,Storo,station,,59.944587,10.7785491,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/feb6e09d6691272c730f551c49a302260427bdd3,NO0610-06010,Grefsen stasjon,208.8
node/11990454555,,stop,,59.9864045,11.2438539,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aab202fbf31752d7249c03ea5d08024bbe19c33f,NO0300-03050,Sørumsand stasjon,212.6
node/11990454554,,stop,,59.9864374,11.2438353,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aab202fbf31752d7249c03ea5d08024bbe19c33f,NO0300-03050,Sørumsand stasjon,213.0
node/25319431,Storo,stop,,59.9446397,10.7786176,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/feb6e09d6691272c730f551c49a302260427bdd3,NO0610-06010,Grefsen stasjon,213.3
node/660867661,Storo,stop,,59.9446075,10.7784095,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/feb6e09d6691272c730f551c49a302260427bdd3,NO0610-06010,Grefsen stasjon,213.4
node/5526332106,Holmlia,halt,,59.834725,10.7970435,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/73f5c6a083d5326036c922d6ae4130afbd5652af,NO0540-05035,Holmlia stasjon,308.9
node/1758985466,Holmlia,stop,301092001,59.8344146,10.796853,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/73f5c6a083d5326036c922d6ae4130afbd5652af,NO0540-05035,Holmlia stasjon,344.0
node/1758985465,Holmlia,stop,301092001,59.8344044,10.7970829,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/73f5c6a083d5326036c922d6ae4130afbd5652af,NO0540-05035,Holmlia stasjon,344.4
node/388484555,Abisko Turiststation,halt,Akt,68.3574419,18.7825146,,,,
node/248124326,Abisko Östra,stop,,68.3491252,18.8283531,,,,
node/11383125341,Abisko Östra,station,Ak,68.3490044,18.8286006,,,,
node/243474549,Alna,stop,,59.932533,10.8354877,,,,
node/2012791840,Alna,halt,03012050,59.9324168,10.8352756,,,,
node/2012791841,Alna,stop,,59.9325723,10.8352382,,,,
node/43107147,Ammerud,stop,,59.9582672,10.871907,,,,
node/1330276371,Ammerud,stop,,59.9582382,10.8719539,,,,
node/5480418916,Ammerud,station,,59.9583008,10.8720569,,,,
node/2005496012,Arneberg,halt,,60.5595309,12.0684103,,,,
node/2778334154,Auli,halt,,60.039276,11.3520367,,,,
node/1239143658,Auma,stop,04371030,62.2207579,10.6588176,,,,
node/5526332075,Auma,halt,,62.2206604,10.6586164,,,,
node/1957339164,Avløs,stop,,59.913079,10.5483334,,,,
node/1957339165,Avløs,stop,,59.913108,10.5482869,,,,
node/9604515550,Avløs,station,,59.9130935,10.5483102,,,,
node/5526330734,Beihøldalen,station,,58.3299257,7.9270102,,,,
node/5526330745,Beihølen dam,halt,,58.3264946,7.9304533,,,,
node/1687397331,Bekkestua,station,,59.9173125,10.5900467,,,,
node/2064795819,Bekkestua,stop,1,59.9171728,10.5898405,,,,
node/2064795831,Bekkestua,stop,2,59.9174492,10.5902447,,,,
node/2064795834,Bekkestua,stop,4,59.917595,10.5909901,,,,
node/2064795838,Bekkestua,stop,3,59.9177943,10.5914978,,,,
node/1239143668,Bellingmo,stop,04381411,62.0301133,10.7852212,,,,
node/5526332223,Bellingmo,halt,,62.0301008,10.7851336,,,,
node/12157661971,Berg,halt,,59.9512595,10.7452558,,,,
node/25714578,Bergkrystallen,stop,,59.8671388,10.8209367,,,,
node/1347468985,Bergkrystallen,stop,,59.867173,10.8209536,,,,
node/5359891695,Bergkrystallen,station,,59.8671534,10.8209472,,,,
node/1347436674,Besserud,halt,,59.9576815,10.6733667,,,,
node/5148364153,Bingsfoss,station,,59.9904108,11.2719056,,,,
node/436528745,Björkliden,stop,1,68.4065232,18.6857989,,,,
node/11383125340,Björkliden,station,Bln,68.406528,18.6856266,,,,
node/1873358537,Bjørkhaug,halt,,59.8799378,8.6420617,,,,
node/25713731,Bjørnsletta,stop,,59.9265368,10.6344447,,,,
node/1256053909,Bjørnsletta,stop,,59.9265081,10.6344868,,,,
node/9592809324,Bjørnsletta,station,,59.9265225,10.6344657,,,,
node/3050356012,Blakstad,stop,,58.507509,8.648621,,,,
node/5526331874,Blakstad,halt,,58.5074795,8.6487176,,,,
node/2906330544,Bleiken,stop,,60.4687243,10.5005668,,,,
node/5720557881,Bleiken,halt,,60.4686476,10.5004591,,,,
node/25041423,Blindern,stop,,59.9401125,10.7160898,,,,
node/1179025885,Blindern,stop,,59.9401489,10.7160414,,,,
node/5218231663,Blindern,station,,59.9401338,10.716072,,,,
node/1107748838,Blommenholm,stop,219030001,59.8973251,10.5550205,,,,
node/2014208499,Blommenholm,stop,219030001,59.8972028,10.5550875,,,,
node/5720557868,Blommenholm,halt,,59.8972154,10.5547312,,,,
node/2778334156,Bodung,stop,,60.0849607,11.4195908,,,,
node/5526332057,Bodung,halt,,60.0851073,11.419931,,,,
node/25727275,Bogerud,stop,,59.8762172,10.8421528,,,,
node/1376133037,Bogerud,stop,,59.8762217,10.8420799,,,,
node/5359891701,Bogerud,station,,59.8762194,10.8421165,,,,
node/2015100953,Bondivann,halt,02200600,59.8206027,10.4327869,,,,
node/2015101169,Bondivann,stop,220060001,59.8206293,10.432908,,,,
node/25316972,Borgen,stop,,59.9346305,10.6957237,,,,
node/1256054112,Borgen,stop,,59.9345955,10.6957092,,,,
node/5218231672,Borgen,station,,59.9346211,10.695638,,,,
node/25714527,Brattlikollen,stop,,59.8874006,10.8011094,,,,
node/1347468966,Brattlikollen,stop,,59.8874082,10.8010417,,,,
node/5359891617,Brattlikollen,station,,59.8874032,10.8010829,,,,
node/633353587,Brekket,stop,,59.8520625,8.6695154,,,,
node/25320621,Brynseng,stop,4,59.9093101,10.8119476,,,,
node/1947924880,Brynseng,stop,1,59.9091713,10.8119133,,,,
node/1947924885,Brynseng,stop,2,59.909208,10.8119276,,,,
node/1947924887,Brynseng,stop,3,59.9092737,10.8119396,,,,
node/5359891692,Brynseng,station,,59.9092386,10.81193,,,,
node/1064432677,Bråstad,stop,,58.4626986,8.6895762,,,,
node/5526331896,Bråstad,halt,,58.4627579,8.6895152,,,,
node/5713779317,Buslåtten,halt,,59.9256108,8.8010984,,,,
node/25727222,Bøler,stop,,59.8842885,10.8455328,,,,
node/1348612653,Bøler,stop,,59.8842557,10.8455565,,,,
node/5359891700,Bøler,station,,59.8842714,10.8455452,,,,
node/250911243,Bøylestad,stop,,58.5766171,8.7058309,,,,
node/5526331876,Bøylestad,halt,,58.5765989,8.705686,,,,
node/26639185,Carl Berners plass,halt,,59.9258326,10.7795926,,,,
node/2189004948,Carl Berners plass,stop,,59.9258223,10.7796724,,,,
node/8444746218,Carl Berners plass,station,,59.925774,10.7796115,,,,
node/2375332465,Eidsberg,stop,,59.5134279,11.3035903,,,,
node/5720557899,Eidsberg,halt,,59.5135508,11.3037863,,,,
node/26106239,Eidsvoll verk,stop,,60.287982,11.1697382,,,,
node/1895970465,Eidsvoll verk,stop,,60.2879988,11.1696609,,,,
node/2411364279,Eidsvoll verk,halt,02370430,60.2878638,11.1694069,,,,
node/25713630,Eiksmarka,stop,,59.9473269,10.6239328,,,,
node/2208923449,Eiksmarka,stop,,59.9466651,10.6225018,,,,
node/9611262217,Eiksmarka,station,,59.9470588,10.6232583,,,,
node/25713621,Ekraveien,halt,,59.9497938,10.6377336,,,,
node/2208923456,Ekraveien,stop,,59.9506083,10.636518,,,,
node/668188776,Ellingsrudåsen,station,,59.9367405,10.9152505,,,,
node/5359891586,Ellingsrudåsen,stop,,59.9367547,10.9152724,,,,
node/5359891589,Ellingsrudåsen,stop,,59.9367263,10.9152286,,,,
node/2063682079,Ensjø,stop,,59.9137566,10.78769,,,,
node/2588297789,Ensjø,stop,,59.913791,10.7877305,,,,
node/6184808734,Ensjø,station,,59.9137698,10.7877106,,,,
node/674948545,Evenstad,stop,04301487,61.4232721,11.0997153,,,,
node/5526332081,Evenstad,halt,,61.4232503,11.0995624,,,,
node/9956357940,Fall stasjon,station,,60.6794611,10.3710667,,,,
node/2012791842,Fjellhamar,stop,,59.9406436,10.9818283,,,,
node/2012791843,Fjellhamar,station,02300200,59.9407104,10.9818174,,,,
node/2012791844,Fjellhamar,stop,,59.9407631,10.9817148,,,,
node/1064432797,Flaten,stop,,58.6362188,8.6808013,,,,
node/5526332107,Flaten,halt,,58.6361993,8.6807236,,,,
node/305444816,Flesberg,stop,,59.8628529,9.4274586,,,,
node/5218231662,Forskningsparken,station,,59.9437046,10.7208514,,,,
node/5148363495,Fossum,station,,59.9873909,11.282541,,,,
node/11990471772,Fossum,stop,,59.9874072,11.2826086,,,,
node/11990471773,Fossum,stop,,59.9874108,11.2826651,,,,
node/25703752,Frognerseteren,halt,,59.9791178,10.6766344,,,,
node/1064432576,Froland,stop,,58.5294951,8.6544117,,,,
