id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
PL00728,Nowy Staw,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/45398c57ac4243a8059d17fe0d1aff34fd901057,PL00728,Nowy Staw,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/906438410743dcd1f4e44d3911758f9ba8789c9a,0.0
PL03042,Puszczykówko,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a0f395157a22c60a98d9f8875ef52917e6825dec,PL03042,Puszczykówko,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d27fa1fce3b6f674bffab20234cb1fd5c4fd90d3,0.0
PL01846,Szubin,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e284845f6259fdc7951bfc5fbff303b031605c7,PL01846,Szubin,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/290cc848bcfcea4bc8e7d4fcaa989296ba2a0071,0.0
PL05568,Wojcieszów Górny,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a2381b5379028750bf1811ebf6c7be8d3c87bd9,PL05568,Wojcieszów Górny,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ef6c9282323df5216cddac96300d0940c1b89131,0.0
PL01583,Sępólno Krajeńskie,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/83eaa86d23a5ef2b663f8c2ea27729b095faf69d,PL01583,Sępólno Krajeńskie,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/796b756ba5b0c9d437f3fb863185dd6a231e2309,0.0
PL02686,Trzemeszno Lubuskie,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f1ea96ef23e0b55fd40b1daa0febfa3f2e1d652,PL02686,Trzemeszno Lubuskie,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f74ce1d5a42157c686229d99a9001caced33f02,0.0
PL04272,Krzemieniewo,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e36af16b9a21dc692e3eb64cd2d36185cd4de6a2,PL04272,Krzemieniewo,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/14f5306c43300aefec9ad749ff32eae14a0ea48a,0.0
PL01826,Mrocza,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b9141454ffd71e5922a20d184de602dbe29927b6,PL01826,Mrocza,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3105ec9a1eecae63ebb2fa7f9ab9cdcde980b409,0.0
PL02343,Wielbark,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2f9bef855b90918bbed6725cdc08fc2c6a52e53d,PL02343,Wielbark,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9b629d2e4f478141904b2d08f16aed08c0b4ae85,0.0
PL00729,Nowy Dwór Gdański,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e8fe670ad209d990646d67e04d745def027e0e02,PL00729,Nowy Dwór Gdański,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/88461500101be55d7ab2583ced9c1c95c542519e,0.0
PL06066,Opole Zachodnie,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/efeca091608b6e8e100f2563baff44b6bdee9cba,PL06065,Opole Zachodnie,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/17d220787718112577641fa78121056d35d21098,0.0
PL04493,Góra,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5bf745c333c51aa93a3ed8ac3785a86a2d3bfcc2,PL04493,Góra,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f373e2918ce59c6ab31d28c3a0242c550900ef0,0.0
PL01831,Runowo Krajeńskie,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b75d14f8005da3fd42629fe96fff47e23cdb3891,PL01831,Runowo Krajeńskie,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e27befb1aba13251311979960429cbc553a6e70f,0.0
PL01582,Kamień Krajeński,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35f2077563a7e35dafec14621bb405bb44517f2b,PL01582,Kamień Krajeński,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/45fde86450e0ef23678070e7736a44f9aa9c2f82,0.0
PL01544,Więcbork,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a9348f5811b55723532c1797560707711f5fa06c,PL01544,Więcbork,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3211cab803647d93c8166022b763bd52afcc97f2,0.0
PL00643,Gniewino,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aad15b4166959363529a73377f5861d33b1f3491,PL00643,Gniewino,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/df7fbd8ec78ad6deb2a63c5cfd56432b8e572654,0.0
