osm_id,name,type,ref,lat,lon
node/29829423,Zgierz Północ,station,ZgP,51.8691546,19.3837488
node/29830236,Jedlicze koło Zgierza,stop,,51.8693635,19.3206976
node/29830245,Grotniki,halt,,51.8872389,19.3110371
node/29830311,Chociszew,station,Ch,51.9234492,19.2673865
node/29830362,Ozorków,station,Oz,51.9714974,19.2662162
node/29830409,Łęczyca,station,Łc,52.049237,19.1932523
node/29830442,Gawrony,halt,,52.1123405,19.2195626
node/29830460,Witonia,station,Wt,52.1568164,19.2765941
node/29830557,Nowe Kutnowskie,halt,,52.2377483,19.226612
node/29830586,Turzynów,halt,1466,52.2304703,19.0258668
node/29830619,Barłogi,station,Br,52.2159107,18.7678853
node/29830665,Budki Nowe,halt,,52.2444404,18.5634475
node/29830683,Kramsk,station,7218,52.2451849,18.4766921
node/29830753,Konin,station,79,52.2312372,18.2532655
node/29831728,Konin Zachód,halt,,52.23686,18.221851
node/29831807,Kawnice,halt,,52.249843,18.1509343
node/29831828,Spławie,halt,,52.2577115,18.0910722
node/29831879,Cienin Kościelny,halt,,52.2700605,18.0095221
node/29831926,Cienin,station,Cn,52.272545,17.9661231
node/29832014,Słupca,halt,,52.2874088,17.8520467
node/29832059,Strzałkowo,station,St,52.3106824,17.8058597
node/29832108,Wólka,halt,,52.3216852,17.7534718
node/29832142,Otoczna,halt,,52.3253189,17.6915155
node/29832178,Gutowo Wielkopolskie,halt,,52.332392,17.6438574
node/29832301,Podstolice,station,Pd,52.3413438,17.4814407
node/29832346,Nekla,halt,,52.3543906,17.401084
node/29832370,Gułtowy,halt,,52.3681003,17.3166527
node/29832391,Kostrzyn Wielkopolski,station,Ko,52.3932589,17.2254682
node/29832405,Paczkowo,halt,Pk,52.3969328,17.1589613
node/29832423,Swarzędz,station,Sw,52.4042681,17.0744516
node/30113663,Pinczyn,halt,,53.9622331,18.3483343
node/30113726,Rokitki Tczewskie,halt,,54.0808707,18.7369062
node/31522434,Wilkasy Niegocin,halt,,54.0195735,21.7379982
node/31522924,Lipińskie Małe,halt,,53.7363431,22.3975964
node/31725030,Warszawa Żwirki i Wigury,stop,,52.1933883,20.9805046
node/33124312,Warszawa Ochota,stop,490101,52.2257112,20.9905896
node/33210583,Warszawa Wschodnia,station,WS,52.2515889,21.0523678
node/33214302,Warszawa Olszynka Grochowska,stop,290201,52.2500386,21.1061795
node/33233439,Warszawa Rakowiec,stop,,52.1968351,20.9660719
node/33233440,Warszawa Służewiec,stop,,52.1807618,20.9871357
node/33233441,Warszawa Dawidy,stop,,52.1285649,20.9910943
node/33233442,Piaseczno,stop,,52.0665106,21.0172446
node/33964454,Trzciniec,station,Tc,53.0858024,17.9480419
node/34071047,Maksymilianowo,station,Mj,53.2145607,18.0294586
node/34533649,Warszawa Powązki,stop,,52.2557562,20.9713441
node/34675906,Warszawa Zachodnia,stop,,52.2219653,20.9615056
