start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd9b426156ca2d8a2436a4b197c3895bce4769c4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1083141589f93b981bc29d95938da57dba78cd13
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4e04c880510ded067762c7ba597683b026a713e9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6987c5ceaf901fada89e0cad4bc2ff59369ab7da
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1990b32af6edbf42f01e7b333104636c1bfca145,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ceffbae889ca4f5adb9df547d85bd17881dbbd8f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60b5fb3434e3d695577613313eb714d0e28e21dd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/847655783074f143fa2949691651e1a9d988487d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8853dda44f67af327554d62ca50fb84323a9f013,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c106dac13987075ef2bd0a8d173cd662c59c424c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/98bdce5b371cb694d4908f180c03fc5761b6cc91,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d376fea3a2e52a90a90c8b81a2b67d8f36583ddf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/534dd72477e3d20fc39bd5ceefd02eac4a3e8bf9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/37e777c7c320cd51c6200a8953697418093e8c3c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d12e3e2776fb867ceb3573af56e2c9db835d910e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9554bd7fb284bab5a7bb79a56819f832d6c2cbe7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/68acce9638bed8c7e5e7ecb60755f0ce0ab7326d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1a45c349e5b22f995ec9f5dae83ee818a3b466bf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/177e122922238461614f6514bfa2dc06f47b777c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b33863d1024a4fcad597bfbb535d35aad5a7ae0a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/adc1ade7862014546793262dc7b38a5d4e7d0979,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d0ba5ae029ddc27066d45973025988bc0c9de2ad
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f672c02d4643a596372bf7fec6d321f1421a6bad,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ba1b069f963c0ca78127c9fc001fe29bdfc2e335
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f886b406f3d0664608d069da8a62cd065c9d0e40,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d345ba660e2a107eedf8c2ea3508f0debab49c6a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/91d3a79ca2dbff19afe70d046ffac8a542fcf8cd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/68acce9638bed8c7e5e7ecb60755f0ce0ab7326d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/820c5d177c290e3cc84f3b701c3558945ea91ab8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f8a8dd6f6b9974d0dba55fe4ea2c995205ec93b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/52669ec1baccbc5eb8af23fb1ed6d9258fd503d9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/342372e3b7ddb59940228d3e77bacdac9133f907
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0d50101d55656569bf5aea852c1aa8e3a65d6848,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b916aec95f6e6ea38395ecfa9acf5856f2142a27
