id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
PT49478,Vilar Formoso Fronteira,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/744cc23c918f61f78b38b22e8f6c20f8386d8db0,EU00124,Vilar Formoso Fronteira,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d5c8a383a70422c32f5956a1b6d0096352189c28,0.0
PT31500,Ramal dos Nitratos (Inserção),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06783855307ef09bb38018adafc8cadf2e918f8b,PT31559,Ramal TER-TIR (Inserção lado Bobadela Norte),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a705947a646afd8920ec86b1721b4a8ecefc9400,0.0
PT57604,Elvas-Fronteira,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bfcf1260b3f40c8dfb6e14b787be43c1fc670407,EU00125,Elvas Fronteira,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1d2a0b94fc5df4ad3176976c4af71aee2cc63f14,8.0
EU00123,Valença Fronteira,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d04cc6e3bb5557e95ebd0b52e31e1e20a5895a7,PT00026,Valença Fronteira,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/df3cbf1a6acd831d49197cf40d41f6c3c0a5b8ae,17.3
PT94607,Ramal Petroquimica (Inserção),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4fdeea39df68cc01711ee6643ffb3236ec1b69ef,PT94557,Ramal Metalsines (Inserção lado Petroquímica),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c200d91285da72e3aeb77c8e49ac5de773a210b,20.8
PT31740,Ramal Cimpor 1 (Inserção),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b16eb5692dff71818bfc8e21c21360ade69ed80,PT31732,Ramal Iberol 1 (Inserção),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f35f55ceb7125c1a53d329c56ec751fc445e47d6,23.9
PT71035,PK Inicio Concordância Agualva,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b39c84806e64879d05df1d0fee764c483909e21b,PT96131,PK Inicio Concordância Agualva,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5381d0e38362e52a7f08a747ca0a5e730d78a341,26.1
PT62547,Ramalhal,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e0c886fd6e42f07bdbe07cfdbe8adbb85e0bc56a,PT62901,Ramal Ramalhal - Valouro (Inserção lado Torres Vedras),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0eedb037d30987ea3308ca76824613337435da45,34.1
PT31799,Ramal Cimpor 2 (Inserção),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08a72bd5e24ecde264e66009abb75b7c58c10748,PT31906,Ramal Cimpor 3 (Inserção),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2e8da5e3c11f12423c1b4221e8c8ef441f43357c,37.6
PT31740,Ramal Cimpor 1 (Inserção),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b16eb5692dff71818bfc8e21c21360ade69ed80,PT31781,Iberol 1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/606a7be548d4897edda01ce011e08f8842759d40,42.3
PT36202,Coimbra B - Moacir,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/27205b83fcd0d94483757b834d970f1656511fac,PT36046,Adémia,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f3ea6a3445267b6b6bf4ee3357a6b9d57c2bc721,47.6
PT34108,Início do Ramal de Tomar,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75a1942ecf1551a1478b43d22eeda45728de772d,PT40006,"Pk 0,000 Ramal de Tomar",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c1f0bfa6c1a1c8a4e330dfc6681036335ad1edd8,47.7
