osm_id,name,type,ref,lat,lon
node/24984214,Fogueteiro,stop,,38.6098213,-9.1013988
node/25414208,Sete Rios,stop,3,38.740184,-9.1666332
node/25447819,Ovar,stop,2,40.8640466,-8.6166564
node/25447852,Avanca,stop,,40.8084233,-8.5853802
node/25452599,Parada,halt,,41.1600948,-8.3729706
node/25453091,Oliveira,stop,,41.2573611,-8.1989863
node/26065131,Vale de Santarém,stop,,39.1883802,-8.7238608
node/26065674,Mato de Miranda,stop,,39.368506,-8.554344
node/26066192,Pala,stop,,41.1035861,-8.0908687
node/26066645,Mosteirô,stop,,41.0946377,-8.0691997
node/26066737,Mirão,stop,,41.1175563,-7.9725171
node/26066788,Porto de Rei,stop,,41.1218644,-7.9106282
node/26066811,Barqueiros,stop,,41.140528,-7.8874913
node/26066858,Godim,stop,,41.1662549,-7.7991269
node/26084825,Praia do Ribatejo,stop,,39.4672076,-8.3475575
node/26085134,Curvaceiras,stop,,39.547897,-8.4297709
node/26239383,Algueirão-Mem Martins,stop,,38.7978927,-9.3399843
node/26241902,Amadora,stop,,38.7592156,-9.2346281
node/46756926,Faro,station,FAR,37.0192583,-7.940441
node/99313431,Verride,stop,1,40.1395701,-8.7031259
node/115910394,Fontela,stop,1,40.1418885,-8.8137995
node/122445127,Fonte do Cuco,stop,,41.1941624,-8.6559427
node/122445129,Senhora da Hora,stop,,41.1880759,-8.6545271
node/122448866,Esposade,stop,,41.2160221,-8.6545453
node/122514000,Estádio do Mar,stop,,41.1857281,-8.6612146
node/122514059,Câmara de Matosinhos,stop,,41.1806357,-8.6812543
node/122514062,Matosinhos Sul,stop,,41.1801059,-8.6885891
node/124365951,Trindade,stop,,41.15226,-8.6096722
node/124367355,Aliados,stop,,41.148591,-8.6109519
node/130216262,Modivas Sul,stop,,41.2852319,-8.6935424
node/130216314,Verdes,stop,,41.2381696,-8.6583034
node/130217076,Fonte do Cuco,stop,,41.1941739,-8.6556553
node/130218788,Cândido dos Reis,stop,,41.2007066,-8.6497603
node/130219243,Custió,stop,,41.2223204,-8.6390054
node/130219286,Mandim,stop,,41.2535761,-8.6283663
node/130219295,Castêlo da Maia,stop,,41.262715,-8.6170417
node/130219298,ISMAI,stop,,41.2688969,-8.615431
node/146311452,Odivelas,stop,,38.79326,-9.1730002
node/146311461,Senhor Roubado,stop,,38.7856218,-9.1718324
node/149659131,São Pedro do Estoril,stop,,38.6952723,-9.3707966
node/203897248,Carcavelos,stop,,38.6878818,-9.3362869
node/206273437,Oeiras,stop,,38.6884196,-9.3180504
node/213764501,Paço de Arcos,stop,,38.697115,-9.2901409
node/242798620,São João do Estoril,stop,,38.7009807,-9.3852464
node/242798658,Estoril,stop,,38.703295,-9.3995435
node/242798713,Cascais,stop,,38.7008489,-9.4178362
node/245937922,Ameixoeira,stop,,38.7793175,-9.1596348
node/245937941,Lumiar,stop,,38.7733991,-9.1593372
node/246763946,Cidade Universitária,stop,,38.7514975,-9.159114
node/246763964,Entrecampos,stop,,38.7470271,-9.1481984
node/246763968,Campo Pequeno,stop,,38.7411137,-9.1467947
node/247051124,Campolide,stop,4,38.73281,-9.1677493
node/247051839,Rato,stop,,38.7201088,-9.1548457
node/250644941,Litém,stop,2,39.8379619,-8.5934415
node/251215984,Dom João II,stop,,41.1195255,-8.6061806
node/254619227,Castelo Branco,stop,,39.8180739,-7.4909014
node/255315354,Baraçal,stop,,40.6773816,-7.3280108
node/256623382,Corroios,stop,,38.6364709,-9.1517519
node/256669851,Pragal,stop,4,38.6661294,-9.1799062
node/256674213,Parque,stop,,38.7295152,-9.150259
node/256976574,Praça de Espanha,station,,38.737684,-9.1592473
node/256978160,Jardim Zoológico,station,,38.7420882,-9.1689132
node/256978165,Laranjeiras,station,,38.7482497,-9.1730362
node/256978170,Alto dos Moinhos,station,,38.7498954,-9.1797946
node/256978583,Colégio Militar/Luz,stop,,38.7534253,-9.1892531
node/256979289,Carnide,station,,38.7592285,-9.1927134
node/256981321,Alfornelos,stop,,38.7603342,-9.2045596
node/256981325,Amadora Este,station,,38.7584244,-9.2183301
node/257290320,Alcântara-Terra,stop,2,38.7079402,-9.1731351
node/257668396,Foros de Amora,stop,,38.6206165,-9.1288556
node/257941452,Coina,stop,2,38.5846652,-9.0515524
node/257943176,Pinhal Novo,stop,6,38.6299555,-8.912821
node/257943451,Venda do Alcaide,stop,2,38.6062275,-8.8886421
node/257944544,Setúbal - Mar,stop,,38.5198045,-8.878328
node/257946325,Penteado,stop,2,38.6381456,-8.9562644
node/257947152,Baixa da Banheira,stop,2,38.6595642,-9.044345
node/258220426,Praias - Sado,stop,,38.5137533,-8.8422541
node/269608173,Meia Praia,stop,1,37.1185968,-8.6474757
node/280075156,Póvoa de Varzim,stop,,41.3777233,-8.7582264
node/280076430,São Brás,stop,,41.3732023,-8.753799
node/280077105,Portas Fronhas,stop,,41.3692511,-8.7496454
node/280077259,Vila do Conde,stop,,41.3590793,-8.7398442
node/280077330,Santa Clara,stop,,41.3539331,-8.735625
node/280077443,Árvore,stop,,41.3403468,-8.7255229
node/280077445,Azurara,stop,,41.3459451,-8.7280408
node/280077703,Varziela,stop,,41.3342024,-8.7206523
node/280078047,Espaço Natureza,stop,,41.3211899,-8.7186621
node/280078049,Modivas Centro,stop,,41.2936559,-8.699249
node/280078055,Mindelo,stop,,41.3150666,-8.7141921
node/280078082,Vilar do Pinheiro,stop,,41.2702792,-8.6795372
node/280078858,Crestins,stop,,41.2329919,-8.6566169
node/280080436,Vasco da Gama,stop,,41.1902888,-8.6610289
node/280081500,Pedro Hispano,stop,,41.1803292,-8.6662377
node/280189310,Parque de Real,stop,,41.1790607,-8.6735805
node/280189593,Pias,stop,,41.2082183,-8.6471675
node/280189647,Araújo,stop,,41.2168878,-8.6410522
node/280197618,Faria Guimarães,stop,,41.1572221,-8.6092616
node/280198315,Combatentes,stop,,41.1650776,-8.5988733
node/280199199,Pólo Universitário,stop,,41.1746366,-8.6035622
node/280199207,Salgueiros,stop,,41.1693038,-8.5986405
node/280200620,IPO,stop,,41.1812086,-8.6045407
node/280200623,Hospital São João,stop,,41.1832178,-8.6022789
node/280202598,Aeroporto,stop,,41.2372006,-8.6695968
node/280202601,Botica,stop,,41.2375183,-8.6652068
node/280267392,Custóias,stop,,41.200272,-8.6555611
node/283498149,Sabugo,stop,,38.8305613,-9.3000374
node/283499600,Mafra,stop,,38.897459,-9.2913723
node/283500671,Malveira,stop,,38.9286763,-9.2580244
node/283560780,Sapataria,stop,,38.9689107,-9.1992878
node/283560913,Pero Negro,stop,,38.9885437,-9.1974682
node/283561084,Feliteira,stop,,39.0224466,-9.1793446
node/283561189,Dois Portos,stop,,39.0425555,-9.1845906
node/283561422,Torres Vedras,stop,,39.0926884,-9.254321
node/287342640,Santa Cruz-Damaia,stop,,38.7471513,-9.2143849
node/287342641,Santa Cruz-Damaia,stop,,38.7472375,-9.2143404
node/287349462,Sete Rios,stop,1,38.7403075,-9.1667056
node/287369028,Entrecampos,stop,,38.7445915,-9.1485979
node/287369046,Entrecampos,stop,,38.744546,-9.1485867
node/287369060,Entrecampos,stop,,38.7444269,-9.1485574
node/287383809,Roma-Areeiro,stop,,38.74577,-9.135516
node/287383826,Roma-Areeiro,stop,,38.745729,-9.1355115
node/287383903,Roma-Areeiro,stop,,38.7456429,-9.1355019
node/287383927,Roma-Areeiro,stop,,38.745602,-9.1354974
node/289538875,Queluz-Belas,stop,1,38.758618,-9.2567861
node/289806640,Monte Abraão,stop,,38.7555299,-9.2654971
node/289806642,Monte Abraão,stop,,38.7554066,-9.265185
node/289806674,Monte Abraão,stop,,38.7554764,-9.2653616
node/289806700,Monte Abraão,stop,,38.7554605,-9.2653214
node/290037995,Massamá-Barcarena,stop,,38.7514787,-9.2839101
node/290042320,Agualva-Cacém,stop,1,38.7664806,-9.298616
node/290295579,Mira Sintra-Meleças,stop,3,38.7895974,-9.3126305
node/290295600,Mira Sintra-Meleças,stop,2,38.7895857,-9.3126731
node/290560687,Rio de Mouro,stop,,38.7845893,-9.3220953
node/290854065,Portela de Sintra,stop,,38.8022951,-9.3752475
node/291120479,Campolide,stop,2,38.7327674,-9.1679703
node/301126874,Vila Fernando,stop,,40.4977825,-7.1479936
node/301126892,Rochoso,stop,,40.5070379,-7.0907255
