id,name,lat,lon,uri,country
EU00244,Ungheni Prut FR,47.1998,27.7869,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9f7dcfcf85e7c4665f51e4a503cf3d9caa5c4b28,http://publications.europa.eu/resource/authority/country/ROU
EU00243,Vicsani FR.,47.9769,25.9639,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f90f5e573a257bc0fe1a2744e259256138eb2df3,http://publications.europa.eu/resource/authority/country/ROU
RO81030,Constanţa Terminal Ferry Boat,44.0875,28.6538,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/197e03c28a6f6832987a9754bc13290def4683f1,http://publications.europa.eu/resource/authority/country/ROU
EU00241,Campulung pe Tisa FR,48.0011,23.7352,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5aba3a6dfa2ab66686ebd28ce75b8490a473f3ee,http://publications.europa.eu/resource/authority/country/ROU
EU00242,Valea Viseului FR,47.9203,24.1683,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bfdc7947cb1673ff4b0e440bcbe633ef8e7b5cdf,http://publications.europa.eu/resource/authority/country/ROU
EU00194,Episcopia Bihor FR,47.124529,21.792944,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08b246d7516ceea2854c59fdf6d7219579d07a7d,http://publications.europa.eu/resource/authority/country/ROU
EU00195,Salonta FR,46.760782,21.487366,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/18a6e39ade1863433887b74915b845ea7452d678,http://publications.europa.eu/resource/authority/country/ROU
EU00210,Negru Voda FR,43.785906,28.151004,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2414924f403e3ec537ae5e677db7dc75a8d85d5e,http://publications.europa.eu/resource/authority/country/ROU
EU00206,Giurgiu Nord FR,43.887193,26.007716,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/44dfd7b5812250f660f1aa32a392ff0fc8211ab2,http://publications.europa.eu/resource/authority/country/ROU
EU00197,Valea Lui Mihai FR,47.525013,22.031618,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9406196c69e2d5bdbda0004d5f05f07985c097e1,http://publications.europa.eu/resource/authority/country/ROU
EU00248,Stamora Moravita FR,45.2325,21.2714,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3a0e0688f10bde7604124626ab902613fac47c2,http://publications.europa.eu/resource/authority/country/ROU
EU00247,Jimbolia FR,45.7522,20.7011,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca00e93a63a2289bc1c062b6607e6f192e300c83,http://publications.europa.eu/resource/authority/country/ROU
RO61092,Ungheni Prut HM,47.2014,27.7788,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/effab05f99166fded56c8a8390b4da04de3830a9,http://publications.europa.eu/resource/authority/country/ROU
