id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
RO22448,Ramnicu Valcea Nord PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/191108ba4282ef61c8b0fe757c48d2e98501c447,RO27929,Ram. Rm. Valcea Est,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/902a1d341f42dc79cd4c6a0ce591855af93726dc,0.0
RO36841,Km. 9+000 PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/13f44c0fb8af527f9c0c681939e509f0738874a7,RO16968,Bradisoru de Jos PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6fdce17df6937b953524f50f99f48b0dfe928a66,0.0
RO22668,Valea Fratelui PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9ab540dfd66b0b8b7a77ba0710b2d75273dcd34f,RO27761,Km. 355+100 PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/49e4bc347ccd0f9cf9bfe526653b1677264c6889,0.0
RO10574,Caracal,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/71d5fcecf221cf914ab2c9c9fc9aaf651aec0a0b,RO14738,Canton 239+700 PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/caf5080ff71eee94dafc907a1046c0f27d719e6f,0.0
RO23533,Lainici HM,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/58d165f947bea58eb445dab692f8d1ccd35a5a59,RO28014,Km. 105+600 PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ab772b818c885fb042b5bae99eefca43e1e0e32e,0.0
RO16114,Bocsa Romana hc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2728b7c16df445dc2922b80fe8035efccc1d6733,RO16102,Bocsa Romana PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38e65dea5f3c65a84bcb740fd69d39fdfbff4045,11.1
RO69630,Socola Grupa B,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b9704b8a55c9e43eecbf4baaeb8209c1cf171c78,RO61028,Remiza T Socola PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f45a24e931379493fd91cd9fe352bc9ecdf73126,22.2
RO55184,Nasaud,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3d3846a55de00afae8b0d416370676c2de23c38,RO48076,Nasaud PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b6788a35e79e8ab57d78eaecc744ef596b2446c5,22.6
RO48090,Cugir Gr. A PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b7dde5c2dc6378f49a6d8a4326e857683b07bed6,RO23129,Cugir HM,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f420a14b28100cc68fd297576f0b0b009ef1100,34.2
RO17015,Anina HM,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34c52f8bab4e2c8e008e19841437706476a7d441,RO36607,Anina Post Macazuri PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/622dc83620f6357074c1bc7225473dbdb628f5cb,34.3
RO43064,Mijlocenii Bargaului PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/338335eba231a52a7eb892f5b09fc22770c1795c,RO43040,Josenii Bargaului PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c78e985a093da83ce372f48c42f698303d3f1067,43.8
RO13758,Beuca Sat PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8e37902257ca79154cabe8745dfbbffc7aa41861,RO13734,Beuca PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3020135672330e992ceb4b5245efb5ff5b904efe,44.5
RO14788,Studina PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f2af251dbac7b2eee189a4a9734c26914ebc123,RO14776,Studinita PO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f2a92bfd747ebe42a85f5aa0bb73355736b786ce,45.2
RO81315,Bucuresti Grivita,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9193eff61d3dfc297dd5d0ad96999265d573901d,RO18837,Bucuresti Nord Gr. AT,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9803c7ceffe010f42c9aed07d0032c78c4287cd8,49.8
