id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00194,Episcopia Bihor FR,47.124529,21.792944,3,77.8,True,True,
EU00195,Salonta FR,46.760782,21.487366,5,148.9,False,True,
EU00196,Curtici FR,46.409703,21.252697,8,2.0,True,True,
EU00197,Valea Lui Mihai FR,47.525013,22.031618,6,69.0,True,True,
EU00198,Carei FR,47.769806,22.435682,3,39.8,True,True,
EU00206,Giurgiu Nord FR,43.887193,26.007716,2,411.3,False,True,
EU00209,Golenti FR,44.0030121,22.9483641,2,253.2,False,True,
EU00210,Negru Voda FR,43.785906,28.151004,3,7.2,True,True,
EU00240,Halmeu FR,47.9954,23.0029,4,100.9,False,True,
EU00241,Campulung pe Tisa FR,48.0011,23.7352,0,,False,,
EU00242,Valea Viseului FR,47.9203,24.1683,0,,False,,
EU00243,Vicsani FR.,47.9769,25.9639,0,,False,,
EU00244,Ungheni Prut FR,47.1998,27.7869,12,19.1,True,True,
EU00245,Falciu FR,46.2599,28.1278,4,22.8,True,True,
EU00246,Galati Larga FR,45.471,28.1976,13,9.5,True,True,
EU00247,Jimbolia FR,45.7522,20.7011,1,12628.9,False,True,
EU00248,Stamora Moravita FR,45.2325,21.2714,0,,False,,
RO10017,Bucuresti Nord Gr.A,44.4461,26.0733,69,12.5,True,True,
RO10043,Bucuresti Basarab,44.459121,26.055222,48,23.9,True,True,
RO10079,Bucuresti Basarab PO,44.4603,26.0528,53,6.7,True,True,
RO10081,Carpati PO,44.4682,26.0407,26,8.1,True,True,
RO10108,Bucurestii Noi,44.4756,26.0154,20,7.7,True,True,
RO10146,Chiajna,44.4704,25.9803,13,5.1,True,True,
RO10158,Parc Divertisment Chiajna PO,44.4214,25.936,0,,False,,
RO10172,Domnestii de Sus PO,44.4114,25.9076,4,147.3,False,True,
RO10201,Gradinari,44.3784,25.8266,0,,False,,
RO10225,Zorile PO,44.3701,25.8038,0,,False,,
RO10249,Vadu Lat HM,44.3396,25.7038,0,,False,,
RO10251,Anghelesti PO,44.3198,25.6485,0,,False,,
RO10263,Zavestreni HM,44.2996,25.5947,0,,False,,
RO10287,Videle,44.2812,25.5397,0,,False,,
RO10328,Ciolpani HM,44.24,25.4609,0,,False,,
RO10342,Galateni HM,44.2073,25.3723,0,,False,,
RO10366,Olteni,44.1871,25.2929,0,,False,,
RO10380,Vartoapele PO,44.1706,25.235,0,,False,,
RO10407,Radoiesti HM,44.15,25.1618,0,,False,,
RO10421,Atarnati HM,44.1331,25.0596,0,,False,,
RO10445,Rosiori Nord,44.1203,24.9819,0,,False,,
RO10457,Bratcov PO,44.0834,25.0012,0,,False,,
RO10469,Maldaeni HM,44.1102,24.8867,0,,False,,
RO10483,Mihaesti HM,44.1162,24.7743,0,,False,,
RO10500,Radomiresti HM,44.115,24.6738,0,,False,,
RO10524,Daneasa PO,44.1292,24.5792,0,,False,,
RO10536,Draganesti Olt,44.1508,24.5498,5,99.5,True,True,
RO10548,Stoenesti PO,44.1174,24.4974,0,,False,,
RO10550,Farcasele HM,44.1186,24.4549,0,,False,,
RO10574,Caracal,44.1151,24.3687,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
